Detection	Migration	RSquared	NeutralFraction
1e-05	0.0734713912154	0.696910834430915	0.509906075726446
1.33352143216332e-05	0.0809538201202027	0.694803333920312	0.506090402113296
1.77827941003892e-05	0.0902892704210552	0.69197703162149	0.501394188435574
2.37137370566166e-05	0.102265196225969	0.688047294576146	0.494203111241561
3.16227766016838e-05	0.107803648141348	0.692710577373009	0.511300264162019
4.21696503428582e-05	0.104294217383131	0.705230096104484	0.559363076019959
5.62341325190349e-05	0.103698741799417	0.711145791073122	0.586953331376578
7.49894209332456e-05	0.0615181299753888	0.748509568904686	0.74750513648371
1e-04	0.0406968425841725	0.771685388017362	0.846565893748165
0.000133352143216332	0.0341733666369234	0.774998864091375	0.878265336072791
0.000177827941003892	0.0262956581108613	0.780137499924358	0.908203698268271
0.000237137370566166	0.0201231873442605	0.783477638701025	0.931024361608453
0.000316227766016838	0.0154538943760904	0.786070926175048	0.950616378045201
0.000421696503428582	0.0116353119185814	0.782697444893266	0.966245964191371
0.000562341325190349	0.00923436567755979	0.788342711678681	0.976739066627532
0.000749894209332456	0.00720692459686602	0.795485026180575	0.984223657176401
0.001	0.00563717546218555	0.789802472644523	0.988699735837981
