Exposure	MR Analysis	Causal Estimate	Sd	T-stat	P-value	Analysis
beta.exposure	Raw	-0.0166741881080554	0.106508675574457	-0.156552393672373	0.883181386687189	1
beta.exposure	Outlier-corrected	NA	NA	NA	NA	2
