database	category	asv_count	asv_fraction	read_count	read_fraction
SILVA	Bacteria	279	0.762295	3983	0.764051
SILVA	Archaea	75	0.204918	1181	0.226549
SILVA	Eukaryota	0	0.0	0	0.0
SILVA	Chloroplast/plastid	1	0.002732	4	0.000767
SILVA	Mitochondria	3	0.008197	13	0.002494
SILVA	Other/off-target	0	0.0	0	0.0
SILVA	Unassigned	8	0.021858	32	0.006138
GTDB	Bacteria	281	0.76776	3973	0.762133
GTDB	Archaea	75	0.204918	1176	0.22559
GTDB	Eukaryota	0	0.0	0	0.0
GTDB	Chloroplast/plastid	0	0.0	0	0.0
GTDB	Mitochondria	0	0.0	0	0.0
GTDB	Other/off-target	0	0.0	0	0.0
GTDB	Unassigned	10	0.027322	64	0.012277
Greengenes2	Bacteria	301	0.822404	4072	0.781124
Greengenes2	Archaea	59	0.161202	1108	0.212546
Greengenes2	Eukaryota	0	0.0	0	0.0
Greengenes2	Chloroplast/plastid	0	0.0	0	0.0
Greengenes2	Mitochondria	2	0.005464	5	0.000959
Greengenes2	Other/off-target	0	0.0	0	0.0
Greengenes2	Unassigned	4	0.010929	28	0.005371
