feature_id	sequence_length	frequency	samples_observed	sequence_sha256
003d0470f23082c7bf6de11e71a56898	253	10	1	195f034d36e11976fccde310aa27a3e3ddf1b6e8418d007158c2d69c626872d7
0118d57337bccab8f376ba2917c68eb5	253	3	1	a414b5c260676fd16a00c9ad36048ca6ffb0ca12df36ed8a04064aeeecfddcf1
020f04df345de3ba12ecf913a853b686	254	2	1	23d434b79c91825c72dfc98c074c427f62c4a16408775ca0a06ca1022e51e279
029f16d7439ba12681fbf6940821b468	253	4	1	65472e7e751cf589e193a86bf5bf094e553556c8dd3d94bb878e73f4acf72dd9
02b4cbe5c2955ab2f66dc82cdf6dad64	253	92	3	96502f94dee92c8c3fff04ab72fa6f442e0c2a4df59c5668391aef76f37b4d21
033b3477cc2e64b426992eee9236d268	253	3	1	faf214af8047e0741d0dcef9ef4d5f441e8bc8b9886a91b509806f7026b84904
0413f9fe237af7a8c9c37b0825a63520	254	14	1	46597d9a7f97cb837725d822a3f6de4faef9c009d603928437619ed0875ded4d
07d28b94cbd613e425c69c5178e40a06	255	2	1	717d39e4c778e4a64efd34c256c7da030385c97aefadc929731d17dfd03c5f6f
0885d87ef62f2ec47947bcfbe14ef78f	254	5	1	cdc8662a132e2661046664c1f8b605f3868c64c7641c11232aed0597d63035a7
08bdc6c81f6b9daab3d132b54e1d45bc	253	7	1	cd81a0af6fa6ff56d9a5fbee33369f588edff79009b8eeeae261c09aac6568cb
08e82441af4098baf31f236034ea249b	253	2	1	03bc9b9415863e2e428f43e10200752c74ef87554cd6c28a269b5f8b958dcbad
096af19a014f877223e5ff2d8b1433c3	253	5	1	84035dd4e9663ebbd995230977bf8398eb68100e2b5855d9f1470de705a4cd40
0a9c0f5806bd6605a6be8c1c5fab2803	253	5	1	b04ffe814e6df5c453c1141c266cdf5d50a2a3155726e5efd5104606f0920ef7
0b3152b92e28d3ab3d32c8247beff2d3	253	7	1	2d0405d423f31459b4068e4a613117f404e697c246bc744a2d284a69e0179390
0bfb11bc0ab57849fe2c5ec8a5deab88	253	2	1	81cfdab84de4aeb68f6272f61a495787b272d568b623b3b6e1f14c197f83049c
0c6ec4d45af4de39069620764467aa05	254	2	1	d036681874829a9a2252af172bfe547544e77bbc5dfdeeceb7200641f9b2a855
0d6dcaae2682704e655e8c12d0a9e3d2	254	21	1	e7f1e1d8256a85be421cba142f64115ccfc120a608d38bb3783a7b45842ebd88
0dfa02006f244358216a64cb34291c06	254	25	2	311fc011b73117fd42bce523c2e6787581560ab12fd5629248c293ebe96c48e6
0e070507abba4160021ce83993fa8988	253	2	1	36742e9cc01d3973f06a89f6e6af922eeaae4e4fdb482a7debad588fe7846ace
0e47b1c8584c7a957e4ec39127224c0f	253	9	1	79063aaedbd339ffc2fbfeb5b639d028ad1d5b0cf52d04073719aab594c5ae5c
1059d2483862d83ac9f6c0e5d65166ff	253	8	2	e2faeceb025438cf73f62b25c4ec5fd64bba0db0e88850b64a1389ce08eb8f1f
10e1a3b243a63b2e006fff8b588dd89e	253	5	1	146aab9d63e1efccd02b7abac038c28977ec0155a199f61d0aa066355a2d2000
1118e439f5e09d71f0ab4a2f93f3eda7	254	2	1	1217d00e5c00e2381d75d67db45d0bceb24c67c463632d6ed1e9a90bf9bd98fb
1304d0f9dc2397bbf02e61577a2f5adc	253	25	2	7f378f8e677c04ea889410c88a935e9ca83fbb8b70b879caf371e2a660a4da4d
132bee48373460dce6dc3682fc023242	253	6	1	c5bcd839bad7017a1ae06e8d0b6593cfaea3a9c12108d74d6731c74fc40486df
145c63ee007bff033211e7acb00c2ea4	253	3	1	2144968fd65c48bd4c2c15e7c09c14f0a0b95de324481392a5e39cd00dae6f8a
145dd81c19bf3ceb88f911840da09753	253	2	1	7b0e154542d091aa43e944bdaa6e4742552975f3921b01ffd925f51dc5b5ea71
153f5dc3a17e6cf9df0cac4a4626f744	254	3	1	918b19d36157a270c650a1bf587475889d7a40c4aa00939c46a1aad52c60857d
157ff7048c408a2243548ccc631e92c7	253	2	1	d48efe91b913bfe0be18b7fa6ed14bb12768a9a3bf6017db5aba98dde72eb9bf
160083d0a5f65a88f14333860e7aac77	253	7	2	37c4f9e3a047bf2c73e5058cf98125f227e9d2e1c93ea51a105a81193fb02670
16f300a764ed32dd3259f6be8ff697de	253	7	1	1443b308a48df007eea047024b67d337f2cda09d8e2a61413a54d466d6d16789
178e5b49d1382ecedfaeb479490b0a0b	253	2	1	04d50445cea0f618e108ecf6c45072bd6f04db6639c7621fd81cb2ad20ec8337
17bcaf5a87036a0156e86b9fd722a418	253	4	1	645997fb0c557f9d47a2fa11ba7702eb1c5685904dbcc3be63b7b6bea7dac2e5
17cca5dbb858ecc8331af6ce73ecfbbe	253	3	1	a6e528799b40a17f29ddbdaeac9d07a41910df2c3a849710bd0553eb9da41e3d
17df3d296faa86b1b301701e1eebdc7d	254	6	1	591ccb6472b88e9a542f6d19b151844a523c28d99726d4779f84c3eb98f33297
1878c877726ea800913b57df800be272	253	6	1	7e2926f41964cdb5fc00bc1576212de1da9c30ac552faf0a49e145ab11c8a1d0
18ff009abc8eccc4c9515ba5d20b2ea9	255	8	1	24944932ff76954001cecc88bfd36b5e708cb2fbcbb0823bfe3ab8b4e7a62e94
19134cd91473a8716af2fea6515a38ad	254	4	1	fa79595062d7d9f3f103ce6715e95cdc493e5898baa405e7109a9ee4658aa0b5
1a2c609995e7d735d0d7040ee5bb6e3b	254	3	1	7736cd5b0f61bbaa23d580cc64b24dcb0058ca9b95f06313011ab803a7711fa9
1b582e02c5db66d9b19bac42d19cbdfe	253	4	1	274214c20d2aa01b7fc81300db76957a5d549e9a0cfe3deb65b27e15158c599b
1c8aaf7ad4d934ef9d673d03d0267425	253	2	1	84441e97cfd14afe69fe14182b99756ecf6b8c1b62cb40f27028d3f4cdf513cf
1e4c881a8860dc325bcfe839a009aebd	253	13	1	b701c701e8823362f86075e41a8c2e653cf477b3b523b8a9c6b28b751310753d
1f35fc598292457fbb482e2b8f4237fd	254	4	1	788357ccdb9dd37ac75af1e4c6691eafa5f32b90b17dbc4c2de5205fdbc23c8e
1f8747026500ce37ab66b935d9b1b53e	253	131	2	da075c84801ea4c91a31c2a76fa68cbbd11a5e3aaf24ef7109bc808f5bb0ed62
1fb6df604938c337483d36ee2e939b92	253	4	1	e94bc4220dac956fcaa97a30262d9d216a63804dee6e8375bb2700f427711732
2062317b64c59a5b7f3844326e77c74a	254	2	1	f71848a3e4eb0bee7fb3abd5f95e1a27377b55146bdef617997952b4bffa777e
211f84cff854705248e5f6256a2727a9	254	8	2	657a81d25ac147ae25a809870d3b0a8fecc2303ebcd8f94b250ee54c11a3b5eb
219a08aa0eba36293d0eb2bd03fd92de	254	3	1	968382f273e926677bca7fb9a6b5c8dbc9222c3bf82d55fe1a16c5a77e1f774d
21d6db2bb764f3dcb1826f42e4ceceb7	254	5	1	d6fd98d49426d412edbb3eebaec7730c5e3c60fb2bd445caffff7fc8f6f64ea7
21f78e2feca8fbd3cde3d8f5f53f0392	253	2	1	ba13ffc3d00b4c32f69027af63198922d7ee18280458ca5869de7f42a6143cd3
245422d8e5161734680fc1df34efc639	254	2	1	3f624660eaba5279fe2aaf2dc3feb0a31cfab92042124012318af8b866f557f4
25ac4f5d6d2d91f28705ee0fa3f10bdb	256	7	2	b24295b6bdf32e88f8e3e945188da463f5e3497dec89c3456c9081336f4dc6f5
25e119f38effd7d58bf3442bd40eaf00	253	62	2	9eefe3b7633e4153a2ce65a0b81479f4593ddebcae160ca05b4271139e4d0130
266d3c050f6688d15024f3c36c9328d8	253	19	2	a458228f785a737bef04b899ecc0e3eb4ce425add8c5a6dd6586f6d508709fae
268425f28d1096a853eba13a06210c18	253	2	1	346d387debc318cd4ce467fb961fcac728f434e29523f927b19560de8445a6fe
26dbef51cdba97c1f8b84a235ea06f3c	253	7	1	bca2b14ef1b86e37edbbc3461bce2a91605918c92bd7555c1d3a45ac852e4563
2700161fea3aa737f125e20238356dc6	253	50	4	32d2e5cb5663dee7ca65d76d206b78f94bc4b664b9e074a83741de1b5d5be501
279be72845ff87119638eed742556e91	253	3	1	cfe742501a99f4b657000761ef27dd52a4c6d718227cf57c6689f81910e492fd
282f2a4eae6189311ff7312c03d5f7d7	253	8	1	e6103f54f923e24fa2ac1df625e5619d0f8743c0884b47ae1255acaa6ecf22b6
287bbe44da5c1f5deb2b747d3e8dd297	253	8	1	76a7bceaa8f3c0b71cc1e9a2ee37483a2633e1db29e902e16becf1ca4b28f62d
28c202100ee518d8a495d46af25ed41e	253	2	1	0c7e1dc2ceb7012173b530b8b18fb59684eb0e2b31f79fb7f02c71d3ec5d2493
29c348ca28837d49e58c55fc98ac9e80	254	7	1	599f3f218ca354134bd3191b3be57d46684443ec6e086139dc8ffc7890d5722c
2a51ac1efc8e7a7807d008295442731e	254	7	1	3914bc35f366bc21bc7509e561529f9c5423f1f21498010c316e2768dbf606c2
2abc8c5b975a1b33aec4bffcc84e84c2	253	6	1	e6838383c58629ebeb4b7ea685a9da46cbee218632c81b684cd5a5108ffa05e9
2aeca764af87c7fe4b4ecdfef1e7face	253	2	1	3c749ac88c9a9fff916bb34a459535a2ed5851b071f9af79cc887f8e0312bf0d
2b1c55727a55a88c4d45510579a1ed1a	253	2	1	f552a03ebd1fb72aae01fa19818fe45abcdef7f2cc77ee7ff7b2a488740c8955
2b9f3a8f685d68714acd248e5e683700	253	33	1	cd867e64be9551737d85746ba649a9588c94203a055d29563034035edc266251
2bfdfef3ab9fe4d267c52f8ee5c80ddd	253	30	3	d2abe0c48290d73e430b144ce37552502495c4147735b06a800a32c09134f06c
2cd04b1d0e1b11f8c96708fa90e0def8	253	7	1	17681136f8e0b6bf16486d50a61e1b7aa5d95a64e0774908b1d4f22d91f8cd1b
