database	records	minimum_length	median_length	mean_length	maximum_length	sequence_taxonomy_id_match	sequence_sha256	taxonomy_sha256
SILVA	262752	200	253.0	254.42	400	True	3a251d263bd4e12c96023c84b3f2e255b8bcb0d5865dc6f299f9918e6be3a808	f49320aaa32aa70af5c5a48649786e3bb4177868da5da4d2143d0a54c5fa47b0
GTDB	51985	200	253	253.22	364	True	3c4234b4defcdc3d8c3b4d1e8956b12288bccd853a4b7f3a3003847c32e6e250	a23d0d4f62183e949c868c3f25aace3acdebb9362ae0bb1d0e9fe81e74c43fe0
Greengenes2	98185	200	253	252.97	399	True	330fe7f400c84c1e454ca9193bcc49f078b01c7880a8bfb99cbe4c0c3c1c14d2	9594e9ae78a568672891693207fd4dcc31f8eada83b931031642fafcff2684bd
