Model	df	AIC	BIC	logLik	AR1Phi	LikelihoodRatioP
Random intercept	14	326.257835963459	373.89531930967	-149.128917981729	NA	NA
Random intercept + AR(1)	15	326.210439055536	377.25059978362	-148.105219527768	0.138323279492108	0.152466680018862
