SampleID	Axis1	Axis2	SubjectID	Cohort	Timepoint	TimeLabel
Sample-47	0.00977059280100171	-0.134133643131613	nmz	African American	6	T6
Sample-48	0.565119412851511	-0.147887898166771	olg	African American	6	T6
Sample-49	-0.284061470018688	-0.0204981135619968	byn	African American	6	T6
Sample-50	-0.635630462423677	-0.178725179280544	byu	Rural African	1	T1
Sample-51	-0.514740099147554	-0.0451323824816191	dwc	Rural African	1	T1
Sample-52	-0.721543656394808	-0.191496279060253	fud	Rural African	1	T1
Sample-53	-0.143092058718078	0.311828761540953	byu	Rural African	6	T6
Sample-54	-0.381571880776901	0.124705039508034	dwc	Rural African	6	T6
Sample-55	-0.585205880076232	-0.0923239106590458	fud	Rural African	6	T6
Sample-56	0.0202066273665187	0.0491964250834837	vem	Rural African	1	T1
Sample-57	-0.63577594633823	-0.119165364059362	wdf	Rural African	1	T1
Sample-58	-0.61336152457642	0.00589476840764642	xcw	Rural African	1	T1
Sample-59	-0.408143294305696	-0.0118225108896656	ybg	Rural African	1	T1
Sample-60	-0.474869722761689	0.0800797457124232	zaq	Rural African	1	T1
Sample-61	-0.647466972675548	-0.12967348133715	azl	Rural African	1	T1
Sample-62	0.0689305410615909	0.21423497994639	vem	Rural African	6	T6
Sample-63	-0.404592768045351	0.160319839020537	wdf	Rural African	6	T6
Sample-64	-0.489216535914056	0.151493415448057	xcw	Rural African	6	T6
Sample-65	0.0743962573572238	0.624893987124571	ybg	Rural African	6	T6
Sample-66	-0.369283862689046	0.0119019379852739	zaq	Rural African	6	T6
Sample-67	-0.155250536510712	0.350071888284082	azl	Rural African	6	T6
Sample-68	0.559763331039902	-0.422217929607183	cxj	African American	1	T1
Sample-69	-0.62067087978911	-0.201990524059181	dwk	African American	1	T1
Sample-70	0.581349035992201	-0.374653620121237	cxj	African American	6	T6
Sample-71	0.55387680099059	-0.446813599923725	eve	African American	1	T1
Sample-72	0.536211679904573	-0.422526557957556	eve	African American	6	T6
Sample-73	0.509697298654546	0.152094380635216	fua	African American	1	T1
Sample-74	-0.42158137995458	0.0280904275532589	vem	Rural African	4	T4
Sample-75	0.133658291993876	0.543379547635935	xcw	Rural African	4	T4
Sample-76	-0.0804058275752173	0.500193518443539	ybg	Rural African	4	T4
Sample-77	-0.551476540910192	-0.0244999041113503	zaq	Rural African	4	T4
Sample-78	-0.25149434894482	-0.165314675837623	azl	Rural African	4	T4
Sample-79	-0.579652724564147	0.0408815805659769	byu	Rural African	4	T4
Sample-80	0.225290913616849	0.181336035133661	dwc	Rural African	4	T4
Sample-81	-0.706025661999514	-0.17113872555395	fud	Rural African	4	T4
Sample-82	-0.473584957361735	-0.148196470839617	vem	Rural African	5	T5
Sample-83	0.159099573674805	0.588089667276725	wdf	Rural African	5	T5
Sample-84	0.199708623281879	0.558771861545649	xcw	Rural African	5	T5
Sample-85	-0.145234472662374	0.529180262494354	ybg	Rural African	5	T5
Sample-86	-0.343216872942666	0.0844337906433245	azl	Rural African	5	T5
Sample-87	0.00455678550263057	0.256731937353322	dwc	Rural African	5	T5
Sample-88	-0.612074959319743	-0.0688553944802978	fud	Rural African	5	T5
Sample-89	-0.743323763520122	-0.236784054699265	vem	Rural African	2	T2
Sample-90	-0.403541410123029	0.150384254841739	wdf	Rural African	2	T2
Sample-91	-0.537119376214987	0.196911032703312	xcw	Rural African	2	T2
Sample-92	-0.264567315919451	0.346070384490659	ybg	Rural African	2	T2
Sample-93	-0.669012514836901	-0.221496313835317	azl	Rural African	2	T2
Sample-94	-0.737257351689037	-0.236385912534335	dwc	Rural African	2	T2
Sample-95	-0.746845689003831	-0.180264073019401	fud	Rural African	2	T2
Sample-96	-0.374296489788681	0.189848023471415	wdf	Rural African	3	T3
Sample-97	-0.25625562696077	0.421731976966998	xcw	Rural African	3	T3
Sample-98	-0.41950120458733	0.16109514368651	ybg	Rural African	3	T3
Sample-99	-0.681034433784745	-0.169734430405154	fud	Rural African	3	T3
Sample-100	0.285114920869782	0.384762424188227	wdf	Rural African	4	T4
Sample-101	-0.587287066061507	0.0222659699292536	zaq	Rural African	5	T5
Sample-102	-0.279327433063619	0.306571608689754	byu	Rural African	5	T5
Sample-103	-0.749446535372737	-0.230577065666566	zaq	Rural African	2	T2
Sample-104	-0.743656879575996	-0.238599000515618	vem	Rural African	3	T3
Sample-105	0.0685170471588332	0.281849521109342	zaq	Rural African	3	T3
Sample-106	-0.609281928914615	-0.179827998984988	azl	Rural African	3	T3
Sample-107	-0.740836697323371	-0.21686626643744	byu	Rural African	3	T3
Sample-108	-0.430024558105058	-0.0709630391829143	dwc	Rural African	3	T3
Sample-109	0.471759051255506	-0.153269350405247	azh	African American	2	T2
Sample-110	0.556025251764797	-0.285061257323896	lox	African American	2	T2
Sample-111	0.244967053729097	0.200904386021198	gty	African American	2	T2
Sample-112	-0.256946484337161	0.0121873416815534	kpp	African American	2	T2
Sample-113	0.560336923392924	-0.374804070768445	lot	African American	2	T2
Sample-114	0.514557443500757	-0.269551078208155	mni	African American	2	T2
Sample-115	0.173002534222738	0.444577584849853	nmz	African American	2	T2
Sample-116	0.563907832177601	-0.129172889271919	olg	African American	2	T2
Sample-117	0.519418999426471	-0.387648084748567	cxj	African American	2	T2
Sample-118	-0.544845981741181	-0.104756540663254	dwk	African American	2	T2
Sample-119	0.235549032105481	-0.0862061029778467	azh	African American	3	T3
Sample-120	0.378712572671259	-0.0426667407588704	lox	African American	3	T3
Sample-121	0.18189595100076	0.195396657505627	gty	African American	3	T3
Sample-122	0.577380786752464	-0.323421455420613	kpp	African American	3	T3
Sample-123	-0.211227696202325	-0.0175610455295612	lot	African American	3	T3
Sample-124	0.402995667345485	-0.103985097551184	mni	African American	3	T3
Sample-125	-0.609075906507069	-0.353210967622073	nmz	African American	3	T3
Sample-126	0.170096535271669	0.228365911036286	olg	African American	3	T3
Sample-127	0.28712496906917	-0.0535786984871544	byn	African American	3	T3
Sample-128	0.539956247275599	-0.286139686702171	cxj	African American	3	T3
Sample-129	0.150204282094389	0.1817680598588	dwk	African American	3	T3
Sample-130	0.471308688656118	-0.227943039659995	azh	African American	4	T4
Sample-131	0.560901646808662	-0.279438052336625	lox	African American	4	T4
Sample-132	-0.14758898600223	0.0871564125211258	gty	African American	4	T4
Sample-133	-0.468641622109982	-0.170331946512293	kpp	African American	4	T4
Sample-134	0.528141516929932	-0.152823715405981	lot	African American	4	T4
Sample-135	0.502900108467631	-0.212332475165357	mni	African American	4	T4
Sample-136	0.165796138634194	0.394335853814802	nmz	African American	4	T4
Sample-137	-0.111031196351461	0.285091667725056	olg	African American	4	T4
Sample-138	0.575320357014458	-0.4958229584638	cxj	African American	4	T4
Sample-139	0.584888833942455	-0.311175811556064	dwk	African American	4	T4
Sample-140	0.371840195693942	-0.100926172407258	azh	African American	5	T5
Sample-141	0.539191691342317	-0.193424134676542	lox	African American	5	T5
Sample-142	0.232041375926669	0.217037075186495	gty	African American	5	T5
Sample-143	-0.504780004622103	-0.195245258419178	kpp	African American	5	T5
Sample-144	0.554027353007192	-0.110543603414467	lot	African American	5	T5
Sample-145	0.524617801283396	-0.350492420907571	mni	African American	5	T5
Sample-146	0.392066200003914	0.408253300415431	nmz	African American	5	T5
Sample-147	0.234464189071191	0.427975306140392	olg	African American	5	T5
Sample-148	0.532314270473597	-0.246354469818456	byn	African American	5	T5
Sample-149	-0.000543608925001832	0.0382656612642894	cxj	African American	5	T5
Sample-150	0.571071324459937	-0.461207607145843	eve	African American	2	T2
Sample-151	0.575101056055014	-0.448357109259942	eve	African American	3	T3
Sample-152	0.559764854067025	-0.396393007186692	eve	African American	4	T4
Sample-153	0.557030723887517	-0.349467410310038	eve	African American	5	T5
Sample-154	0.557795095755247	0.0149906348828179	byn	African American	2	T2
Sample-155	0.544099348857178	-0.119352306025013	fua	African American	2	T2
Sample-156	0.383919848783126	0.490008107818334	gtd	African American	2	T2
Sample-157	0.499944470132907	-0.114592354003056	hsf	African American	2	T2
Sample-158	0.431914666158681	0.137826997672257	irq	African American	2	T2
Sample-159	-0.599674142943671	-0.304379678132424	jqr	African American	2	T2
Sample-160	0.586143655599031	-0.259032380414997	kpb	African American	2	T2
Sample-161	-0.615299818180479	-0.119452189742018	mnk	African American	2	T2
Sample-162	0.374818481524546	0.458208561939063	fua	African American	3	T3
Sample-163	-0.262590724171762	0.0532554910526533	gtd	African American	3	T3
Sample-164	0.424416281955829	-0.267326084679674	hsf	African American	3	T3
Sample-165	0.240499315099371	0.365777214017194	irq	African American	3	T3
Sample-166	0.50457457516602	-0.396690203371235	jqr	African American	3	T3
Sample-167	0.530902822804803	0.00947806077522243	kpb	African American	3	T3
Sample-168	-0.731068274909374	-0.239326470409481	mnk	African American	3	T3
Sample-169	0.309298545240674	0.0872177773545082	fua	African American	5	T5
Sample-170	0.214386867717812	-0.0118592112493852	gtd	African American	5	T5
Sample-171	0.459235240070424	-0.356911674357399	hsf	African American	5	T5
Sample-172	0.555584992754723	-0.273794966562691	irq	African American	5	T5
Sample-173	0.467737720576908	0.124526548127336	fua	African American	4	T4
Sample-174	0.217923389921572	0.443659236508271	gtd	African American	4	T4
Sample-175	0.532116819668639	-0.341412066573049	hsf	African American	4	T4
Sample-176	0.474886348696237	-0.0410747212746715	irq	African American	4	T4
Sample-177	0.521302777333902	-0.0895793094774186	fua	African American	6	T6
Sample-178	0.334407895492396	0.435342632587102	gtd	African American	1	T1
Sample-179	0.503679885084327	-0.366221195242637	hsf	African American	1	T1
Sample-180	0.477044895250579	0.218290263489324	irq	African American	1	T1
Sample-181	-0.110330284750358	-0.336082870225159	jqr	African American	1	T1
Sample-182	-0.741013037020102	-0.245634702644311	kpb	African American	1	T1
Sample-183	-0.145124977302305	-0.0983350351836792	mnk	African American	1	T1
Sample-184	0.28551904204369	0.351189671515389	gtd	African American	6	T6
Sample-185	0.411596184958882	-0.370732068025342	hsf	African American	6	T6
Sample-186	0.550692368304752	-0.481369868819553	irq	African American	6	T6
Sample-187	-0.747307684640016	-0.218651944678788	kpb	African American	4	T4
Sample-188	0.574004479052123	-0.458271944539462	mnk	African American	4	T4
Sample-189	-0.480745717632352	-0.272669311233216	jqr	African American	5	T5
Sample-190	-0.690131432365105	-0.209494705645726	kpb	African American	5	T5
Sample-191	0.567078466546063	-0.338191881909058	mnk	African American	5	T5
Sample-192	-0.182894595924742	-0.429600957725234	jqr	African American	6	T6
Sample-193	-0.411398948281951	0.080195137520382	kpb	African American	6	T6
Sample-194	0.568776611413801	-0.337683805957013	mnk	African American	6	T6
Sample-195	0.466947649622049	-0.130888206696769	irh	African American	2	T2
Sample-196	0.11473133119469	-0.038514770457672	jql	African American	2	T2
Sample-197	0.54555578628415	-0.336181437603829	irh	African American	3	T3
Sample-198	-0.306542190387525	-0.294867186374196	jql	African American	3	T3
Sample-199	0.555143130364534	-0.0888414819524914	irh	African American	4	T4
Sample-200	-0.597040474020863	-0.272327026543157	jql	African American	4	T4
Sample-201	0.55369402671596	-0.122360159450377	irh	African American	5	T5
Sample-202	-0.312862752488637	-0.179721609631229	jql	African American	5	T5
Sample-203	0.545139676941585	-0.188668000389408	irh	African American	1	T1
Sample-204	-0.0663430948191547	-0.4604622793766	jql	African American	1	T1
Sample-205	0.557351744580289	-0.154242967964995	irh	African American	6	T6
Sample-206	-0.708289836149473	-0.271157108216967	jql	African American	6	T6
Sample-207	-0.661084299894301	-0.166471199408562	nms	Rural African	1	T1
Sample-208	-0.63126601851292	-0.16052971395437	olt	Rural African	1	T1
Sample-209	-0.739175889062038	-0.217782735089615	pku	Rural African	1	T1
Sample-210	-0.763181748954315	-0.235780805118476	qjy	Rural African	1	T1
Sample-211	0.469839992425155	0.163998008664937	riv	Rural African	1	T1
Sample-212	-0.724384560835034	-0.246272268777383	shj	Rural African	1	T1
Sample-213	-0.533256095420746	0.00388222874538235	tgx	Rural African	1	T1
Sample-214	-0.567907441197046	-0.049903910989189	ufm	Rural African	1	T1
Sample-215	0.32314156455165	0.412817904236115	nms	Rural African	6	T6
Sample-216	0.0465640801403202	0.47147992929236	olt	Rural African	6	T6
Sample-217	-0.376228421830688	0.0919974688787644	pku	Rural African	6	T6
Sample-218	0.178657917477301	0.638013861353654	qjy	Rural African	6	T6
Sample-219	0.0718014610239626	-0.115749173365095	riv	Rural African	6	T6
Sample-220	-0.595045729961908	-0.125125554186421	shj	Rural African	6	T6
Sample-221	0.0118625918926855	0.433937280923194	tgx	Rural African	6	T6
Sample-222	0.0499574191346378	0.290113797438765	ufm	Rural African	6	T6
