Feature	Importance	Top10	DisplayTaxon
Fusobacterium	0.1787378862401223	1	Fusobacterium
Ruminococcus	0.013852632636657028	1	Ruminococcus
Coprococcus	0.012212380695542289	1	Coprococcus
unclassified_Ruminococcaceae	0.010472894929465742	1	unclassified_Ruminococcaceae
Clostridium_XlVa	0.011401263396116908	0.9333333333333333	Clostridium_XlVa
unclassified_Clostridiales	0.006859147802570946	0.8	unclassified_Clostridiales
Acidaminococcus	0.005713815006276358	0.8	Acidaminococcus
Succinivibrio	0.004940886914101194	0.6666666666666666	Succinivibrio
Bacteroides	0.0057286179065912345	0.6	Bacteroides
unclassified_Lactobacillaceae	0.0038610816536206933	0.4	unclassified_Lactobacillaceae
Pediococcus	0.004244575499627954	0.375	Pediococcus
Fusicatenibacter	0.004161921568585522	0.3333333333333333	Fusicatenibacter
Oscillibacter	0.003183266034288426	0.26666666666666666	Oscillibacter
Ruminococcus2	0.00291949634260917	0.26666666666666666	Ruminococcus2
unclassified_Clostridiaceae	0.0016379672209174021	0.2222222222222222	unclassified_Clostridiaceae
Gemmiger	0.0023555040596672447	0.2	Gemmiger
unclassified_Coriobacteriaceae	0.0018375072101826958	0.14285714285714285	unclassified_Coriobacteriaceae
Succiniclasticum	0.0026932137261521725	0.13333333333333333	Succiniclasticum
Faecalibacterium	0.0024191402786437515	0.13333333333333333	Faecalibacterium
unclassified_Bacillales	0.002323898836243319	0.13333333333333333	unclassified_Bacillales
EscherichiaShigella	0.0018046002969631584	0.13333333333333333	EscherichiaShigella
unclassified_Anaeroplasmataceae	0.0017413386053313758	0.07142857142857142	unclassified_Anaeroplasmataceae
unclassified_Oligosphaeraceae	0.0015805055694343895	0.06666666666666667	unclassified_Oligosphaeraceae
Clostridium_IV	0.0013333630304202095	0.06666666666666667	Clostridium_IV
Paraprevotella	9.825149302569696e-4	0.06666666666666667	Paraprevotella
Mogibacterium	9.285309367282726e-4	0.06666666666666667	Mogibacterium
unclassified_Eubacteriaceae	0.0012222554033792824	0	unclassified_Eubacteriaceae
Megasphaera	0.0010319737570588826	0	Megasphaera
Cerasicoccus	7.968735530615882e-4	0	Cerasicoccus
Collinsella	7.780840221716794e-4	0	Collinsella
unclassified_Peptococcaceae	7.20651164673027e-4	0	unclassified_Peptococcaceae
Catenibacterium	7.045243487147653e-4	0	Catenibacterium
Eggerthella	6.356339242578674e-4	0	Eggerthella
Clostridium_sensu_stricto	6.354592813769382e-4	0	Clostridium_sensu_stricto
Lactobacillus	6.301577868552591e-4	0	Lactobacillus
Faecalicoccus	6.295078417466476e-4	0	Faecalicoccus
