Repeat	OuterFold	MtryFraction	MinNodeSize	MeanInnerAUC
1	1	0.1	3	0.9795362589480237
1	1	0.3	3	0.9856248054777467
1	1	0.6	3	0.9907407407407407
1	1	0.1	10	0.9818510737628384
1	1	0.3	10	0.9902544351073763
1	1	0.6	10	0.9953703703703703
1	2	0.1	3	0.9925692499221911
1	2	0.3	3	0.9953703703703703
1	2	0.6	3	0.9930555555555556
1	2	0.1	10	0.994884064737006
1	2	0.3	10	0.9930555555555556
1	2	0.6	10	0.9930555555555556
1	3	0.1	3	1
1	3	0.3	3	0.9976851851851852
1	3	0.6	3	0.9976851851851852
1	3	0.1	10	0.9976851851851852
1	3	0.3	10	0.9976851851851852
1	3	0.6	10	0.9976851851851852
1	4	0.1	3	0.9879396202925614
1	4	0.3	3	0.9897681294740118
1	4	0.6	3	0.9879396202925614
1	4	0.1	10	0.987453314659197
1	4	0.3	10	0.9925692499221911
1	4	0.6	10	0.9879396202925614
1	5	0.1	3	0.9884259259259259
1	5	0.3	3	0.9930555555555556
1	5	0.6	3	0.988289760348584
1	5	0.1	10	0.9861111111111112
1	5	0.3	10	0.9907407407407408
1	5	0.6	10	0.988289760348584
2	1	0.1	3	0.9926470588235294
2	1	0.3	3	0.9975490196078431
2	1	0.6	3	0.9975490196078431
2	1	0.1	10	0.9898459383753502
2	1	0.3	10	0.9975490196078431
2	1	0.6	10	0.9950980392156863
2	2	0.1	3	0.9930555555555556
2	2	0.3	3	1
2	2	0.6	3	1
2	2	0.1	10	0.9953703703703703
2	2	0.3	10	1
2	2	0.6	10	1
2	3	0.1	3	0.9953703703703703
2	3	0.3	3	0.9976851851851852
2	3	0.6	3	1
2	3	0.1	10	0.9930555555555556
2	3	0.3	10	0.9976851851851852
2	3	0.6	10	1
2	4	0.1	3	0.9930555555555556
2	4	0.3	3	0.9953703703703703
2	4	0.6	3	0.9953703703703703
2	4	0.1	10	0.9907407407407407
2	4	0.3	10	0.9953703703703703
2	4	0.6	10	0.9965277777777778
2	5	0.1	3	0.9926470588235294
2	5	0.3	3	1
2	5	0.6	3	1
2	5	0.1	10	0.9927832244008715
2	5	0.3	10	1
2	5	0.6	10	1
3	1	0.1	3	0.9747899159663865
3	1	0.3	3	0.9791666666666666
3	1	0.6	3	0.9838935574229692
3	1	0.1	10	0.9747899159663865
3	1	0.3	10	0.9803921568627451
3	1	0.6	10	0.9815787426081544
3	2	0.1	3	0.986111111111111
3	2	0.3	3	0.9791666666666666
3	2	0.6	3	0.9884259259259259
3	2	0.1	10	0.9768518518518519
3	2	0.3	10	0.9884259259259259
3	2	0.6	10	0.9837962962962963
3	3	0.1	3	0.9953703703703703
3	3	0.3	3	1
3	3	0.6	3	0.9976851851851852
3	3	0.1	10	0.9953703703703703
3	3	0.3	10	0.9953703703703703
3	3	0.6	10	0.9976851851851852
3	4	0.1	3	1
3	4	0.3	3	1
3	4	0.6	3	1
3	4	0.1	10	0.9976851851851852
3	4	0.3	10	1
3	4	0.6	10	0.9976851851851852
3	5	0.1	3	0.9814814814814815
3	5	0.3	3	0.9929193899782135
3	5	0.6	3	0.9975490196078431
3	5	0.1	10	0.9837962962962963
3	5	0.3	10	0.9906045751633987
3	5	0.6	10	0.9952342047930284
