Permutation	AUC
1	0.537878787878788
2	0.3774817136886102
3	0.5015673981191222
4	0.3785266457680251
5	0.4723092998955068
6	0.49373040752351094
7	0.4673458725182863
8	0.4751828631138976
9	0.47622779519331243
10	0.49242424242424243
11	0.48537095088819227
12	0.4328631138975967
13	0.5271682340647857
14	0.2876175548589342
15	0.5130616509926855
16	0.35736677115987464
17	0.32027168234064785
18	0.351619644723093
19	0.39707419017763845
20	0.5208986415882968
21	0.47570532915360503
22	0.3667711598746082
23	0.48432601880877746
24	0.43625914315569486
25	0.4482758620689655
26	0.5736677115987461
27	0.4717868338557994
28	0.44357366771159873
29	0.2988505747126437
30	0.4655172413793104
31	0.35893416927899685
32	0.5297805642633229
33	0.4864158829676071
34	0.4101358411703239
35	0.5005224660397074
36	0.5154127481713688
37	0.38662486938349006
38	0.4059561128526646
39	0.3051201671891327
40	0.48563218390804597
41	0.5073145245559039
42	0.43521421107628006
43	0.56478578892372
44	0.3649425287356322
45	0.46185997910135845
46	0.337251828631139
47	0.4822361546499478
48	0.5287356321839081
49	0.4124869383490073
50	0.5031347962382445
