Variable	Axis1Direction	Axis2Direction	PlotAxis1	PlotAxis2	TwoAxisR2	PValue	PAdjustedBH	RejectBH05	TestFamilySize	Interpretation
Temperature	0.9407718754046259	-0.3390402313113635	0.8418785937958004	-0.30340055930546384	0.8008114660784628	0.001	0.0015714285714285715	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
Latitude	-0.9803028187707881	-0.1975003379998317	-0.8771707379520909	-0.17672245138122636	0.8006593283416055	0.001	0.0015714285714285715	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
Altitude	-0.05521967380776122	0.9984742298249687	-0.04809213072144107	0.8695950169843899	0.7585083466014095	0.001	0.0015714285714285715	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
Longitude	-0.36941726111979406	-0.9292636263121192	-0.3216592348428961	-0.8091290214778631	0.7581544367574417	0.001	0.0015714285714285715	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
Conductivity	0.8660248379598511	-0.5000009800356534	0.6440648908388271	-0.37185200990840306	0.5530935008841493	0.001	0.0015714285714285715	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
Precipitation	0.7938133504395365	-0.6081614626593479	0.5571090695320678	-0.426816034776701	0.4925424428973926	0.001	0.0015714285714285715	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
pH	0.4627064849079268	0.8865115390248174	0.2750880216146588	0.5270483845875434	0.35345341933220614	0.001	0.0015714285714285715	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
TN	-0.9005471113286382	-0.4347584389953177	-0.3893286689604229	-0.18795676788483803	0.1869045590682094	0.002	0.002444444444444445	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
TOC	-0.8492127717354032	-0.5280508198284269	-0.35020147956943226	-0.2177595351208228	0.17006029142865633	0.002	0.002444444444444445	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
NO3	-0.9163981098263185	-0.40026804057625004	-0.2578972688344579	-0.11264540308349096	0.07919998810811482	0.028	0.030800000000000004	TRUE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
NH4	0.19159646572267414	0.9814737868749119	0.045121272990086086	0.23113864080508248	0.055461000549466816	0.073	0.073	FALSE	11	Association with the displayed two-axis PCoA configuration; not variance explained in the full community table
