Variable1	Variable2	PearsonR	AbsR
Longitude	Altitude	-0.8637497748590467	0.8637497748590467
Latitude	Temperature	-0.8454553278566243	0.8454553278566243
Temperature	Precipitation	0.85406152703561	0.85406152703561
TOC	TN	0.9880195363639568	0.9880195363639568
