SampleID	PCoA1	PCoA2	Group
S1	-0.2819267362377795	-0.07325613301038766	Inland wetland
S2	-0.3521143701513805	-0.1768915886511079	Inland wetland
S3	-0.3611914021744159	-0.21457311687649563	Inland wetland
S4	-0.37218817974504864	-0.2510408310114596	Inland wetland
S5	-0.3341215006027105	-0.22442003987767234	Inland wetland
S6	-0.3455584543311673	-0.24112151088622685	Inland wetland
S7	-0.37220714686287304	-0.260170864080581	Inland wetland
S9	-0.33576463017597014	-0.1252536970586248	Inland wetland
S10	-0.3448867440090454	-0.24875593874502056	Inland wetland
S11	-0.3297076346468459	-0.23697260648116544	Inland wetland
S12	-0.3217263032979259	-0.22743971404872437	Inland wetland
S13	-0.334718010363585	-0.22811446121875603	Inland wetland
S15	-0.059398703743110313	0.0466657887367344	Inland wetland
S16	-0.08814171259216225	0.0426236969589126	Inland wetland
S17	-0.06612377025958918	0.019245052958958255	Inland wetland
S18	-0.1172217907349647	0.10762688223680561	Inland wetland
S19	-0.12782075727342554	0.12388967843852981	Inland wetland
S20	-0.10306236983385943	0.045785023011566076	Inland wetland
S22	-0.30340689007697696	-0.22887571351204114	Inland wetland
S23	-0.30675632894056953	-0.22745954116032205	Inland wetland
S24	-0.2968738677254036	-0.2271977610191908	Inland wetland
S25	-0.2553544963458709	-0.20052120691012207	Inland wetland
S26	-0.17173128889359018	0.06341449381447124	Inland wetland
S27	-0.19015502322472538	0.06132913342420884	Inland wetland
S28	-0.09360381673642992	-0.03866804635144698	Inland wetland
S30	-0.13460382383306568	0.006315546016614804	Inland wetland
S34	-0.24633817071869646	-0.052446613243387355	Inland wetland
S35	-0.2131372119502532	-0.011776610509613011	Inland wetland
S36	-0.07333696462913553	-0.07977726703489418	Inland wetland
S37	-0.17088494986568484	0.07244957372517664	Inland wetland
S61	0.12654946228134417	-0.16228761082637247	Coastal wetland
S62	0.1446726859190989	-0.14284864693377797	Coastal wetland
S63	0.16883013485473636	-0.10035330049303799	Coastal wetland
S65	0.13849178031105303	-0.15998227014210584	Coastal wetland
S85	0.08709943284613633	-0.17494000868783616	Coastal wetland
S86	0.043693652365313244	-0.1063806126032677	Coastal wetland
S87	0.048748151242115574	-0.16753736489288448	Coastal wetland
S88	0.08511863809929973	-0.15628874019840863	Coastal wetland
S89	0.026983897769836368	-0.15984801427088488	Coastal wetland
S112	0.1652859738533415	-0.19358696402741885	Coastal wetland
S113	0.0825978106291177	-0.15201366625778728	Coastal wetland
S114	0.14175517434280707	-0.18033881143462793	Coastal wetland
S161	0.37862616798204646	-0.18733898706198887	Coastal wetland
S162	0.37903984205003577	-0.1891316351388394	Coastal wetland
S164	0.33960661548969673	-0.1493363407374876	Coastal wetland
S165	0.34652647640455964	-0.14696501962830483	Coastal wetland
S166	0.3603230351553464	-0.16919979722699666	Coastal wetland
S167	0.17017412129257703	-0.037697655171046	Coastal wetland
S168	0.20867680121756385	-0.0461824348381311	Coastal wetland
S169	0.16917837958032356	-0.04888320702556336	Coastal wetland
S170	0.3920348375656254	-0.19693505047655355	Coastal wetland
S171	0.3731030598238838	-0.17376910182923302	Coastal wetland
S172	0.4009009699054042	-0.19632903370762383	Coastal wetland
S173	0.39137406334603936	-0.1773605957291357	Coastal wetland
S174	0.3960069477934758	-0.1893798130234878	Coastal wetland
S175	0.41359671027926354	-0.2116648242068618	Coastal wetland
S176	0.31832354877781255	-0.14772949355994178	Coastal wetland
S177	0.32543125009240736	-0.1457737628633035	Coastal wetland
S179	0.07894383361324993	0.03557913717269677	Coastal wetland
S182	0.07600859510533237	0.03465523101136461	Coastal wetland
S187	0.10689066893100932	0.18664427291085758	Tibetan Plateau
S188	0.10722359904189889	0.14003330528925012	Tibetan Plateau
S191	0.1004209737621424	0.16917447007394087	Tibetan Plateau
S194	0.07369789974108673	0.016003931529987754	Tibetan Plateau
S196	0.09617728329810109	0.03439206773581861	Tibetan Plateau
S197	-0.054096996312569846	0.2650946887937649	Tibetan Plateau
S198	-0.05475327061139461	0.26342691613193336	Tibetan Plateau
S201	-0.045516634999081505	0.28538517877882025	Tibetan Plateau
S202	0.014432404762280712	0.20247980718529873	Tibetan Plateau
S203	0.07162659160841313	0.17361824108450094	Tibetan Plateau
S204	0.05663268282942348	0.19509097977324166	Tibetan Plateau
S205	0.07247875549028848	0.2431836375127642	Tibetan Plateau
S206	0.030848017261000907	0.2888007586396893	Tibetan Plateau
S207	0.015667770108285836	0.27065226478253224	Tibetan Plateau
S208	0.048033513565352674	0.2206607025910526	Tibetan Plateau
S209	0.008866958770833074	0.2512649572020359	Tibetan Plateau
S210	-0.04712610971936502	0.3303807925857912	Tibetan Plateau
S213	-0.033950313958501156	0.2588657085929458	Tibetan Plateau
S214	-0.007524504560683479	0.1747045434477589	Tibetan Plateau
S215	-0.021113986232604652	0.32562995593869554	Tibetan Plateau
S216	0.004641458305576183	0.32855329159787006	Tibetan Plateau
S217	-0.0804669208592694	0.248192376956767	Tibetan Plateau
S218	-0.04488046856916036	0.2487387667960466	Tibetan Plateau
S219	-0.020933951690332592	0.29587501330921995	Tibetan Plateau
S220	-0.03266796062570186	0.2825869013677804	Tibetan Plateau
S221	-0.005635959133516169	0.3265777359051866	Tibetan Plateau
S222	-0.004127631616472269	0.32263271127831206	Tibetan Plateau
S223	0.013104126349075155	0.29799086034095745	Tibetan Plateau
S224	-0.0402002005988105	0.26471346253130684	Tibetan Plateau
S225	-0.0013867943498899497	0.27388848650997805	Tibetan Plateau
