file	primary_sha256	replay_sha256	status
robust-aitchison-distance.tsv	879ef9b84afd43bb64c5d3a53b424599ac1058bf203cda7d1edbc3c2c4b35a04	879ef9b84afd43bb64c5d3a53b424599ac1058bf203cda7d1edbc3c2c4b35a04	PASS
robust-aitchison-sample-scores.tsv	7ffc1e5bbb25cd422579d82e53bdf07087ca50fb5340de39df5ced7ad3c94a09	7ffc1e5bbb25cd422579d82e53bdf07087ca50fb5340de39df5ced7ad3c94a09	PASS
robust-aitchison-feature-loadings.tsv	723627173f1fbb6b87a3bf9379bd7cbe1b94d71f25a6464b651bd456c795c992	723627173f1fbb6b87a3bf9379bd7cbe1b94d71f25a6464b651bd456c795c992	PASS
robust-aitchison-eigenvalues.tsv	763e0b561cb9ca92cde274e14761e0f31f8fb0b7ce254d4b1f15b98166176037	763e0b561cb9ca92cde274e14761e0f31f8fb0b7ce254d4b1f15b98166176037	PASS
robust-aitchison-ordination.txt	ee2f04d1a13100c3e8cd8c39a38117f051f257f1b9dfdf23634a95f92adbf355	ee2f04d1a13100c3e8cd8c39a38117f051f257f1b9dfdf23634a95f92adbf355	PASS
