metric	observed	expected	status
rooted	1	TRUE	PASS
tips	18988	18988	PASS
unique_tips	18988	18988	PASS
internal_nodes	18987	18987	PASS
edges	37974	37974	PASS
branch_lengths_present	1	TRUE	PASS
finite_branch_lengths	1	TRUE	PASS
negative_branch_lengths	0	0	PASS
zero_branch_lengths	0	0	PASS
minimum_branch_length	1e-4	>0	PASS
maximum_branch_length	0.29249000000000003	>0	PASS
tip_set_matches_otutab	1	TRUE	PASS
