command	path	status
pdfinfo	/usr/bin/pdfinfo	PASS
pdffonts	/usr/bin/pdffonts	PASS
identify	/usr/bin/identify-im6.q16	PASS
gemelli-python	/media/desk16/tly9658/wechat/16s/.tools/gemelli-0.0.13/bin/python	PASS
