package	expected_version	observed_version	status
python	3.12.13	3.12.13	PASS
gemelli	0.0.13	0.0.13	PASS
numpy	2.4.2	2.4.2	PASS
pandas	2.3.3	2.3.3	PASS
scipy	1.17.1	1.17.1	PASS
scikit_learn	1.7.1	1.7.1	PASS
scikit_bio	0.7.2	0.7.2	PASS
biom_format	2.1.17	2.1.17	PASS
