package	expected_version	observed_version	status
ape	5.8	5.8	PASS
digest	0.6.36	0.6.36	PASS
dplyr	1.1.4	1.1.4	PASS
ggplot2	3.5.2	3.5.2	PASS
jsonlite	1.8.8	1.8.8	PASS
phyloseq	1.48.0	1.48.0	PASS
ragg	1.3.2	1.3.2	PASS
readr	2.1.5	2.1.5	PASS
scales	1.3.0	1.3.0	PASS
svglite	2.1.3	2.1.3	PASS
systemfonts	1.1.0	1.1.0	PASS
tibble	3.2.1	3.2.1	PASS
tidyr	1.3.1	1.3.1	PASS
vegan	2.6-6.1	2.6-6.1	PASS
