Metric	PositiveEigenvalues	NegativeEigenvalues	MinimumEigenvalue	NegativePositiveRatio	Correction	Axis1Explained	Axis2Explained
Bray-Curtis	25	0	-1.3002832189449842e-16	1.1490447350498498e-17	None	0.14680524519640037	0.12142700699492073
Jaccard	25	0	-9.040552315633744e-17	8.898068832482641e-18	None	0.1385912247374287	0.1052680696519533
Unweighted UniFrac	25	0	-4.783264953342211e-17	6.380986314430226e-18	None	0.18067791789909787	0.12287177379581112
Weighted UniFrac	22	3	-0.008607714720069057	0.004550580377685354	Lingoes	0.3062737747963581	0.1330620446297396
Aitchison	25	0	-3.7033415664843355e-13	6.059540566978986e-19	None	0.23159028181986888	0.19812940328044173
Robust Aitchison	3	0	-5.747998186389514e-12	3.8824886582108445e-13	None	0.3947337024619642	0.3765373732590729
