figure	extension	path	detected_format	bytes	target_width_mm	target_height_mm	actual_width_mm	actual_height_mm	pixel_width	pixel_height	effective_ppi_x	effective_ppi_y	compression	pages	text_nodes	font_status	dimension_status
21-distance-choice-map	pdf	figures/21-distance-choice-map.pdf	PDF	25635	183	92	182.73888888888888	91.72222222222223						1		embedded	PASS
21-distance-choice-map	svg	figures/21-distance-choice-map.svg	SVG	15615	183	92	182.99994444444442	92.00091666666667							39	declared	PASS
21-distance-choice-map	png	figures/21-distance-choice-map.png	PNG	193564	183	92	183	92	4322	2173	599.8841530054644	599.9369565217391	Zip				PASS
21-distance-choice-map	tiff	figures/21-distance-choice-map.tiff	TIFF	395648	183	92	183	92	4322	2173	599.8841530054644	599.9369565217391	LZW				PASS
21-distance-correlation	pdf	figures/21-distance-correlation.pdf	PDF	23143	183	112	182.73888888888888	111.83055555555555						1		embedded	PASS
21-distance-correlation	svg	figures/21-distance-correlation.svg	SVG	21682	183	112	182.99994444444442	111.99988888888889							56	declared	PASS
21-distance-correlation	png	figures/21-distance-correlation.png	PNG	371363	183	112	183	112	4322	2645	599.8841530054644	599.8482142857142	Zip				PASS
21-distance-correlation	tiff	figures/21-distance-correlation.tiff	TIFF	809176	183	112	183	112	4322	2645	599.8841530054644	599.8482142857142	LZW				PASS
21-pcoa-metric-comparison	pdf	figures/21-pcoa-metric-comparison.pdf	PDF	32967	183	132	182.73888888888888	131.9388888888889						1		embedded	PASS
21-pcoa-metric-comparison	svg	figures/21-pcoa-metric-comparison.svg	SVG	57529	183	132	182.99994444444442	131.9988611111111							70	declared	PASS
21-pcoa-metric-comparison	png	figures/21-pcoa-metric-comparison.png	PNG	563183	183	132	183	132	4322	3118	599.8841530054644	599.9787878787878	Zip				PASS
21-pcoa-metric-comparison	tiff	figures/21-pcoa-metric-comparison.tiff	TIFF	859388	183	132	183	132	4322	3118	599.8841530054644	599.9787878787878	LZW				PASS
21-aitchison-zero-sensitivity	pdf	figures/21-aitchison-zero-sensitivity.pdf	PDF	63963	183	94	182.73888888888888	93.83888888888889						1		embedded	PASS
21-aitchison-zero-sensitivity	svg	figures/21-aitchison-zero-sensitivity.svg	SVG	160531	183	94	182.99994444444442	94.00116666666665							30	declared	PASS
21-aitchison-zero-sensitivity	png	figures/21-aitchison-zero-sensitivity.png	PNG	1253312	183	94	183	94	4322	2220	599.8841530054644	599.8723404255319	Zip				PASS
21-aitchison-zero-sensitivity	tiff	figures/21-aitchison-zero-sensitivity.tiff	TIFF	1408436	183	94	183	94	4322	2220	599.8841530054644	599.8723404255319	LZW				PASS
