MetaboliteID	OriginalFeature	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct	DisplayName
MT_M001	C8-pos_Cluster_2197: C54:9 TAG			True	C54:9 TAG	10.673255	895.679848	2.0		[M+Na]+	C54:9 TAG
MT_M002	C18-neg_Cluster_0927: alpha-muricholate	HMDB0000506	C17647	True	alpha-muricholate	8.117757	407.279768			[M-H]-	alpha-muricholate
MT_M003	C18-neg_Cluster_0004: 4-hydroxystyrene	HMDB0004072	C05627	True	4-hydroxystyrene	2.554039	119.048864		Styrenes	[M-H]-	4-hydroxystyrene
MT_M004	HILIC-pos_Cluster_0453: C2 carnitine	HMDB0000201	C02571	True	C2 carnitine	8.585624	204.12232			[M+H]+	C2 carnitine
MT_M005	HILIC-pos_Cluster_0036: creatinine	HMDB0000562	C00791	True	creatinine	6.423718	114.066154		Amino acids, peptides, and analogues	[M+H]+	creatinine
MT_M006	HILIC-pos_Cluster_0817: atenolol	HMDB0001924	C13235	True	atenolol	6.74024	267.169068		Phenylacetamides	[M+H]+	atenolol
MT_M007	C18-neg_Cluster_1574: taurochenodesoxycholic acid	HMDB0000951	C05465	True	taurochenodesoxycholic acid	8.289154	498.289107		Bile acids, alcohols and derivatives	[M-H]-	taurochenodesoxycholic acid
MT_M008	HILIC-neg_Cluster_0332: saccharin	HMDB0029723	C12283	True	saccharin	3.810657	181.99164		Benzothiazoles	[M-H]-	saccharin
MT_M009	HILIC-pos_Cluster_1673: C20:4 carnitine			True	C20:4 carnitine	6.219689	448.340197	18.0		[M+Na]+	C20:4 carnitine
MT_M010	C18-neg_Cluster_0486: carnosol	HMDB0002121	C09069	True	carnosol	10.794002	329.175684	2.0	Diterpene lactones	[M-H]-	carnosol
MT_M011	HILIC-neg_Cluster_0181: hydrocinnamic acid	HMDB0000764	C05629	True	hydrocinnamic acid	3.875114	149.060668	1.0		[M-H]-	hydrocinnamic acid
MT_M012	C8-pos_Cluster_1791: C42:0 TAG			True	C42:0 TAG	10.82465	740.678078			[M+NH4]+	C42:0 TAG
MT_M013	C18-neg_Cluster_1575: taurodeoxycholic acid	HMDB0000896	C05463	True	taurodeoxycholic acid	8.547102	498.289493			[M-H]-	taurodeoxycholic acid
MT_M014	C8-pos_Cluster_1799: C42:0 TAG			True	C42:0 TAG	10.826807	745.631439			[M+Na]+	C42:0 TAG
MT_M015	C18-neg_Cluster_0833: deoxycholic acid	HMDB0000626	C04483	True	deoxycholic acid	10.769622	391.285468		Bile acids, alcohols and derivatives	[M-H]-	deoxycholic acid
MT_M016	C8-pos_Cluster_2134: C52:6 TAG			True	C52:6 TAG	11.066022	873.694315	9.0		[M+Na]+	C52:6 TAG
MT_M017	C8-pos_Cluster_2319: C56:1 TAG			True	C56:1 TAG	13.10915	939.834558		Triacylglycerols	[M+Na]+	C56:1 TAG
MT_M018	C18-neg_Cluster_1196: glycodeoxycholic acid	HMDB0000631	C05464	True	glycodeoxycholic acid	9.51775	448.306747			[M-H]-	glycodeoxycholic acid
MT_M019	C18-neg_Cluster_1197: glycoursodeoxycholic acid	HMDB0000708		True	glycoursodeoxycholic acid	8.102488	448.30686			[M-H]-	glycoursodeoxycholic acid
MT_M020	HILIC-pos_Cluster_0625: C4 carnitine			True	C4 carnitine	7.889518	232.153366	1.0		[M+H]+	C4 carnitine
MT_M021	C18-neg_Cluster_1465: taurolithocholic acid	HMDB0000722	C02592	True	taurolithocholic acid	9.710907	482.294214			[M-H]-	taurolithocholic acid
MT_M022	HILIC-pos_Cluster_0790: C3-DC-CH3 carnitine			True	C3-DC-CH3 carnitine	8.496401	262.127486	1.0	Acyl carnitines	[M+H]+	C3-DC-CH3 carnitine
MT_M023	HILIC-pos_Cluster_1370: 5alpha-cholestanol	HMDB0000908		True	5alpha-cholestanol	1.699779	371.365793	29.0		[M-H2O+H]+	5alpha-cholestanol
MT_M024	C8-pos_Cluster_2202: C54:8 TAG			True	C54:8 TAG	10.918401	897.696173	9.0	Triacylglycerols	[M+Na]+	C54:8 TAG
MT_M025	HILIC-pos_Cluster_0082: N-methylproline	HMDB0094696		True	N-methylproline	8.568446	130.086042			[M+H]+	N-methylproline
MT_M026	C8-pos_Cluster_2313: C56:2 TAG			True	C56:2 TAG	12.791268	937.820021	33.0		[M+Na]+	C56:2 TAG
MT_M027	C8-pos_Cluster_1861: C44:0 TAG			True	C44:0 TAG	11.187668	773.661475		Triacylglycerols	[M+Na]+	C44:0 TAG
