Feature ID	AllReads
003d0470f23082c7bf6de11e71a56898	10
0118d57337bccab8f376ba2917c68eb5	3
020f04df345de3ba12ecf913a853b686	2
029f16d7439ba12681fbf6940821b468	4
02b4cbe5c2955ab2f66dc82cdf6dad64	92
033b3477cc2e64b426992eee9236d268	3
0413f9fe237af7a8c9c37b0825a63520	14
07d28b94cbd613e425c69c5178e40a06	2
0885d87ef62f2ec47947bcfbe14ef78f	5
08bdc6c81f6b9daab3d132b54e1d45bc	7
08e82441af4098baf31f236034ea249b	2
096af19a014f877223e5ff2d8b1433c3	5
0a9c0f5806bd6605a6be8c1c5fab2803	5
0b3152b92e28d3ab3d32c8247beff2d3	7
0bfb11bc0ab57849fe2c5ec8a5deab88	2
0c6ec4d45af4de39069620764467aa05	2
0d6dcaae2682704e655e8c12d0a9e3d2	21
0dfa02006f244358216a64cb34291c06	25
0e070507abba4160021ce83993fa8988	2
0e47b1c8584c7a957e4ec39127224c0f	9
1059d2483862d83ac9f6c0e5d65166ff	8
10e1a3b243a63b2e006fff8b588dd89e	5
1118e439f5e09d71f0ab4a2f93f3eda7	2
1304d0f9dc2397bbf02e61577a2f5adc	25
132bee48373460dce6dc3682fc023242	6
145c63ee007bff033211e7acb00c2ea4	3
145dd81c19bf3ceb88f911840da09753	2
153f5dc3a17e6cf9df0cac4a4626f744	3
157ff7048c408a2243548ccc631e92c7	2
160083d0a5f65a88f14333860e7aac77	7
16f300a764ed32dd3259f6be8ff697de	7
178e5b49d1382ecedfaeb479490b0a0b	2
17bcaf5a87036a0156e86b9fd722a418	4
17cca5dbb858ecc8331af6ce73ecfbbe	3
17df3d296faa86b1b301701e1eebdc7d	6
1878c877726ea800913b57df800be272	6
18ff009abc8eccc4c9515ba5d20b2ea9	8
19134cd91473a8716af2fea6515a38ad	4
1a2c609995e7d735d0d7040ee5bb6e3b	3
1b582e02c5db66d9b19bac42d19cbdfe	4
1c8aaf7ad4d934ef9d673d03d0267425	2
1e4c881a8860dc325bcfe839a009aebd	13
1f35fc598292457fbb482e2b8f4237fd	4
1f8747026500ce37ab66b935d9b1b53e	131
1fb6df604938c337483d36ee2e939b92	4
2062317b64c59a5b7f3844326e77c74a	2
211f84cff854705248e5f6256a2727a9	8
219a08aa0eba36293d0eb2bd03fd92de	3
21d6db2bb764f3dcb1826f42e4ceceb7	5
21f78e2feca8fbd3cde3d8f5f53f0392	2
245422d8e5161734680fc1df34efc639	2
25ac4f5d6d2d91f28705ee0fa3f10bdb	7
25e119f38effd7d58bf3442bd40eaf00	62
266d3c050f6688d15024f3c36c9328d8	19
268425f28d1096a853eba13a06210c18	2
26dbef51cdba97c1f8b84a235ea06f3c	7
2700161fea3aa737f125e20238356dc6	50
279be72845ff87119638eed742556e91	3
282f2a4eae6189311ff7312c03d5f7d7	8
287bbe44da5c1f5deb2b747d3e8dd297	8
28c202100ee518d8a495d46af25ed41e	2
29c348ca28837d49e58c55fc98ac9e80	7
2a51ac1efc8e7a7807d008295442731e	7
2abc8c5b975a1b33aec4bffcc84e84c2	6
2aeca764af87c7fe4b4ecdfef1e7face	2
2b1c55727a55a88c4d45510579a1ed1a	2
2b9f3a8f685d68714acd248e5e683700	33
2bfdfef3ab9fe4d267c52f8ee5c80ddd	30
2cd04b1d0e1b11f8c96708fa90e0def8	7
2dc45b7fb6c25d018ed33151dc488af2	2
2e27723ea895ab1bdef90d3cedae756c	2
2eb524be6fd8ca1d369b90802ec920f7	11
321ef9ed6e9912549618aed741da32ae	4
3421464bea79a54e7eef62009457230b	74
34226986d9a7cc490b63dbf9928b9bee	4
347835f89b2f1d7b5a72588b1b865e37	2
3500fa9dc0abd948eb9ea521d16a0078	5
35a6f0e22139772d9a3f13bab06a63ef	2
35b5c3571de55e4d911b3b2166603472	2
3715428636032e0e71f8f766bd207496	6
37210dbdd24c1f5b8c4339e77a1dea9f	9
37c2360b5cb7a7212a2ff15fba12b270	4
38c27ceaed634984c1225a82648cf571	150
38e47a88b1aa23639981c3b0c41c7cb2	3
3988276297394e687bdf29286da7fade	3
39d96ded98b9db72e5ce5de3df737669	4
3a40f1244d2f3b91b2b6b5032e5f9745	5
3aaa89901133838c319d53c68be8fa75	8
3add7546155d28d51903ff1038f70c36	20
3b67e7154ea0da9a956643e8984387ff	5
3b9a01065c42a103da04a5695ff4693f	3
3bc08fee0eec65a1d1aa91483402d80a	6
3bf4d00fc2bd96c04242fb5d743b1daf	12
3cfb94dcb6434332475efa51c653318a	2
3cffb8b7f8e218c4e0d2c03d54fdb136	8
3d4f0620518694f2572bf2a533bcab57	3
3dbf66ee7707a9c91038139380697b07	8
3ebe761bfb1238c87195d431f41bf976	164
41c34e84ce65fba113ea84d635df703e	4
42e61a0cfc40a43c642c24c4a280c530	6
42f0e691f302bb1170e2ca8606efe604	37
44d0ac06b00a1a731a82972d35c27ef7	3
46bd0a10fe939400736706c91f43717d	2
46d7d2150b3dcacf1d82862da6c16c1d	3
472e706255ffc7dcd54a0af2e20c56e3	3
47ac5ca58a00fc3761fd3358993649ef	5
483f40d0db4507d1b5793b5a24975841	3
4870859dcfb961dab8ac294550c2ca6c	2
48ed1634541c5bcd5f026605416d5be0	3
48f748d17bb24e9a8e162c71e7eedba3	13
49a85d1c26f0cadbbe1c36ec5014afa1	3
4a6524e6dcbe15f3e25bb337b3f3d7ea	8
4a9ba8830a31e244ac9ead09e47dc6cc	68
4ad61867e86159b7838ec1e4bdf532fa	3
4bf17a8e6ba3134f539a2ab3cea0c14b	3
4cf8382f0c3af4a503676b907ed0c63e	3
4e2314979e808957a86b1e112676bc20	7
4e7fc7dc1f2f4ac6d3a0a3e908b145f0	5
4f997184acb57f8c74379fa58c8f1693	3
536d7b9c42b621a92014ed3fe67df968	3
53a1479ccd9e6c5aa96485388699bf94	5
53b99adc639a34045af07c9c873862df	3
54c05a1e59ddd42bd97a0a8f522bf591	12
54e79fcb0bd002cefdec446685a3d676	5
5526a476ac2ae4ef08b7bcb1a33d7f53	3
55c53ff953d747ebfb514235c8c7286c	3
571e0de2d6989f71ebd61045f7277b9a	13
575a5bc66f7912c4ad48a34a36ab4774	5
576ec6e8c13362133c1dbe96985d47d1	19
586ee8bd7ab4a9a8074517b760b32ace	87
58b4bb90ea99ffb8f9c00fced2c0e798	2
58dc31ebc41b77888661072e6c799341	2
59dd6d3f3f896c4309537cf26c3597a3	49
59e0dff8c0b1047b3e8c35d69f2b203e	2
5a646f256a19b7f4d68dbe74e563b5d9	5
5a7b179b1b45f0fe2282f260bf073f60	9
5a8eb6a2625d5ae58cfeae791bf73c97	5
5ad2c891084262e1078ff79ed5667653	3
5c5682c8646261d3f1fa51270c21f95d	4
5c92bac0e203e2d9b207cfacf4afd4d8	6
5da32e051bdda695c26f4cc556c3aede	198
5ea0169ea1bec162f836ed8493e22f2c	7
5f3443a78c43d705e1c1749add3951ff	4
5fe8a79baa0e9601bc73ff3938dbf497	4
60e788e44b093e436155116d1e8c46c8	11
615d65be0a5ba4f62e9d7aa1bffb4277	34
6376ea6dab7d0fde3cd66f53b57e1484	20
637b9b3f4d1cbb1a10c07817619cdf69	72
65a75a16ddf0882daec9e72eea3aa180	28
660000e9af98122dc79d1d5f709757c0	3
66b9c0da2db3f4947f50e1fcd1602dd6	4
67793ee2b745d7e3f566a720a5e77c26	13
67e959ec1398cee2946858ecda5af98b	10
68f7e28cb4418c9b9994ff0e555addcf	8
6966f7f2054d9694533f9fc7fda04558	4
6a511260664430ae24e9249220a4fc8f	2
6b3758e874b41b21031413a3ac761acd	2
6b67de2223e4b9c10dc62599f3136206	53
6c01e6ec2eb4fb3e4dfe43d91bc05a35	2
6d20310fd50f3406d820d66d8ac6bdc5	2
6e2e552c604e2ee6c958b37907379328	5
6e9dc9ebc7f9f2b9381638ed8c9be6f0	4
6f3f2c4d9a1c514496e5636651b26090	3
70d187eb58572a3bcebecbd95b3a4d38	3
7226e51d3542effad78d066ca9b7cea2	2
7346ee25c4de4df48f80d736342c1c02	72
74b0e284d972ddedb9ca556e2d0ca028	6
77ac885dcb1a5ca9272a721191bd908f	22
783ea4aab429fb9aa20a1264074ae60c	4
78daa5588afa4e1f1b1f8696afbb1260	3
7bdac97dd5b3ca2432bb2b20320e5500	3
7c2457a2da138c586b4fb5072997efbb	7
7caa9381452864233f5bc89d1bca5a92	13
7da5a08a0f3713731b1ec0bdefe97783	15
7daff9940d5f6df38a496252eb7dc98a	3
7e7deb01f0491d33ecb87427fcbeb1ee	20
7eb03f37e0df2e91756000f54b92a3ff	7
7fc72bae05914d2a9d0ddadb3af5fbb7	9
7fe5140fabab7789c1dbaa9a5939bedd	20
80d11785b5400ad33e1293d8c72d736d	7
80d3501f78a03f9396161c0abd018c18	14
8180787793ddae9c1ce4a8f5fdd43e42	6
82c5d781264721f87110d8a4dfb8f8a2	6
82ec53e4344ddf93f89cfc2e583e81e0	3
844153abf4b2fff43c23531c070afc26	2
844dbf54e9b6647e87b349fbaa83b78a	4
84d53da3860d39365c990c7a322c4d1f	2
851e56d6147b8e4d3d28cafb27228449	7
855919a3a96c487ce877691029c8f660	3
85ac83daa78930e71ceff45dcd61ee12	4
8657067009fc7880ffa92458ac4b5103	7
868e0165fe32a8925b7f20afa5e1dbfc	11
86c85cb7ac8dcefc3644041883421c24	5
8794266a9850580f5e066fcd3caea9c9	3
87e503bff5c5886e5938a97aa0afb1d5	22
87f23dff63ebabb1ee31b6a816a6f2e4	3
880f37c3b162f77eaf2171436908e134	4
8820549df4df1d033172dd187319d06f	4
8980c65cc2b3c63bf079e3397ed5ceaf	8
89fa0981707da59c8cede9f5d70afe62	26
8a42d1b77fa69e52beee81716fc28799	9
8b91e5b1c412877f96a4a342ab6dc680	32
8c17243ee0487252b481d5550f986696	3
8ceae18ee0348d694b1a6f77def3b22e	21
