top_likelihood_weight_bin	asvs	reads	asv_fraction	read_fraction
<0.50	131	2576	0.35792349726775957	0.4941492422789181
0.50-<0.90	103	951	0.2814207650273224	0.182428544024554
>=0.90	132	1686	0.36065573770491804	0.3234222136965279
