package	observed_version	expected_version	status
qiime2	2026.4.0	2026.4.0	PASS
q2cli	2026.4.0	2026.4.0	PASS
q2-fragment-insertion	2026.4.0	2026.4.0	PASS
sepp	4.5.6	4.5.6	PASS
hmmer	3.4	3.4	PASS
pplacer	1.1.alpha19	1.1.alpha19	PASS
biom-format	2.1.17	2.1.17	PASS
dendropy	5.0.8	5.0.8	PASS
