label	returncode	elapsed_seconds
environment-package-versions	0	6.733
create-qiime-cache	0	6.613
validate-reference-database	0	87.553
import-query-sequences	0	33.275
convert-aggregate-table-to-biom	0	5.165
import-query-feature-table	0	32.781
run-sepp-fragment-insertion	0	430.598
filter-feature-table-to-placed-tips	0	35.383
maximum-validate-query-sequences	0	31.216
maximum-validate-query-table	0	31.19
maximum-validate-insertion-tree	0	31.786
maximum-validate-placements	0	33.418
maximum-validate-filtered-table	0	31.201
maximum-validate-removed-table	0	30.844
export-tree	0	31.406
export-placements	0	31.914
export-filtered-table	0	31.881
export-removed-table	0	32.21
inspect-filtered-biom	0	5.216
inspect-removed-biom	0	5.206
