feature_id	frequency	candidate_placements	top_edge_num	top_likelihood	top_likelihood_weight	second_likelihood_weight	likelihood_weight_sum	distal_length	pendant_length
003d0470f23082c7bf6de11e71a56898	10	7	29388	-79402.945	0.8936085	0.0183611	0.999999981	0.0035569125	6.113515e-06
0118d57337bccab8f376ba2917c68eb5	3	6	185969	-137031.64	0.84654284	0.03418971	0.9999999900000001	0.0056133773	0.031955626
020f04df345de3ba12ecf913a853b686	2	2	49	-131218.6	0.9899794	0.010020591	0.9999999909999999	0.054484542	0.13006693
029f16d7439ba12681fbf6940821b468	4	2	190777	-138821.83	0.98683053	0.013169468	0.999999998	0.0065245284	0.03521437
02b4cbe5c2955ab2f66dc82cdf6dad64	92	7	40304	-52484.383	0.14285715	0.14285715	1.00000005	5.000002e-07	6.113515e-06
033b3477cc2e64b426992eee9236d268	3	5	79180	-78645.6	0.47931835	0.24281912	1.000000015	0.003608833	0.0185585
0413f9fe237af7a8c9c37b0825a63520	14	7	139	-130606.68	0.65394986	0.16699159	1.000000034	0.0042249956	0.095752455
07d28b94cbd613e425c69c5178e40a06	2	5	179	-131207.78	0.32863697	0.19267869	1.0	0.011405175	0.10493413
0885d87ef62f2ec47947bcfbe14ef78f	5	3	31	-130617.61	0.9542761	0.022862151	1.0000000279999999	0.016913274	0.11375043
08bdc6c81f6b9daab3d132b54e1d45bc	7	7	239205	-39504.934	0.14285715	0.14285715	1.00000005	5.000002e-07	6.113515e-06
08e82441af4098baf31f236034ea249b	2	1	119849	-142614.73	1.0	0.0	1.0	0.008631476	0.060384598
096af19a014f877223e5ff2d8b1433c3	5	1	10759	-131063.61	1.0	0.0	1.0	0.007882624	0.0360452
0a9c0f5806bd6605a6be8c1c5fab2803	5	7	199224	-127139.984	0.18306698	0.18092555	1.0000000199999999	9.541802e-06	0.004388571
0b3152b92e28d3ab3d32c8247beff2d3	7	4	198597	-122041.65	0.5807936	0.19368601	1.00000001	0.0032169623	0.025012443
0bfb11bc0ab57849fe2c5ec8a5deab88	2	7	74091	-65918.91	0.4896726	0.113703005	0.999999987	0.0034926462	0.2442945
0c6ec4d45af4de39069620764467aa05	2	6	148	-131225.4	0.6696855	0.2454124	0.9999999940000001	0.110606216	0.1498985
0d6dcaae2682704e655e8c12d0a9e3d2	21	1	102	-130584.445	1.0	0.0	1.0	0.033765074	0.055401992
0dfa02006f244358216a64cb34291c06	25	1	102	-130575.02	1.0	0.0	1.0	0.04327326	0.04320164
0e070507abba4160021ce83993fa8988	2	4	280011	-106159.13	0.35774672	0.31435442	0.99999998	7.692928e-06	6.113515e-06
0e47b1c8584c7a957e4ec39127224c0f	9	7	95124	-62557.324	0.44272512	0.2725964	0.9999999893	0.00081279024	6.113515e-06
1059d2483862d83ac9f6c0e5d65166ff	8	5	80183	-78708.63	0.83688194	0.124843754	1.00000003	0.033387158	0.14257574
10e1a3b243a63b2e006fff8b588dd89e	5	1	190748	-139502.11	1.0	0.0	1.0	0.014844153	0.019485304
1118e439f5e09d71f0ab4a2f93f3eda7	2	3	129	-131231.44	0.89577734	0.06932055	0.99999998	0.011930058	0.1590837
1304d0f9dc2397bbf02e61577a2f5adc	25	7	11110	-131172.44	0.4008396	0.21202596	1.000000014	0.047006253	0.26375857
132bee48373460dce6dc3682fc023242	6	1	191011	-139484.64	1.0	0.0	1.0	0.025040269	0.0012179589
145c63ee007bff033211e7acb00c2ea4	3	7	221570	-105906.35	0.25072768	0.21906559	0.999999983	0.021176325	0.21323362
145dd81c19bf3ceb88f911840da09753	2	3	132440	-137057.03	0.95626366	0.0295716	0.99999998	0.033873055	0.061051555
153f5dc3a17e6cf9df0cac4a4626f744	3	7	108	-130428.78	0.577875	0.23054141	0.999999995	0.065188155	0.16454004
157ff7048c408a2243548ccc631e92c7	2	1	221414	-106243.97	1.0	0.0	1.0	0.022157922	0.10123216
160083d0a5f65a88f14333860e7aac77	7	1	12392	-125835.13	1.0	0.0	1.0	0.0057331086	0.012084506
16f300a764ed32dd3259f6be8ff697de	7	1	1271	-79705.76	1.0	0.0	1.0	0.016551087	0.063057125
178e5b49d1382ecedfaeb479490b0a0b	2	7	219006	-74276.32	0.26394352	0.22006151	1.000000018	0.023403574	0.19953221
17bcaf5a87036a0156e86b9fd722a418	4	7	121314	-73723.805	0.26736474	0.21905686	1.000000013	0.0054391953	0.19384526
17cca5dbb858ecc8331af6ce73ecfbbe	3	7	82653	-57246.863	0.6035526	0.27084643	1.000000005	0.028978275	0.1786278
17df3d296faa86b1b301701e1eebdc7d	6	6	100	-131200.95	0.65408653	0.20662822	0.9999999940000001	0.052892033	0.10255466
1878c877726ea800913b57df800be272	6	7	204970	-126589.3	0.24994178	0.24986465	0.9999999908	6.2366435e-06	6.113515e-06
18ff009abc8eccc4c9515ba5d20b2ea9	8	1	13246	-125856.51	1.0	0.0	1.0	0.0037894144	0.03605319
19134cd91473a8716af2fea6515a38ad	4	1	12764	-125835.09	1.0	0.0	1.0	5.989277e-06	0.01600091
1a2c609995e7d735d0d7040ee5bb6e3b	3	3	10625	-131177.11	0.45668793	0.28804016	0.9999999900000001	0.1582444	0.23197864
1b582e02c5db66d9b19bac42d19cbdfe	4	7	191212	-138895.36	0.3279619	0.13678296	0.99999999	0.01578291	0.1516751
1c8aaf7ad4d934ef9d673d03d0267425	2	2	271199	-111655.09	0.6354023	0.36459765	0.99999995	0.01864502	0.006408925
1e4c881a8860dc325bcfe839a009aebd	13	1	130193	-142595.58	1.0	0.0	1.0	0.019211305	0.027929336
1f35fc598292457fbb482e2b8f4237fd	4	7	111	-131226.95	0.4605916	0.25234386	0.9999999869999999	0.07686696	0.16484922
1f8747026500ce37ab66b935d9b1b53e	131	1	204632	-126641.08	1.0	0.0	1.0	0.016493633	0.048536096
1fb6df604938c337483d36ee2e939b92	4	1	10991	-131078.92	1.0	0.0	1.0	0.017226178	0.061733015
2062317b64c59a5b7f3844326e77c74a	2	4	44	-131213.95	0.93662333	0.028439824	0.9999999709999999	0.030839382	0.097128086
211f84cff854705248e5f6256a2727a9	8	1	46	-131074.14	1.0	0.0	1.0	0.08834634	0.104972616
219a08aa0eba36293d0eb2bd03fd92de	3	7	11025	-131160.89	0.3924513	0.23389642	1.000000027	0.032213215	0.22251093
21d6db2bb764f3dcb1826f42e4ceceb7	5	7	139	-130612.945	0.36873242	0.21311502	1.000000009	0.0059494735	0.101605184
21f78e2feca8fbd3cde3d8f5f53f0392	2	1	10956	-131096.77	1.0	0.0	1.0	0.05638056	0.06874164
245422d8e5161734680fc1df34efc639	2	1	179	-131080.16	1.0	0.0	1.0	0.06317226	0.12511739
25ac4f5d6d2d91f28705ee0fa3f10bdb	7	3	10641	-131130.44	0.9434442	0.04102278	1.000000026	0.0704165	0.099341944
25e119f38effd7d58bf3442bd40eaf00	62	5	190958	-139538.84	0.74755764	0.08831634	0.99999998	0.00585993	0.07390383
266d3c050f6688d15024f3c36c9328d8	19	1	204068	-126591.22	1.0	0.0	1.0	0.004296684	6.113515e-06
268425f28d1096a853eba13a06210c18	2	5	185492	-136993.66	0.2305691	0.22893058	1.00000001	6.052492e-06	6.113515e-06
26dbef51cdba97c1f8b84a235ea06f3c	7	7	98877	-62562.82	0.14287856	0.14287849	1.0	5.000002e-07	0.0051004146
2700161fea3aa737f125e20238356dc6	50	5	8603	-129911.414	0.9887028	0.0029392224	1.0000000002	8.240691e-06	6.113515e-06
279be72845ff87119638eed742556e91	3	7	123208	-73709.805	0.45094654	0.1870041	1.0	8.124683e-06	0.17500414
282f2a4eae6189311ff7312c03d5f7d7	8	1	191010	-139532.39	1.0	0.0	1.0	0.009251299	0.06907528
287bbe44da5c1f5deb2b747d3e8dd297	8	4	214573	-74234.08	0.5130016	0.16839358	0.9999999399999999	0.008291697	0.0043600183
28c202100ee518d8a495d46af25ed41e	2	7	11208	-131107.34	0.39290193	0.22873597	1.000000012	0.09700732	0.09646188
29c348ca28837d49e58c55fc98ac9e80	7	3	129415	-141953.11	0.75860065	0.1656616	1.000000024	0.013354627	0.06365337
2a51ac1efc8e7a7807d008295442731e	7	4	100	-131040.17	0.61984986	0.2511068	1.000000019	0.04477882	0.091620594
2abc8c5b975a1b33aec4bffcc84e84c2	6	7	216946	-74225.07	0.14285731	0.1428573	0.9999999900000001	6.2392064e-06	6.113515e-06
2aeca764af87c7fe4b4ecdfef1e7face	2	6	10089	-131104.6	0.35940266	0.34186518	0.9999999877	0.012317665	0.09225056
