candidate_placements	asvs	reads	asv_fraction	read_fraction
1	98	1419	0.2677595628415301	0.27220410512181087
2	26	192	0.07103825136612021	0.036830999424515634
3	50	436	0.1366120218579235	0.08363706119317092
4	28	173	0.07650273224043716	0.03318626510646461
5	21	256	0.05737704918032787	0.049107999232687514
6	19	90	0.05191256830601093	0.017264530980241704
7	124	2647	0.33879781420765026	0.5077690389411088
