Label	RankCount	Ranks
mixed culture isolate koll6	4	Class; Order; Family; Genus
Arachis hypogaea var. vulgaris	3	Order; Family; Genus
Cercis gigantea	3	Order; Family; Genus
Monoraphidium neglectum	3	Order; Family; Genus
Acidobacteria	2	Phylum; Class
Actinobacteria	2	Phylum; Class
Chlamydiae	2	Phylum; Class
Cyanobacteria	2	Phylum; Class
Elusimicrobia	2	Phylum; Class
Gemmatimonadetes	2	Phylum; Class
Nitrospira	2	Class; Genus
planctomycete WY108	2	Family; Genus
Thermotogae	2	Phylum; Class
