Rank	NLabel	SelectedN	MeanCoverage	MinimumCoverage	MaximumCoverage	UnknownMean
Phylum	Top 5	5	0.7753386724453056	0.5526355996944232	0.8643649815043156	0.003463782392239115
Phylum	Top 10	10	0.9480304709397607	0.8651557298554425	0.9891696750902527	0.003463782392239115
Phylum	Top 20	20	0.9847709856497617	0.9514341739249396	0.9968649059471784	0.003463782392239115
Phylum	Top 50	50	0.9964451658634992	0.974371836381048	0.9993506876807744	0.003463782392239115
Phylum	All known	55	0.9965362176077609	0.9746454466687947	0.9993506876807744	0.003463782392239115
Class	Top 5	5	0.39155281893478283	0.266812102817035	0.5224195998150961	0.03202145572846765
Class	Top 10	10	0.5900453172911061	0.40544228608123295	0.7098989632173281	0.03202145572846765
Class	Top 20	20	0.8192204249622833	0.5946112270562423	0.9221543162719633	0.03202145572846765
Class	Top 50	50	0.9498367273132007	0.8687665622741508	0.9896446893406803	0.03202145572846765
Class	All known	127	0.9679785442715323	0.9173090821488799	0.9924631072265502	0.03202145572846765
Order	Top 5	5	0.20410214096383775	0.058331749952498575	0.3688172753087235	0.14427271953005416
Order	Top 10	10	0.34765278491277046	0.12144806550008028	0.5932801547014744	0.14427271953005416
Order	Top 20	20	0.536895243341915	0.24064857922620003	0.7414446747207198	0.14427271953005416
Order	Top 50	50	0.7586020759398736	0.5549044790496067	0.8803280765089619	0.14427271953005416
Order	All known	216	0.8557272804699458	0.6178718585852232	0.973715878143011	0.14427271953005416
Family	Top 5	5	0.156846326583834	0.06195569136745607	0.376807765964472	0.3203724606579246
Family	Top 10	10	0.23671065667421368	0.09883876491678707	0.552671017645637	0.3203724606579246
Family	Top 20	20	0.34644887367194455	0.16935830518882408	0.5789702683103698	0.3203724606579246
Family	Top 50	50	0.5132746996107639	0.2886705557261283	0.7300969029070872	0.3203724606579246
Family	All known	393	0.6796275393420754	0.3875695907904256	0.929476217619862	0.3203724606579246
Genus	Top 5	5	0.05649582597178192	0.008976522940003069	0.3228418640183346	0.6310561130699189
Genus	Top 10	10	0.09521804539337543	0.022019334049409235	0.3296409472880061	0.6310561130699189
Genus	Top 20	20	0.14515677691438283	0.04066998448119013	0.4011019562250417	0.6310561130699189
Genus	Top 50	50	0.2155744735470944	0.07771980972840264	0.5322246373148662	0.6310561130699189
Genus	All known	771	0.36894388693008107	0.15564296034676514	0.7847552093229464	0.6310561130699189
