Rank	RankIndex	Labels	KnownLabels	UnknownFeatures	UnknownFeatureFraction	UnknownReadFractionPooled	UnknownEqualSampleMean	KnownEqualSampleMean	KnownMinimum	KnownMaximum	Top5KnownCoverageMean	Top10KnownCoverageMean	IncertaeSedisFeatures	IncertaeSedisEqualSampleMean	ResolutionLossFromParentPP
Phylum	1	56	55	309	0.022673906662753155	0.0035494884760475898	0.003463782392239115	0.9965362176077609	0.9746454466687947	0.9993506876807745	0.7753386724453056	0.9480304709397607	0	0	
Class	2	128	127	1250	0.09172292339301438	0.032103453172559845	0.03202145572846765	0.9679785442715324	0.9173090821488797	0.9924631072265502	0.39155281893478283	0.5900453172911061	28	7.816482000543475e-4	2.8557673336228504
Order	3	217	216	2750	0.20179043146463163	0.1484592540455772	0.14427271953005416	0.8557272804699458	0.6178718585852232	0.973715878143011	0.20410214096383775	0.34765278491277046	100	0.014889883382069449	11.225126380158656
Family	4	394	393	5343	0.39206046375110065	0.3235807294078423	0.3203724606579246	0.6796275393420754	0.3875695907904255	0.9294762176198619	0.156846326583834	0.23671065667421368	172	0.016993307617409577	17.609974112787043
Genus	5	772	771	9452	0.6935720575286175	0.6303981675279532	0.6310561130699189	0.3689438869300811	0.15564296034676517	0.7847552093229464	0.05649582597178192	0.09521804539337543	0	0	31.06836524119943
