Rank	Labels	KnownLabels	KnownMean	KnownMinimum	KnownMaximum	UnknownMean	Top10CoverageMean	IncertaeSedisFeatures	ResolutionLossPP
Phylum	56	55	0.9965362176077609	0.9746454466687947	0.9993506876807745	0.003463782392239115	0.9480304709397607	0	NA
Class	128	127	0.9679785442715324	0.9173090821488797	0.9924631072265502	0.03202145572846765	0.5900453172911061	28	2.8557673336228504
Order	217	216	0.8557272804699458	0.6178718585852232	0.973715878143011	0.14427271953005416	0.34765278491277046	100	11.225126380158656
Family	394	393	0.6796275393420754	0.3875695907904255	0.9294762176198619	0.3203724606579246	0.23671065667421368	172	17.609974112787043
Genus	772	771	0.3689438869300811	0.15564296034676517	0.7847552093229464	0.6310561130699189	0.09521804539337543	0	31.06836524119943
