Rank	Taxon	ParentLineages	ParentPaths	FeatureCount	EqualSampleMean	PooledReadFraction
Family	Family XII	2	Firmicutes > Bacilli > Bacillales | Firmicutes > Clostridia > Clostridiales	21	0.004929644117998486	0.0055005031889212
Family	FamilyI	3	Cyanobacteria > Cyanobacteria > SubsectionI | Cyanobacteria > Cyanobacteria > SubsectionIII | Cyanobacteria > Cyanobacteria > SubsectionIV	87	0.001376437511524925	0.0013959633752554533
