asset	path	bytes	observed_sha256	expected_sha256	status
otutab	<PROJECT_ROOT>/data/small/otutab.tsv	2609310	76fa79c38da889f35978dc86da4641a270961746709ff38049ee5f67e3c6f7a3	76fa79c38da889f35978dc86da4641a270961746709ff38049ee5f67e3c6f7a3	PASS
taxonomy	<PROJECT_ROOT>/data/small/taxonomy.tsv	1304891	725280bb9a0cd9bda7b540022e92af945ceed52527f8b2d220b055b4489f6901	725280bb9a0cd9bda7b540022e92af945ceed52527f8b2d220b055b4489f6901	PASS
metadata	<PROJECT_ROOT>/data/small/metadata.tsv	2203	df24771dccf27607ddf922c6bca2cafa876d946fbe2e09d14b601accce66ba64	df24771dccf27607ddf922c6bca2cafa876d946fbe2e09d14b601accce66ba64	PASS
source_summary	<PROJECT_ROOT>/data/small/source_summary.json	251	e51bb47c6766d41ee6efe34689ce550ab50fa4ec07ca3beef5656268124bf6f6	e51bb47c6766d41ee6efe34689ce550ab50fa4ec07ca3beef5656268124bf6f6	PASS
prepare_script	<PROJECT_ROOT>/scripts/prepare_pilot_data.R	3116	fb9ce168b70aeb3636ab73c3c3fabf4208934a04f8eb89a547dc93c7d66a1e3f	fb9ce168b70aeb3636ab73c3c3fabf4208934a04f8eb89a547dc93c7d66a1e3f	PASS
theme_pub	<PROJECT_ROOT>/R/theme_pub.R	2744	8d3821a485aeb529b12184bbe977c1ca952131a22d5eb69b802088ce91909beb	8d3821a485aeb529b12184bbe977c1ca952131a22d5eb69b802088ce91909beb	PASS
