CompleteDepth	DeepestContiguousRank	FeatureCount	FeatureFraction	PooledReadFraction	EqualSampleMean
0	Below phylum	309	0.022673906662753155	0.0035494884760475898	0.003463782392239115
1	Phylum	941	0.06904901673026123	0.028553964696512252	0.028557673336228537
2	Class	1500	0.11006750807161726	0.11635580087301735	0.11225126380158652
3	Order	2593	0.19027003228646902	0.17512147536226516	0.1760997411278704
4	Family	4433	0.3252861755209862	0.3322170565609044	0.3358664255707392
5	Genus	3852	0.28265336072791314	0.3442022140312533	0.3437611137713362
