Rank	RankIndex	TopRank	Taxon	RankQualifiedTaxon	OverallMean	OverallPercent
Phylum	1	1	Proteobacteria	P · Proteobacteria	0.3071339669457529	30.71339669457529
Phylum	1	2	Chloroflexi	P · Chloroflexi	0.13824089760719027	13.824089760719026
Phylum	1	3	Bacteroidetes	P · Bacteroidetes	0.11649247538266623	11.649247538266623
Phylum	1	4	Acidobacteria	P · Acidobacteria	0.11337570062599393	11.337570062599394
Phylum	1	5	Actinobacteria	P · Actinobacteria	0.1000956318837023	10.00956318837023
Class	2	1	Acidobacteria	C · Acidobacteria	0.08963319722377674	8.963319722377674
Class	2	2	Alphaproteobacteria	C · Alphaproteobacteria	0.0871028693992452	8.71028693992452
Class	2	3	Betaproteobacteria	C · Betaproteobacteria	0.07801805379674998	7.801805379674997
Class	2	4	Anaerolineae	C · Anaerolineae	0.06939835520483562	6.939835520483562
Class	2	5	Gammaproteobacteria	C · Gammaproteobacteria	0.06740034331017529	6.740034331017529
Order	3	1	Anaerolineales	O · Anaerolineales	0.06939835520483562	6.939835520483562
Order	3	2	Acidimicrobiales	O · Acidimicrobiales	0.03660090964134116	3.660090964134116
Order	3	3	Xanthomonadales	O · Xanthomonadales	0.0345992297682	3.4599229768199997
Order	3	4	Sphingobacteriales	O · Sphingobacteriales	0.03274827223283597	3.2748272232835967
Order	3	5	Rhizobiales	O · Rhizobiales	0.030755374116625003	3.0755374116625003
Family	4	1	Anaerolineaceae	F · Anaerolineaceae	0.06939835520483562	6.939835520483562
Family	4	2	Flavobacteriaceae	F · Flavobacteriaceae	0.028304263819657165	2.8304263819657165
Family	4	3	Comamonadaceae	F · Comamonadaceae	0.02121024689704889	2.121024689704889
Family	4	4	Planctomycetaceae	F · Planctomycetaceae	0.02054963775152625	2.054963775152625
Family	4	5	Gemmatimonadaceae	F · Gemmatimonadaceae	0.01738382291076608	1.738382291076608
Genus	5	1	Sphingomonas	G · Sphingomonas	0.012858134623686594	1.2858134623686595
Genus	5	2	Clostridium sensu stricto 13	G · Clostridium sensu stricto 13	0.012673357645117771	1.267335764511777
Genus	5	3	Thiobacillus	G · Thiobacillus	0.010813746999199108	1.0813746999199108
Genus	5	4	Bacillus	G · Bacillus	0.010772492499551532	1.0772492499551531
Genus	5	5	Candidatus Solibacter	G · Candidatus Solibacter	0.00937809420422691	0.937809420422691
