artifact	uuid	semantic_type	data_format	maximum_validation	sha256	bytes	provenance_actions
silva-v4-holdout-classifier.qza	8c35cbf6-e2f8-49ab-abe1-8d13c8365c8d	TaxonomicClassifier	TaxonomicClassiferTemporaryPickleDirFmt	PASS	0879b9dc0c1fd70f95d87923e114f005966ff82f38b3f235f272fd6fa0ba1e1c	41437675	feature-classifier:fit_classifier_naive_bayes
silva-v4-classifier.qza	47daa1f7-aa46-4c9d-a217-ef1cd47f0b5e	TaxonomicClassifier	TaxonomicClassiferTemporaryPickleDirFmt	PASS	a21b75c7b3831698d5c4112d7316fb445d2987fb3c185a0e6ad78906c466ae8f	43703493	feature-classifier:fit_classifier_naive_bayes
silva-v4-holdout-sequences.qza	a82d7b7c-73c3-49d7-826d-b2ebc8ff2a2f	FeatureData[Sequence]	DNASequencesDirectoryFormat	PASS	9be8d85ed3fddcd7f76487d0ad6da72191d20798ff4677b03c652a9141ee24bf	1368328	
silva-v4-holdout-expected-taxonomy.qza	9bab8a43-c70d-4859-a344-2131974d4aca	FeatureData[Taxonomy]	TSVTaxonomyDirectoryFormat	PASS	0092943683f50d93a9a04f97376edaeb0c36a37c650857e610dfa78f56a38b13	445793	
holdout-taxonomy-c050.qza	119838ff-ca3e-4498-a60c-7f9525a42f54	FeatureData[Taxonomy]	TSVTaxonomyDirectoryFormat	PASS	631c2bf4142eb536af65db5a10d9dae6e6473fbc820f4edb916c7061a325a6a8	751475	feature-classifier:classify_sklearn; feature-classifier:fit_classifier_naive_bayes
holdout-taxonomy-c070.qza	6c73b655-c932-4f35-b2f4-43558ff252b3	FeatureData[Taxonomy]	TSVTaxonomyDirectoryFormat	PASS	85a2de73dc6c177734496797e64fb51df5fc52534fcaf77579aaeffc035a3333	737668	feature-classifier:classify_sklearn; feature-classifier:fit_classifier_naive_bayes
holdout-taxonomy-c090.qza	3642a70c-89ac-471b-829a-0ef9162fe2c4	FeatureData[Taxonomy]	TSVTaxonomyDirectoryFormat	PASS	fa9377cc44e9b3bae81ed2701c6df8ee04ae3512dfe39e3ace548c09c4fe813f	718831	feature-classifier:classify_sklearn; feature-classifier:fit_classifier_naive_bayes
query-taxonomy-c050.qza	9c17a59b-0f32-4546-b1f5-0753ebee837a	FeatureData[Taxonomy]	TSVTaxonomyDirectoryFormat	PASS	b72fd8409d0214e6e722d5a428fd14c5a8e21760ec5973b0212965cefa750252	86175	feature-classifier:classify_sklearn; feature-classifier:fit_classifier_naive_bayes
query-taxonomy-c070.qza	8e308322-f298-46b9-b970-d65d8608864c	FeatureData[Taxonomy]	TSVTaxonomyDirectoryFormat	PASS	19187da43590e51a10329ca9b9b659707f935b27040e46072c831e5bb79f7458	85932	feature-classifier:classify_sklearn; feature-classifier:fit_classifier_naive_bayes
query-taxonomy-c090.qza	68a330e0-a3c8-4ee3-830c-8110087040ba	FeatureData[Taxonomy]	TSVTaxonomyDirectoryFormat	PASS	6af554d973b61942b8d0822f908264ea5379d143d29dbce665956cf5342bde09	85656	feature-classifier:classify_sklearn; feature-classifier:fit_classifier_naive_bayes
holdout-evaluation-c070.qzv	014f4508-c913-4d9a-b2a3-dfa9dc10a2f2	Visualization	null	PASS	4234e7bb871f9c29e86f89b8609b103d8a558c5a61711e14eab5cd699049ad79	322758	feature-classifier:classify_sklearn; feature-classifier:fit_classifier_naive_bayes; quality-control:evaluate_taxonomy
