FeatureID	Domain	Phylum	Class	Order	Family	Genus	Species
b39be459cc96689db8cd6b00a0d86e8e	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Unassigned	Unassigned
df915ccb4ee135b84e0b244e8af12b92	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
5da32e051bdda695c26f4cc556c3aede	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	Unassigned
3ebe761bfb1238c87195d431f41bf976	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
b7d6cf3f7467ca45087ca083796a0af0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Unassigned
38c27ceaed634984c1225a82648cf571	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
e8386d3a307c208c4b9f0a756259cd6b	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
1f8747026500ce37ab66b935d9b1b53e	Bacteria	Nitrospirota	Thermodesulfovibrionia	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
d88abff2ed5af388abe3bd71809f70e1	Bacteria	Nitrospirota	4-29-1	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
02b4cbe5c2955ab2f66dc82cdf6dad64	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	Unassigned
586ee8bd7ab4a9a8074517b760b32ace	Bacteria	Nitrospirota	Thermodesulfovibrionia	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
3421464bea79a54e7eef62009457230b	Bacteria	Patescibacteria	Gracilibacteria	Candidatus_Peribacteria	Incertae_Sedis	Incertae_Sedis	Unassigned
637b9b3f4d1cbb1a10c07817619cdf69	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
7346ee25c4de4df48f80d736342c1c02	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Unassigned
4a9ba8830a31e244ac9ead09e47dc6cc	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
25e119f38effd7d58bf3442bd40eaf00	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	Unassigned
aeda648ef1ccaf013a70453eee0caf8a	Bacteria	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfurifustis	Unassigned
6b67de2223e4b9c10dc62599f3136206	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
c1cd0bc45f873697ab9156e7147e8d76	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	Unassigned
2700161fea3aa737f125e20238356dc6	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Incertae_Sedis	Unassigned
59dd6d3f3f896c4309537cf26c3597a3	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Unassigned	Unassigned
da13eb51a23731d1542076afd2a4882d	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anaerobacillus	Unassigned
f86222ce0aa7c48d5994451baf572b60	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
cc7257e130ecba99063e41685c252180	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Unassigned	Unassigned
d32e579b3ae7b2aae8d5bf9f027c29af	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
42f0e691f302bb1170e2ca8606efe604	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
ec03d66fcea8850ab39fe2bce3814f30	Bacteria	WOR-1	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
615d65be0a5ba4f62e9d7aa1bffb4277	Bacteria	Patescibacteria	ABY1	Unassigned	Unassigned	Unassigned	Unassigned
fb6835364f1d79a14457f24bc50738d0	Bacteria	Nitrospirota	4-29-1	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
2b9f3a8f685d68714acd248e5e683700	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned
8b91e5b1c412877f96a4a342ab6dc680	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
931ac7709b0d74ba3440921b1c12cdce	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
da8d956ba3a63e19735c5c55ceaa06f3	Archaea	Thermoproteota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	Incertae_Sedis	Unassigned
2bfdfef3ab9fe4d267c52f8ee5c80ddd	Bacteria	Nitrospirota	Thermodesulfovibrionia	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
d69464b2275c7c4514b5858d01db39b8	Bacteria	Patescibacteria	Parcubacteria	UBA9983	Incertae_Sedis	Incertae_Sedis	Unassigned
65a75a16ddf0882daec9e72eea3aa180	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Nevskiaceae	Nevskia	Unassigned
b39f90da9ee92988c2e0f57748c70f4c	Bacteria	Patescibacteria	ABY1	Candidatus_Falkowbacteria	Incertae_Sedis	Incertae_Sedis	Unassigned
89fa0981707da59c8cede9f5d70afe62	Bacteria	Patescibacteria	Parcubacteria	Unassigned	Unassigned	Unassigned	Unassigned
0dfa02006f244358216a64cb34291c06	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
1304d0f9dc2397bbf02e61577a2f5adc	Bacteria	Patescibacteria	Berkelbacteria	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
c4dc084b83476f4b2c829da5b52fcb4d	Bacteria	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Unassigned	Unassigned
b230be8a10f78f48e504b8dc5cfa7afb	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Incertae_Sedis	Incertae_Sedis	Unassigned
cd361092f88c6023a43ec4e9d7524864	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	Unassigned
77ac885dcb1a5ca9272a721191bd908f	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
87e503bff5c5886e5938a97aa0afb1d5	Bacteria	WOR-1	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
cbff13b5013921139f28a5115cf9f7a8	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ee6a011da2550805c6fd434ab053464a	Bacteria	Acidobacteriota	Subgroup_22	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Unassigned
0d6dcaae2682704e655e8c12d0a9e3d2	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
8ceae18ee0348d694b1a6f77def3b22e	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Unassigned
e04265a1b5b74d599d1000ac0f280268	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	Incertae_Sedis	Incertae_Sedis	Unassigned
fc3f584449d707e80bd4aa0efcd65508	Bacteria	Pseudomonadota	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	Incertae_Sedis	Unassigned
3add7546155d28d51903ff1038f70c36	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis	Unassigned
6376ea6dab7d0fde3cd66f53b57e1484	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
7e7deb01f0491d33ecb87427fcbeb1ee	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Unassigned
7fe5140fabab7789c1dbaa9a5939bedd	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	Unassigned
266d3c050f6688d15024f3c36c9328d8	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	Incertae_Sedis	Incertae_Sedis	Unassigned
