Epoch	TrainLoss	ValidationMAE
1	83327264.0	2058.552978515625
2	83788784.0	2029.583251953125
3	84393880.0	2045.9368896484375
4	93196752.0	2031.938232421875
5	83706528.0	2037.5338134765625
6	85618832.0	2026.1817626953125
7	93480976.0	2021.9385986328125
8	73513840.0	2033.1439208984375
9	77164104.0	2030.748046875
10	78694688.0	2005.3797607421875
11	72545168.0	2018.0869140625
12	91256848.0	2024.1207275390625
13	71464688.0	2013.4427490234375
14	82061216.0	2020.354248046875
15	67129872.0	2029.1710205078125
16	94396608.0	2022.0498046875
17	78602184.0	2019.91064453125
18	68359568.0	2003.4024658203125
19	70898240.0	2012.1470947265625
20	83454936.0	1993.1595458984375
21	68910712.0	1994.6890869140625
22	83464672.0	2007.2213134765625
23	74198696.0	2003.6102294921875
24	80886952.0	2003.8726806640625
25	82975040.0	2006.574951171875
26	71076216.0	2002.39111328125
27	77166376.0	2001.03466796875
28	70954696.0	1985.2467041015625
29	79031336.0	1998.240234375
30	62040764.0	1981.609375
31	64554560.0	1990.162353515625
32	66291052.0	1991.3531494140625
33	66378328.0	1989.341064453125
34	64385876.0	1978.956787109375
35	87206712.0	1980.9359130859375
36	67048032.0	1981.0997314453125
37	76209784.0	1974.202392578125
38	71396312.0	1972.5899658203125
39	77398064.0	1998.3525390625
40	85736816.0	1971.631103515625
41	64916148.0	1974.93408203125
42	63680072.0	1970.0146484375
43	74994640.0	1943.81884765625
44	68747776.0	1955.441162109375
45	56404300.0	1958.3428955078125
46	58530220.0	1960.800048828125
47	62197204.0	1947.1470947265625
48	88559176.0	1950.71044921875
49	73228600.0	1956.6435546875
50	62315376.0	1942.145751953125
51	75356296.0	1936.56005859375
52	63788104.0	1935.4879150390625
53	61901852.0	1957.21435546875
54	69936280.0	1959.658935546875
55	65980152.0	1939.0020751953125
56	64340000.0	1942.132080078125
57	57425552.0	1937.1766357421875
58	64820580.0	1928.0283203125
59	63889664.0	1949.519287109375
60	78204240.0	1917.840576171875
61	61833720.0	1932.802978515625
62	71099656.0	1939.631103515625
63	58095500.0	1928.33056640625
64	57328256.0	1921.0367431640625
65	62356504.0	1935.44970703125
66	60424876.0	1927.81689453125
67	61624624.0	1915.4691162109375
68	49375776.0	1920.3134765625
69	65001664.0	1910.12255859375
70	58170160.0	1906.75537109375
71	57224000.0	1909.130859375
72	58996560.0	1906.6361083984375
73	58997648.0	1914.66064453125
74	59977248.0	1922.3182373046875
75	66418192.0	1918.440673828125
76	66539340.0	1898.3494873046875
77	61559132.0	1916.176513671875
78	54490968.0	1890.773681640625
79	57102524.0	1887.3795166015625
80	53406756.0	1894.2095947265625
81	53319960.0	1901.853515625
82	52578024.0	1906.53662109375
83	52366308.0	1878.9681396484375
84	50215128.0	1894.5289306640625
85	51310604.0	1873.2342529296875
86	56803468.0	1890.7403564453125
87	53630884.0	1885.3570556640625
88	54852068.0	1898.90771484375
89	66517160.0	1876.55712890625
90	53021600.0	1857.6484375
91	45481892.0	1885.033447265625
92	56101772.0	1872.3543701171875
93	58304512.0	1868.2105712890625
94	56265532.0	1859.4766845703125
95	54657184.0	1861.00634765625
96	50680004.0	1870.93115234375
97	50254420.0	1874.170166015625
98	58355708.0	1870.5357666015625
99	44242860.0	1860.0550537109375
100	47827596.0	1844.2938232421875
