FeatureID	Factor1	Factor2	Factor3	Factor4
MB_G001	0.026906581743713617	-0.30270498048398875	-0.14927906883219494	0.0049317945410760474
MB_G002	0.5647140297499991	0.4498476941657613	-0.3357179189647803	0.0015932629649391932
MB_G003	-0.0007390401882794867	-0.2146687705346598	-0.005155179782146856	-0.006494693591809657
MB_G004	-0.005180128254244849	0.5246628382917055	-0.03035090165033141	-0.053839440504531856
MB_G005	-0.40693160438555626	0.3322484848955631	-0.02646036212057987	-0.10961655387985242
MB_G006	-0.2630455051974531	-0.37731045041638284	-0.3439840092156304	0.003337331528339976
MB_G007	-0.0103810166054554	0.2140614350236101	0.19620890675922664	0.007070813609022464
MB_G008	0.1305572761167701	-0.18864802368778202	0.5248179220695848	0.02842333806782846
MB_G009	-0.001980035950289682	-0.43746936271522824	-0.08085896015875398	0.004657695402386318
MB_G010	-0.1693243399294179	-0.03267908539660318	0.1512447825545641	-0.010779834749999455
MB_G011	0.6525573263827467	-0.00812727309689199	0.2712793549681323	0.0473358348844718
MB_G012	-0.01958739821515281	0.09193595589895864	-0.03923373368847108	0.049399759278321485
MB_G013	0.5385577849215293	0.4639056622280584	-0.14657195901706457	-0.019211916619109655
MB_G014	0.0010026947391100476	0.5095695896725954	-0.21864953906520698	0.014008544345373115
MB_G015	-0.10124326958988063	-0.23118789089326297	-0.014739695988516774	0.053641851228462815
MB_G016	0.003290812193822243	0.050307334025477254	0.6007343998304484	-0.0022326143533771864
MB_G017	0.005853591236731477	-0.345557354664046	0.6358204513448407	0.0014883928141740852
MB_G018	0.6301455718723319	-0.09864731060514025	0.251360248687392	0.01045739217967343
MB_G019	-0.40556269109678456	0.2768311004979154	-0.3107208746275431	0.0024142009358411017
MB_G020	0.009299872355555537	0.40798071454570833	-0.0034614725434545584	-0.02444775189243028
MB_G021	-0.09641898911097277	0.2746530498236424	0.1240641917385022	-0.017690749768590804
MB_G022	0.7885731171991821	-0.013952697835254414	0.08371541048827016	0.001638380187339063
MB_G023	0.6042303896217237	-0.005281027974100398	0.3128061093757606	0.059050822807057445
MB_G024	0.33237685824544966	0.1421150435536373	-0.3008314026546856	0.02444944866183026
MB_G025	-0.393539492874887	0.006929342705049805	-0.21880031498141914	-0.0006145840015330419
MB_G026	-0.10434464038591809	0.503321434808767	-0.2155048449142616	0.0033197862354680903
MB_G027	-0.002708858537736403	0.46843344305522505	-0.34796946404522533	-0.05014037962390296
MB_G028	0.22236410757495406	0.2998760011808013	0.0034407833059449558	5.272139624380575e-06
MB_G029	-0.6171650489958603	-0.07572664762925069	-0.28236491929542623	0.015681526205262444
MB_G030	-0.047420928589011986	0.42084121014531617	-0.21964422903081599	0.005838078076533084
MB_G031	0.0009902601940395093	-0.3747192723258171	-0.445254507813438	-0.04828635280764326
MB_G032	-0.10441280977753871	-0.00048370262215725337	0.5244858599713069	0.019895617357247743
MB_G033	0.1744712042606331	0.4153640013076781	-0.14607967671369254	-0.004401787755973789
MB_G034	0.47459543468010545	-0.3874655222493781	-0.5367032805493335	-0.02407944678488145
MB_G035	-0.006392505162685544	-0.13946978347209152	0.3856904119703617	0.02575022730985253
MB_G036	0.0004047739390971566	-0.009618268662211686	0.7597344728148238	0.003730240446511397
MB_G037	-0.5730683679000808	-0.006045227608264815	-0.2961245879402759	-0.006506819740528971
MB_G038	-0.2852598713130265	0.1066854983867068	-0.20233330937424518	-0.025420232365974023
MB_G039	0.16288531140458717	-0.3560391834577823	-0.4590072837543663	-0.03355195502954093
MB_G040	0.33811534317165975	-0.005472925446249977	-0.24046311034617954	-0.00835825164292146
MB_G041	0.5904610808405164	-0.15477233934822615	0.16825122025209904	0.0262350733893049
MB_G042	0.29751707877721384	0.10827538134418045	-0.0002597207975339389	-0.07796475168065609
MB_G043	-0.5630651756298726	-0.0007243408931727501	-0.20043773927640302	0.001597813864417928
MB_G044	-0.29804550120536455	0.006949013709788737	-0.3981598737139863	-0.03437322035570059
MB_G045	0.6608412594856885	-0.31236357509999224	-0.20349530370613148	-0.10234419719969796
MB_G046	-0.19565330265581424	0.23462023035460877	-0.0826300289063743	-0.03365689739987172
MB_G047	0.5039831631860977	0.0010373217764840798	-0.034597833457732735	0.048966806800110035
MB_G048	0.03414162163882157	-0.16827019325691653	0.28636816819548494	-0.00944602385960859
MB_G049	0.3471205500957238	-0.38188835841641344	-0.48697711655053466	-0.029513594314407914
MB_G050	0.024765077978492277	0.0003666362498963244	0.489659518153497	0.08758380699445713
MB_G051	-0.6632155230151187	-0.004544655702532455	-0.28419419192993334	-0.005357360349793873
MB_G052	-0.477179254507219	-0.21790565383932015	-0.19554495939008826	0.050089375824246635
MB_G053	0.57964716379351	0.001159773195166558	0.0005540373162023197	-0.0038623526503033527
MB_G054	0.07226338937017453	-0.07627668799529297	0.5259115217564599	-0.007459094791573132
MB_G055	-0.002628398793203143	0.012775089352773366	0.6345302286083291	-0.011569912006445405
MB_G056	-0.34364224355351036	0.35339513279790463	-0.010801120678731324	-0.0016838426693088846
MB_G057	0.21401088822553474	0.262653174888889	-0.42748943931120054	-0.019835602984901387
MB_G058	-0.24712272796898754	0.2745701785263095	-0.19170404631876348	-0.026692000169750176
MB_G059	-0.013308567159895379	-0.20952313981097273	-0.6361310961715988	0.03355998697018809
MB_G060	-0.45866484425414095	-0.18076786930295413	-0.3184980352618553	0.005565670910992307
MB_G061	0.13475204273936986	-0.12118465444676292	0.2174469285644718	0.04679829185100064
MB_G062	-0.0893038528294848	-0.3900884757706268	0.002479591186704161	-0.07722865137239633
MB_G063	0.18228006051697337	0.4644398554105821	-0.0896879377437379	0.03023153739062335
MB_G064	-0.3177746343245615	0.020887254748313107	-0.01407416104634227	0.0073192665020809285
MB_G065	-0.17977711593389192	-0.005295367990147286	-0.4311814190132732	-0.010566473016229736
MB_G066	-0.232339909110418	0.423033934613718	-0.002211945793203586	-0.04709852931959803
MB_G067	0.0042904503528523475	-0.08884601308725751	0.0007215259761387103	0.0014663068427958074
MB_G068	-0.011824662723914355	0.1383487271462861	-0.006205090626048268	0.017434244366783588
MB_G069	-0.043169314487056444	-0.4086175589635635	-0.27978990856797015	0.00024718578743046006
