View	Factor	VarianceExplained
Microbiome	Factor1	0.13637356514648646
Microbiome	Factor2	0.08130067911573058
Microbiome	Factor3	0.1241447867329083
Microbiome	Factor4	0.0064756903457023895
Metabolome	Factor1	0.070481046091592
Metabolome	Factor2	0.02756543204413664
Metabolome	Factor3	0.1454893232219202
Metabolome	Factor4	0.08238903668321262
