	Axis1	Axis2	Axis3	Axis4	Bias
MB_G001	0.45026493	-0.3282977	-0.006529079	0.98429185	0.43635234
MB_G002	0.8011044	0.3053908	0.8230331	-1.5622026	-1.7041653
MB_G003	1.1986165	0.8333927	0.26850232	-0.64095503	-1.105173
MB_G004	0.70684505	-0.16653724	0.9547499	0.59292865	1.1175047
MB_G005	0.8421263	0.55639803	0.46565905	-1.1264441	-0.012966978
MB_G006	0.23592423	0.29848588	1.0313644	0.15710136	1.3069651
MB_G007	0.43356794	0.44907463	1.1878271	-0.024884727	0.098258846
MB_G008	0.06234742	1.1941222	-0.022787625	0.11037274	1.4147699
MB_G009	1.056346	-0.60053205	0.3098554	1.2708654	-0.5790335
MB_G010	-1.4526224	1.0958997	0.7199772	0.24888575	-0.19177185
MB_G011	0.8430125	-0.48222813	0.12030677	0.5333584	-1.0847179
MB_G012	0.5304229	0.7549352	0.32095385	-1.1105496	-1.7857802
MB_G013	0.47184828	-0.40073135	-1.1375594	0.6166149	1.1006386
MB_G014	0.726879	0.44806245	0.8043365	0.59889996	-1.1958444
MB_G015	0.20218414	-0.44223765	-0.7064923	0.19052367	0.08726947
MB_G016	0.3078038	0.9997204	-0.91667396	-0.576619	-0.7064838
MB_G017	0.6138661	0.7117097	0.52490467	0.17585023	0.27917925
MB_G018	-0.91570425	-0.79897463	0.24233009	-0.18560958	-0.13810505
MB_G019	1.0539097	1.0716046	0.43153167	0.37818584	-1.1956795
MB_G020	0.24495268	-0.6450606	-0.5747831	-0.8191374	-1.7021469
MB_G021	0.114435755	0.080021955	-1.9268286	-1.0090157	0.074737
MB_G022	1.435477	0.6134929	0.25947437	1.3887271	0.52512324
MB_G023	-0.5902816	0.48384207	-0.3866927	-0.3950812	-0.3052496
MB_G024	0.12537056	-1.3787248	0.32637697	0.677431	-0.5727411
MB_G025	-1.0402178	-1.2061694	-0.4585922	-0.19165608	0.07259628
MB_G026	-0.9491199	0.3163872	2.0124888	0.32936528	0.2945702
MB_G027	-0.3345586	1.4046415	0.8035435	-1.2901239	-0.1943168
MB_G028	0.5274928	0.09940894	-1.2144862	0.33387142	-1.7067218
MB_G029	-1.978183	0.21166667	-0.54542154	0.9324561	-0.30048504
MB_G030	1.2201767	0.5532886	-1.0119771	-0.55321103	-1.8060709
MB_G031	-0.115919866	0.38599962	-0.34892678	0.184637	0.08268799
MB_G032	-0.28470403	-0.056481652	0.3183155	1.0672485	1.5534438
MB_G033	-0.57748854	-0.055095762	-0.047086686	-0.53966737	0.2659603
MB_G034	-0.20757455	-1.5952883	-0.38094166	-0.43843868	0.8837857
MB_G035	-0.12311937	-0.89941376	8.6186835e-11	1.05406434e-10	-0.8247631
MB_G036	-1.0493025	-1.7624056	-0.20355327	1.305762	-0.91793483
MB_G037	1.5523982	-0.5830625	-0.043954205	0.056236938	0.10734007
MB_G038	0.4197574	-0.2638594	-0.39248854	1.0718294	0.60525
MB_G039	0.30366802	1.1387405	0.38085818	0.08261613	0.84905
MB_G040	-0.6608989	-0.9498344	-0.45483172	0.13695416	0.93101954
MB_G041	-1.0579762	0.4850334	-0.27330002	0.86916935	-0.27436665
MB_G042	-0.4915646	-1.1133136	1.3642633	-1.6866783	-0.72760284
MB_G043	-1.1528411	-0.091813006	-1.7195612	-0.34071106	-0.7802463
MB_G044	-0.8648535	0.63440895	-0.73750997	1.242713	-0.4559483
MB_G045	0.2903233	-0.45648426	-0.8965466	-0.6310689	0.13460621
MB_G046	0.13436417	-0.5221092	0.094321884	1.5135019	-1.1256473
MB_G047	-0.30699596	-0.49612305	0.46052155	0.8062808	0.9860785
MB_G048	-0.33287963	-0.81776214	-0.72503376	1.4854876	0.22512339
MB_G049	1.1496198	-1.0215366	1.1383785	0.31709665	0.07632376
MB_G050	0.05992154	-0.20949014	-0.5357169	0.43324247	-0.57692844
MB_G051	-0.05244957	1.2570912	-0.7287012	-0.27406695	0.28335428
MB_G052	-0.07118017	0.3115462	2.8348515	1.0199742	-1.2499224
MB_G053	-0.31334403	0.2284882	1.338205	-0.16183017	0.33885303
MB_G054	1.6745254	-0.78968674	-0.2734147	-0.07353459	-0.29939836
MB_G055	0.65274405	-0.20666236	0.3798185	1.117938	-0.19390446
MB_G056	-1.708672	1.1219862	-0.9564665	-1.1253141	1.6746018
MB_G057	-0.2351852	0.26464817	-0.39230898	-0.95290756	-0.43225354
MB_G058	-1.7412598	-1.2478074	-0.5783475	-1.9825208	-1.5964397
MB_G059	0.9554829	-0.1758338	1.227261	0.72343236	-0.88394165
MB_G060	-0.023903212	0.9184375	-0.91431695	-0.0023837348	-0.052218545
MB_G061	0.3383364	0.25953227	0.35459962	-0.4076902	-1.1612834
MB_G062	0.41027227	1.5091954	-0.35656872	-0.49292156	0.53644186
MB_G063	-1.0467378	-1.4599888	-0.52534676	1.2102473	-1.0647658
MB_G064	-1.0699487	0.020256385	-0.99185467	0.5556891	1.1460193
MB_G065	0.50375074	-0.0027159492	0.5954007	-0.15576647	-1.3419648
MB_G066	1.5260519	-0.15186824	0.05057154	-1.4973845	0.78023404
MB_G067	-2.8466585	-0.057950553	-0.45426744	0.73655576	-1.2049183
MB_G068	0.3911914	0.090862386	-1.6366936	-0.8138792	-0.22854988
MB_G069	-0.8744043	-0.8776056	0.8506373	0.5886766	-0.7333075
MB_G070	0.49419692	-1.2158163	-0.09738618	1.5256929	-0.13553403
MB_G071	-1.7503983	-0.3459848	0.58518195	1.4276258	-0.9768029
MB_G072	-1.5597287	0.550712	0.10921049	-1.2799659	-0.82998633
MB_G073	-1.6500654	-1.0147651	2.0273376	1.5578104	-0.85810405
MB_G074	-1.540651	-1.1988841	-1.6677794	0.3397026	2.0000072
MB_G075	-2.1996696	0.77855843	-0.3469821	-1.4933298	1.0107865
MB_G076	-0.56183964	0.6227878	-0.39020273	-2.4091232	0.95580554
MB_G077	0.25965965	0.9616177	0.50974786	0.28714982	0.26993763
MB_G078	-0.6917306	-0.92372394	-1.2934549	1.1623838	-0.88116914
MB_G079	0.053323694	0.48905033	0.1673401	-0.76703227	0.1357706
MB_G080	2.1232836	0.62716186	-1.0836252	0.101532586	1.0917615
MB_G081	0.40306464	1.2141371	-1.4170772	0.17146862	-0.33995336
