microbe	metabolite	Rho	PValue	QValue	AbsRho
MB_G036	MT_M023	-0.6719269258343772	2.978545662035037e-30	3.574254794442045e-26	0.6719269258343772
MB_G011	MT_M002	0.6350996686603617	3.018659023870632e-26	1.811195414322379e-22	0.6350996686603617
MB_G023	MT_M045	0.6232598128144833	4.522291135694313e-25	1.808916454277725e-21	0.6232598128144833
MB_G011	MT_M060	0.6214096314242533	6.831933764548891e-25	2.0495801293646674e-21	0.6214096314242533
MB_G051	MT_M060	-0.6180634102766767	1.4308851658640083e-24	3.2149582359500108e-21	0.6180634102766767
MB_G018	MT_M060	0.6175329806175329	1.6074791179750054e-24	3.2149582359500108e-21	0.6175329806175329
MB_G036	MT_M066	0.615967711956539	2.2632366990138122e-24	3.879834341166535e-21	0.615967711956539
MB_G060	MT_M060	-0.6133922435549837	3.957393731732623e-24	5.936090597598934e-21	0.6133922435549837
MB_G088	MT_M002	0.6126905114688465	4.604118787302483e-24	6.138825049736644e-21	0.6126905114688465
MB_G023	MT_M060	0.6116959972194667	5.7020459000533335e-24	6.842455080064e-21	0.6116959972194667
MB_G029	MT_M060	-0.6100403795386927	8.127071438985656e-24	8.86589611525708e-21	0.6100403795386927
MB_G023	MT_M002	0.6056666026574902	2.052109033370121e-23	2.0521090333701212e-20	0.6056666026574902
MB_G011	MT_M045	0.6044686835864722	2.6381339311260205e-23	2.4352005518086345e-20	0.6044686835864722
MB_G036	MT_M088	0.5976631982690961	1.0775762276265053e-22	9.236367665370045e-20	0.5976631982690961
MB_G086	MT_M066	0.5951946903521724	1.780557247689284e-22	1.4244457981514273e-19	0.5951946903521724
MB_G037	MT_M066	-0.594869621284655	1.9016835435942956e-22	1.4262626576957217e-19	0.594869621284655
MB_G018	MT_M002	0.5926205889256362	2.992304589417078e-22	2.1122150042944078e-19	0.5926205889256362
MB_G036	MT_M028	0.5920999284639649	3.321716711409369e-22	2.214477807606246e-19	0.5920999284639649
MB_G018	MT_M091	0.5904780852848205	4.59329012463446e-22	2.901025341874396e-19	0.5904780852848205
MB_G023	MT_M088	0.5882653777933463	7.1268233353995815e-22	4.2760940012397485e-19	0.5882653777933463
MB_G011	MT_M023	-0.587084066342295	8.998055067424909e-22	5.011513041839164e-19	0.587084066342295
MB_G022	MT_M002	0.5869781090155819	9.187773910038468e-22	5.011513041839164e-19	0.5869781090155819
MB_G036	MT_M060	0.5862940594151985	1.0510702010195373e-21	5.483844527058456e-19	0.5862940594151985
MB_G018	MT_M023	-0.5847229779915781	1.4298477146196607e-21	7.149238573098304e-19	0.5847229779915781
MB_G051	MT_M088	-0.583349331739749	1.868788590332635e-21	8.970185233596647e-19	0.583349331739749
MB_G023	MT_M091	0.5809367991004488	2.9815455017926233e-21	1.3760979239042878e-18	0.5809367991004488
MB_G018	MT_M022	0.5803850161736309	3.315949147268552e-21	1.473755176563801e-18	0.5803850161736309
MB_G017	MT_M028	0.5800016285089596	3.569715802572579e-21	1.5298782011025339e-18	0.5800016285089596
MB_G043	MT_M116	-0.5797673417809439	3.734081265120768e-21	1.5451370752223869e-18	0.5797673417809439
MB_G036	MT_M091	0.5792725359401905	4.106023612990501e-21	1.6424094451962005e-18	0.5792725359401905
MB_G011	MT_M066	0.5787867060370077	4.50653878962342e-21	1.7444666282413237e-18	0.5787867060370077
MB_G037	MT_M060	-0.5783105287582148	4.93624249076434e-21	1.8510909340366277e-18	0.5783105287582148
MB_G060	MT_M091	-0.5769025981020748	6.456084270881424e-21	2.234543916767962e-18	0.5769025981020748
MB_G037	MT_M088	-0.5768648926025095	6.502545377889464e-21	2.234543916767962e-18	0.5768648926025095
MB_G023	MT_M023	-0.5768528771956737	6.517419757239889e-21	2.234543916767962e-18	0.5768528771956737
MB_G017	MT_M066	0.5756868523344504	8.131660029017089e-21	2.6729013453396128e-18	0.5756868523344504
MB_G051	MT_M045	-0.5756160379037222	8.241445814797139e-21	2.6729013453396128e-18	0.5756160379037222
MB_G018	MT_M088	0.5753130269169141	8.727883026456749e-21	2.693620712493563e-18	0.5753130269169141
MB_G017	MT_M088	0.5752970694291446	8.75426731560408e-21	2.693620712493563e-18	0.5752970694291446
MB_G011	MT_M088	0.5734511300403663	1.2398834978994855e-20	3.7196504936984564e-18	0.5734511300403663
MB_G060	MT_M088	-0.5729439098934034	1.3637980528283162e-20	3.9916040570584864e-18	0.5729439098934034
MB_G022	MT_M116	0.572128632256747	1.5888946035286786e-20	4.539698867224796e-18	0.572128632256747
MB_G036	MT_M022	0.5693982981293492	2.6420885398433222e-20	7.373270343748806e-18	0.5693982981293492
MB_G018	MT_M045	0.5690959178901706	2.794349153867731e-20	7.620952237821083e-18	0.5690959178901706
MB_G029	MT_M088	-0.5682136545902668	3.289547149495485e-20	8.77212573198796e-18	0.5682136545902668
MB_G043	MT_M045	-0.5679146999218192	3.476141230211271e-20	9.068194513594621e-18	0.5679146999218192
MB_G051	MT_M091	-0.5677852812641598	3.560105135228486e-20	9.089630132498263e-18	0.5677852812641598
MB_G088	MT_M060	0.5667347478777109	4.319507508936899e-20	1.0798768772342247e-17	0.5667347478777109
MB_G022	MT_M060	0.5659740891750241	4.966484890881991e-20	1.216282014093549e-17	0.5659740891750241
MB_G011	MT_M022	0.5656725925024373	5.2484545165697446e-20	1.2596290839767388e-17	0.5656725925024373
MB_G023	MT_M066	0.5639277250814525	7.216826774961338e-20	1.6880064532284006e-17	0.5639277250814525
MB_G043	MT_M002	-0.5638536999470348	7.314694630656402e-20	1.6880064532284006e-17	0.5638536999470348
MB_G051	MT_M066	-0.563260964096374	8.146763349956735e-20	1.8445501924430344e-17	0.563260964096374
MB_G029	MT_M045	-0.5607195982120668	1.2898397711848483e-19	2.866310602632997e-17	0.5607195982120668
MB_G051	MT_M002	-0.5593450183594046	1.6510449909051874e-19	3.6022799801567727e-17	0.5593450183594046
MB_G018	MT_M066	0.5578123632487808	2.1713461602150944e-19	4.6528846290323444e-17	0.5578123632487808
MB_G055	MT_M023	-0.5543687843141596	3.997673297642099e-19	8.416154310825472e-17	0.5543687843141596
MB_G011	MT_M091	0.5537790502580501	4.435035786161506e-19	9.175936109299667e-17	0.5537790502580501
MB_G022	MT_M045	0.5535154666468469	4.6453813310516975e-19	9.448233215698369e-17	0.5535154666468469
MB_G036	MT_M005	0.5530321729166099	5.056779595188364e-19	1.0113559190376727e-16	0.5530321729166099
MB_G060	MT_M066	-0.5527584011744427	5.305465715611913e-19	1.0436981735629993e-16	0.5527584011744427
MB_G029	MT_M066	-0.5513042096261923	6.841474969060032e-19	1.3241564456245222e-16	0.5513042096261923
MB_G011	MT_M048	0.5497349091855449	8.989088583284536e-19	1.7122073491970544e-16	0.5497349091855449
MB_G044	MT_M066	-0.5473898362715033	1.3481521317201687e-18	2.5277852469753166e-16	0.5473898362715033
MB_G072	MT_M066	0.5444549797471555	2.228948586003939e-18	4.1149820049303487e-16	0.5444549797471555
MB_G088	MT_M088	0.5425374868586745	3.0875768452536826e-18	5.613776082279423e-16	0.5425374868586745
MB_G011	MT_M118	0.5406467827096352	4.248907221503808e-18	7.609983083290402e-16	0.5406467827096352
MB_G022	MT_M088	0.5401683698351637	4.604949965803865e-18	8.126382292595056e-16	0.5401683698351637
MB_G029	MT_M091	-0.5399822634963284	4.7512166252843516e-18	8.262985435277133e-16	0.5399822634963284
MB_G088	MT_M023	-0.5385524560735828	6.037489733081992e-18	1.034998239956913e-15	0.5385524560735828
MB_G037	MT_M002	-0.5377255714422148	6.93116784738434e-18	1.1687437269866277e-15	0.5377255714422148
MB_G088	MT_M066	0.5376556184182494	7.012462361919766e-18	1.1687437269866277e-15	0.5376556184182494
MB_G088	MT_M091	0.5344486449424434	1.1933760461955525e-17	1.9617140485406343e-15	0.5344486449424434
MB_G023	MT_M022	0.5329792318009199	1.5197097675734844e-17	2.4643942176867315e-15	0.5329792318009199
MB_G055	MT_M028	0.5319549798986422	1.7973713758186955e-17	2.8757942013099128e-15	0.5319549798986422
MB_G041	MT_M022	0.5313961007348471	1.9692416320463122e-17	3.1093288927047037e-15	0.5313961007348471
MB_G086	MT_M088	0.5302502212760689	2.3734948084570514e-17	3.6989529482447554e-15	0.5302502212760689
MB_G037	MT_M023	0.5300989113436098	2.4326126071978567e-17	3.742480934150549e-15	0.5300989113436098
MB_G086	MT_M028	0.5265115901657429	4.3434285264747516e-17	6.597612951607218e-15	0.5265115901657429
