MetaboliteID	Factor1	Factor2	Factor3	Factor4
MT_M001	-0.15742972557263205	0.007851946307237227	-0.28275382501458185	-0.3166997674293016
MT_M002	0.553188487770731	0.1960771829718913	0.13678083473024755	0.01467717887529105
MT_M003	0.37972160223652046	0.30445267568904383	-0.24327003766950833	-0.0824907966869215
MT_M004	-0.0038977581810211745	-0.004461440428426382	0.6686639949685665	-0.0014135916919162748
MT_M005	0.1262186206825777	0.017383631677256903	0.5946195818125941	-0.00884938815992804
MT_M006	0.3143159644045688	0.2995870365485323	0.05543466501813876	0.005938569956407001
MT_M007	-0.0016070938304363841	0.028670402927709112	0.544820565090025	-0.005550302474129484
MT_M008	0.10978276933352295	0.022715675231961576	-0.12684215719960748	-0.0060137419446355325
MT_M009	0.0008929415778334291	-0.038410357867492625	-0.625770269648427	-0.002199530124249754
MT_M010	-0.2435209336384545	0.037766299218710164	-0.3491085387527704	-0.07190449261510476
MT_M011	-0.19290055210901078	0.16998247943674588	-0.4759639014578245	0.0012160120926981062
MT_M012	-0.10233529881581593	-0.00919310256057467	-0.034137061778443244	-0.15230581931972717
MT_M013	0.36257952141982464	0.2082618905113139	-0.2817836276985729	-0.08191161601369537
MT_M014	-0.0210737565994835	0.001140762880898222	-0.060006274895476934	-0.11816386384686958
MT_M015	0.13132912124904877	0.11880838507620939	-0.6986427455703448	-0.010496586761267516
MT_M016	-0.11533416120814816	6.9730638069327e-05	-0.25859630548388624	-0.6029185620519809
MT_M017	-0.006164478425155844	0.035522318948717865	-0.09680332310362998	-0.5853630519701146
MT_M018	0.13107182681832372	0.12270102137437607	-0.5188735583021254	-0.0016773663196290771
MT_M019	0.2467286171416676	0.026035923852939822	0.2692337009556875	-0.003724068532155307
MT_M020	0.00024566960791124577	-0.005756264672549306	0.7092696796487903	0.012647725125698093
MT_M021	0.20769895842718453	0.22218132629189905	-0.03157355429123879	-0.09897578489583761
MT_M022	0.38579189534581965	-0.07450935289264952	0.4180274188584313	0.0003862663187360908
MT_M023	-0.3840968217114522	-0.0840005512756597	-0.5265715409183305	0.008070567194154788
MT_M024	-0.010935480482377007	0.0029997718362547447	-0.3186292519622241	-0.4713615018039105
MT_M025	0.17913923129198223	0.14244248869418225	-0.5393296530000063	-0.005186810154898556
MT_M026	-0.0016510729921689494	0.015134915920250284	-0.20237640250963795	-0.7095190674304578
MT_M027	-0.008106554754412618	0.002465571157580244	-0.02720153462211186	-0.0457139542784137
MT_M028	-0.004009977013076458	-0.05865188934802717	0.7488274572556798	-0.009476390352753146
MT_M029	0.023790176409871605	0.027999713417961626	0.022248584425750888	0.0028236859030074573
MT_M030	0.0036064386634273777	0.002161709105578527	-0.00466917580126244	-0.8621865691858163
MT_M031	0.03600677610395847	0.02613087893036891	-0.0026255925961528466	-0.7347165520702524
MT_M032	-0.021044860935253484	-0.15393419885545037	-0.0055680317196802566	-0.30146507846125314
MT_M033	0.5031268593741518	0.216030832315133	-0.0002862663960670087	-0.004473709391938529
MT_M034	0.41980375201627007	0.11017127663903166	-0.005000649670929429	-0.21163328016259852
MT_M035	-0.0675302279160709	0.2143723625067931	0.45217783571666026	-0.23036042570997675
MT_M036	-0.011054470373137712	-0.07099730864766642	0.0012248126515311487	-0.38392649638300536
MT_M037	-0.009248525031803652	0.002508032500313912	0.43387687861222124	-0.012082546039178079
MT_M038	0.012126105774145584	-0.003297545022374247	-0.0015490311853521483	-0.4155775715898324
MT_M039	0.30803175004110817	0.1801014094352226	0.004239217250629644	0.0031119693546916693
MT_M040	0.002096724293986485	0.0032170746320771713	-0.0027490932686007647	-0.9024594055611109
MT_M041	0.008091986876496664	0.02123136403830252	0.19022734837425592	0.004118234210007482
MT_M042	0.007044148532848313	0.18833726307554166	0.5330055938755899	0.00137475001742587
MT_M043	-0.004441529144363988	0.3941979992406097	-0.13709327943211458	0.01477082912640405
MT_M044	-0.03824368483345572	-0.1402144219456819	0.02355049965357044	-0.41830248943072024
MT_M045	0.4917286561771605	-0.00431604163797267	0.40391173314955775	-0.005979902855949679
MT_M046	0.274026898763703	0.007337063393512557	0.14505335262365	0.0011008662231452055
MT_M047	0.01799595682676497	-0.004594775308707791	0.5194821843051112	0.0011580429355999087
MT_M048	0.4390672994275459	-0.010282665943241889	0.3270923059363982	0.0073801084545035015
MT_M049	-0.012832834950060847	0.016393074811646983	-0.4565215584221796	0.09706356485722616
MT_M050	-0.24100095282186235	0.0013569701523868717	-0.38851964252714755	0.00401649167075048
MT_M051	-0.009930786348615368	0.3117256755337671	0.14470162154228175	0.16060815874916923
MT_M052	0.0047048606931036924	0.1950268903405263	-0.43997558212572513	0.004416840506542271
MT_M053	0.015030686630606523	0.06035398477121486	0.5627774180787871	-0.02439118503527935
MT_M054	-0.3006619009152919	0.3759042686207988	0.18872856741180896	0.04754761280116511
MT_M055	0.029615951395629444	0.007767407495842429	0.10498999112568992	-0.3614126549844511
MT_M056	0.22048789799554308	0.3744394064749112	0.14524854464523512	0.09241122914732586
MT_M057	-0.004499181187859002	0.03305646813073954	0.6331678693985119	-0.16409077471221378
MT_M058	0.0030608459023214393	0.36101176693538295	-0.3678872301541768	0.001432561264151785
MT_M059	0.010869223102651775	-0.004002815379749241	-0.005097723006508894	-0.8959738238048021
MT_M060	0.4750103033706252	0.019851149879617152	0.499305492687223	-0.006286659227635277
MT_M061	0.46721253591267775	0.004980502029554638	0.03115000005312215	0.06296623993846054
MT_M062	-0.014648849154854288	-0.008245071912257677	0.6778759088110521	-0.22348962266454678
MT_M063	0.2753257332177456	-0.00036243475922399874	0.03567806496695301	0.24446829731359265
MT_M064	-0.2895390592488159	-0.0051041051988528555	0.0025719536237475277	-0.363266446788817
MT_M065	0.0024581221983405875	0.3463364188908314	-0.44168810585295226	0.002615430722671777
MT_M066	0.25186090609145323	-0.005938943497042067	0.6641028616426212	0.0037243866574000655
MT_M067	-0.047924956587287085	-0.0547561004203198	0.014844113020694402	-0.26178027409620963
MT_M068	0.012654804807294476	0.13469131072019533	0.4792323052763675	-0.019826505125979964
MT_M069	-0.15681572795260984	0.10576612451382615	0.3221549243893683	-0.0701937816383037
MT_M070	-0.2799553065809335	-0.008005409738601376	-0.29837250476839694	0.06795789979623762
MT_M071	-0.01528277184059785	-0.019009129729500647	-0.04442912471434024	-0.03948151116810065
MT_M072	-0.1866140674754417	0.01586839126086188	-0.05685292743761578	0.0332399444181975
MT_M073	-0.28414512011988907	-0.003204237534217351	0.5851620700064997	-0.006157560274081357
MT_M074	-0.023344507766624473	-0.30062785999588487	0.04590286439016485	0.0001330514434923649
MT_M075	0.003526190421047128	-0.05890045082641874	0.1898868699624369	-0.6551161905944782
MT_M076	0.0755887538704088	-0.012147622766809167	-0.5847253612519155	-0.0020007624849444267
MT_M077	-0.2560355467594595	0.017569347728752717	0.0033125446306875735	-0.12648910210695316
MT_M078	0.008491184244336366	0.1894996090538583	0.3996591063902756	-0.15922618129873128
MT_M079	-0.030593570397428875	-0.03777507856342743	0.009563271367622157	-0.03192819390800749
MT_M080	0.2734205599182105	0.4215004160292823	0.4434353850130279	-0.13870360692953598
MT_M081	0.5065657569510421	-0.01797474040093748	0.01123945764868489	0.004988242355759671
MT_M082	0.0005222257691902465	0.0014266208916200616	-0.2456418247428106	-0.6755835702537716
MT_M083	-0.033987272303359566	-0.016735600472187247	0.1421447206850467	-0.8420254839107212
MT_M084	-0.10552166338743524	0.33492796011222026	-0.13803291749037278	0.015885372100565932
MT_M085	0.023701921369420682	0.0032765711817960928	0.4225327428158578	0.030685863087772804
MT_M086	0.004236660075691149	0.10034498819947316	0.49308393210728324	-0.001233649707523313
MT_M087	-0.06223919422230256	-0.0060348846013238795	-0.4442119201888827	-0.00928331107834151
MT_M088	0.3679414263383792	0.0007662979776200337	0.560691284661186	-0.015473051669088458
MT_M089	-0.03295033741451879	0.2871985320400565	-0.004956797771514949	-0.0018951496011459668
MT_M090	-0.12755607176921027	0.23992766257185666	0.4793356022282969	-0.21320550479233386
MT_M091	0.38346033565866144	0.014596303247003938	0.4975127658810865	-0.00428498895085497
MT_M092	0.08179186985704488	0.3880704100967048	0.0023411337285603223	0.016569126683912572
MT_M093	0.21220030932056008	-0.008494281859734096	0.004878357576631252	0.23140679828402158
MT_M094	0.35630289897036194	-0.007308571722229532	0.280865888981832	0.0011834091200760555
MT_M095	-0.3019047474692102	0.005194550702260444	0.15113162035827	-0.3503848000548489
MT_M096	-0.008011375782228436	0.07301868578717326	0.3435600713510634	-0.09374391303151262
MT_M097	0.2334740153229811	0.4796827495358063	0.38239785541764026	0.0069441628426555975
MT_M098	-0.041849855512813484	0.0014843098529414786	0.4630133491862197	-0.1913238294020591
MT_M099	0.05128966564384613	-0.007644355366495763	-0.11625061718089522	-0.11922087077485735
MT_M100	-0.0021966803203522754	-0.01815696339459175	-0.159250368805493	-0.7564483173236595
MT_M101	-0.004558841916767167	0.025604421490712518	-0.4684971777848239	-0.003951795359587088
MT_M102	0.3538474778273726	0.0010441762271000345	0.28038801769908395	-0.0015973183712950857
MT_M103	-0.000601475996476402	0.001738799951814995	0.25888453833750624	-0.0061102145781145815
MT_M104	-0.3254221194507772	-0.0023859176983408374	-0.20366344880570125	0.00551282243345454
MT_M105	-0.05238513593480164	0.0015040793352612116	0.22558607595819272	-0.44366782774283275
MT_M106	0.016062713192483497	0.01096881023440183	-0.1908765918090424	-0.007836572517102179
MT_M107	-0.042104045505859805	0.009903826133160189	-0.0011659488844169821	-0.38033214805091714
MT_M108	-0.021488619926914955	0.0766744650011615	-0.18279526464259713	-0.0017768180674512925
MT_M109	0.08745824745193025	0.24484750477146663	0.49770824994402624	0.00568568726331737
MT_M110	-0.16865143181114003	0.04590687261882977	0.24370577874257546	-0.003690822533753142
MT_M111	0.4330466442437649	-0.0008778217501283513	-0.05373602222170006	-0.0009317340692952691
MT_M112	-0.00309132409986426	-0.033789323398115946	0.010582471853932348	-0.6938581304271044
MT_M113	-0.0035941930769161413	-0.3576505375067231	-0.01718724393120547	-0.0021717253727209914
MT_M114	0.011050789361936866	0.003303702183757816	-0.14723941504020105	-0.025883610136280502
MT_M115	-0.19366928886797652	0.2428541114448498	-0.1029445515494793	-0.022117468510498617
MT_M116	0.638928562313529	0.06680265989157878	-0.022560927269054478	0.0034746406268028013
MT_M117	0.494444837671847	0.0006442219155057731	0.25137469138346885	0.0037901872938459966
MT_M118	0.5837149993851706	0.01955564769505491	0.09806292882212356	2.6745355372973543e-05
MT_M119	0.25944421024977427	-0.002226703653542691	0.3287718879318623	0.022745890590634435
MT_M120	-0.04482804053765024	0.002755771536064706	-0.0312832425186752	0.005869108344987194
