SampleID	StudyGroup	Model	StartAxis1	StartAxis2	EndAxis1	EndAxis2
PRISM.7122	CD	Observed	0.0198264585521771	0.0381378637180677	-0.0111607670843938	0.019765987599459
PRISM.7147	CD	Observed	-0.0417506546010732	0.000190391652168607	-0.0165521537777903	-0.0117052932522042
PRISM.7150	CD	Observed	-0.00224195110731576	0.00459204765348877	-0.0166827293324478	0.0108418048725057
PRISM.7153	CD	Observed	0.0188140797387532	0.0392666412817601	-0.0056241095272488	-0.00592270454789361
PRISM.7184	CD	Observed	-0.00242816533298606	0.0140697627281207	-0.001423165150199	0.0107716296587598
PRISM.7238	CD	Observed	0.0743124313592079	-0.0115289159636673	0.0382188403801866	-0.00872743943272503
PRISM.7406	CD	Observed	0.073935120316541	-0.00722682619703735	0.0212871481621249	-0.0434564455981612
PRISM.7408	CD	Observed	0.0411776971699232	-0.0183190044269816	0.00473309038359085	0.00607235129624966
PRISM.7421	CD	Observed	0.0203908943937783	0.0259875583862395	-0.0111940242017635	0.0222615693613196
PRISM.7445	CD	Observed	0.0742378391134415	0.0185643833923665	0.0130001027058234	0.0164307442746304
PRISM.7486	CD	Observed	0.00240836243940491	0.0125004353066205	0.0176141713200402	0.0187703469027971
PRISM.7496	UC	Observed	-0.0145836688969047	0.0463264211209802	-0.0148443011678882	0.0160020951279794
PRISM.7506	UC	Observed	-0.0297102285864545	-0.00798518836618367	-0.0118804725287339	-0.02324641790956
PRISM.7547	CD	Observed	-0.0165377086392641	0.00469538479274163	-0.00907123639219167	0.000739804744752728
PRISM.7658	CD	Observed	0.00513440971445868	0.0189724001237231	-0.00338446673758554	0.0141584797836808
PRISM.7662	Control	Observed	-0.0582267728076819	-0.0212265347455513	-0.0428318078286439	0.00427578366330322
PRISM.7744	CD	Observed	-0.0210506627723619	-0.000408354799791363	-0.0291457821934098	0.00619817454468869
PRISM.7759	CD	Observed	0.0458058701745462	0.0222752822006594	0.00398076053387917	0.0204050280553327
PRISM.7762	UC	Observed	-0.00169322583082478	0.0322478966347249	-0.00376397050443727	-0.00558935738309349
PRISM.7776	UC	Observed	-0.00496161427008692	0.0349687698271155	0.0241446044652816	0.0102750602357238
PRISM.7791	CD	Observed	0.00267062655912464	0.0355577014396509	-0.0285046259320707	0.0220679729014519
PRISM.7843	CD	Observed	0.0543397230654282	-0.0147447002900274	0.0306729598291734	-0.00586723693406015
PRISM.7847	Control	Observed	-0.0515893335730082	0.00326419613723682	-0.0147349727454984	0.0123797025437366
PRISM.7852	UC	Observed	-0.0263447184807203	-0.0140885148411595	0.0092959535750973	0.0226148389352689
PRISM.7855	Control	Observed	-0.0454336741437525	-0.00255849774659673	-0.0266863828934302	0.00505187491770509
PRISM.7858	Control	Observed	-0.0258788230571281	0.00738693139244188	-0.00871279786184643	0.0148540543691761
PRISM.7860	Control	Observed	-0.0177602889208055	0.0182794586215446	-0.0317748178986347	0.0110182378573941
PRISM.7861	Control	Observed	-0.0492857224446431	0.0116252508908132	-0.0266232919604689	0.00910027229491965
PRISM.7862	Control	Observed	-0.0530594955053734	0.0145193205737459	-0.0170250934056667	0.00610885081098804
PRISM.7870	Control	Observed	-0.0267378426788612	0.0367966495782727	-0.0202556028320068	0.016639040419565
PRISM.7874	Control	Observed	-0.0543688196518144	0.00607416307076989	-0.0298672070295355	0.00747188760756391
PRISM.7875	CD	Observed	0.0573989656636801	0.00790580466755625	0.0349640266913123	0.00860175354445806
PRISM.7879	Control	Observed	-0.0757804236281773	-0.050943134554973	-0.0431712864393738	-0.0124872874066165
PRISM.7897	UC	Observed	0.0064783876677203	0.00542992174732665	0.00364309825375576	0.0145998876581325
PRISM.7899	Control	Observed	-0.058988855686715	0.00483328325136787	-0.0316960280478082	0.00508725500840208
