direction	cycle	count	q02	q09	q25	q50	q75	q91	q98
R1	1	8614	18.0	37.0	38.0	38.0	38.0	38.0	38.0
R1	2	8614	32.0	37.0	38.0	38.0	38.0	38.0	38.0
R1	3	8614	37.0	38.0	38.0	38.0	38.0	38.0	38.0
R1	4	8614	16.0	34.0	38.0	39.0	39.0	39.0	39.0
R1	5	8614	16.0	32.0	38.0	38.0	39.0	39.0	39.0
R1	6	8614	15.0	33.0	37.0	38.0	39.0	39.0	39.0
R1	7	8614	16.25999999999999	36.0	38.0	39.0	39.0	39.0	39.0
R1	8	8614	17.0	36.0	38.0	38.0	38.0	38.0	39.0
R1	9	8614	15.0	32.0	38.0	38.0	39.0	39.0	39.0
R1	10	8614	15.0	32.0	38.0	38.0	39.0	39.0	39.0
R1	11	8614	15.0	33.0	38.0	38.0	38.0	39.0	39.0
R1	12	8614	32.0	36.0	38.0	38.0	39.0	39.0	39.0
R1	13	8614	15.0	32.0	38.0	38.0	39.0	39.0	39.0
R1	14	8614	32.0	36.0	38.0	38.0	39.0	39.0	39.0
R1	15	8614	32.0	36.0	38.0	38.0	39.0	39.0	39.0
R1	16	8614	17.0	36.0	38.0	38.0	39.0	39.0	39.0
R1	17	8614	33.0	36.0	38.0	38.0	38.0	39.0	39.0
R1	18	8614	18.0	36.0	38.0	38.0	38.0	39.0	39.0
R1	19	8614	20.0	36.0	38.0	38.0	38.0	39.0	39.0
R1	20	8614	15.0	32.0	38.0	38.0	38.0	39.0	39.0
R1	21	8614	14.0	32.0	37.0	38.0	39.0	39.0	39.0
R1	22	8613	17.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	23	8613	33.0	37.0	39.0	39.0	39.0	39.0	39.0
R1	24	8613	17.0	36.0	38.0	38.0	38.0	38.0	39.0
R1	25	8613	16.0	36.0	38.0	38.0	38.0	38.0	39.0
R1	26	8613	16.0	35.0	37.0	38.0	38.0	38.0	39.0
R1	27	8613	15.0	33.0	37.0	38.0	38.0	39.0	39.0
R1	28	8613	33.0	37.0	37.0	38.0	38.0	39.0	39.0
R1	29	8613	18.0	37.0	39.0	39.0	39.0	39.0	39.0
R1	30	8613	34.0	37.0	39.0	39.0	39.0	39.0	39.0
R1	31	8613	17.0	36.0	39.0	39.0	39.0	39.0	39.0
R1	32	8613	37.0	38.0	39.0	39.0	39.0	39.0	39.0
R1	33	8613	36.0	38.0	39.0	39.0	39.0	39.0	39.0
R1	34	8613	36.0	38.0	39.0	39.0	39.0	39.0	39.0
R1	35	8613	36.0	38.0	39.0	39.0	39.0	39.0	39.0
R1	36	8613	16.0	37.0	39.0	39.0	39.0	39.0	39.0
R1	37	8613	15.0	36.0	38.0	38.0	38.0	39.0	39.0
R1	38	8613	36.0	36.0	38.0	38.0	38.0	39.0	39.0
R1	39	8612	33.0	37.0	38.0	38.0	39.0	39.0	39.0
R1	40	8612	34.0	38.0	38.0	38.0	39.0	39.0	39.0
R1	41	8612	36.0	38.0	39.0	39.0	39.0	39.0	39.0
R1	42	8612	37.0	38.0	39.0	39.0	39.0	39.0	39.0
R1	43	8612	18.0	35.0	39.0	39.0	39.0	39.0	39.0
R1	44	8612	30.0	36.0	38.0	38.0	38.0	38.0	39.0
R1	45	8612	14.0	32.0	38.0	38.0	38.0	39.0	39.0
R1	46	8612	14.0	32.0	37.0	38.0	38.0	39.0	39.0
R1	47	8612	14.0	33.0	38.0	38.0	38.0	39.0	39.0
R1	48	8612	29.0	36.0	38.0	38.0	38.0	38.0	39.0
R1	49	8612	14.0	32.0	38.0	38.0	39.0	39.0	39.0
R1	50	8612	29.0	36.0	38.0	38.0	39.0	39.0	39.0
R1	51	8612	31.0	37.0	38.0	38.0	38.0	39.0	39.0
R1	52	8612	16.0	36.0	38.0	38.0	38.0	39.0	39.0
R1	53	8611	16.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	54	8611	29.0	36.0	38.0	38.0	38.0	39.0	39.0
R1	55	8611	30.0	36.0	38.0	38.0	38.0	38.0	39.0
R1	56	8610	14.0	29.0	36.0	38.0	38.0	38.0	39.0
R1	57	8610	14.0	30.0	37.0	38.0	38.0	39.0	39.0
R1	58	8610	14.0	27.0	37.0	38.0	38.0	39.0	39.0
R1	59	8610	14.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	60	8610	14.0	19.0	37.0	39.0	39.0	39.0	39.0
R1	61	8610	16.0	31.0	37.0	39.0	39.0	39.0	39.0
R1	62	8610	18.0	35.0	38.0	39.0	39.0	39.0	39.0
R1	63	8610	19.0	37.0	38.0	39.0	39.0	39.0	39.0
R1	64	8610	19.0	36.0	38.0	39.0	39.0	39.0	39.0
R1	65	8610	17.0	35.0	38.0	39.0	39.0	39.0	39.0
R1	66	8610	17.0	35.0	38.0	39.0	39.0	39.0	39.0
R1	67	8610	15.0	29.0	37.0	39.0	39.0	39.0	39.0
R1	68	8610	16.0	32.0	37.0	39.0	39.0	39.0	39.0
R1	69	8610	14.0	19.0	37.0	39.0	39.0	39.0	39.0
R1	70	8610	14.0	27.0	37.0	39.0	39.0	39.0	39.0
R1	71	8610	26.0	33.0	38.0	38.0	39.0	39.0	39.0
R1	72	8610	27.0	37.0	38.0	39.0	39.0	39.0	39.0
R1	73	8610	16.0	34.0	38.0	39.0	39.0	39.0	39.0
R1	74	8610	16.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	75	8610	30.0	37.0	38.0	39.0	39.0	39.0	39.0
R1	76	8610	35.0	37.0	39.0	39.0	39.0	39.0	39.0
R1	77	8610	17.0	36.0	38.0	39.0	39.0	39.0	39.0
R1	78	8610	17.0	36.0	38.0	39.0	39.0	39.0	39.0
R1	79	8610	16.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	80	8610	16.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	81	8610	14.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	82	8610	14.0	29.0	37.0	38.0	39.0	39.0	39.0
R1	83	8610	14.0	30.0	37.0	38.0	39.0	39.0	39.0
R1	84	8610	27.0	34.0	38.0	38.0	38.0	39.0	39.0
R1	85	8610	27.0	34.0	38.0	38.0	39.0	39.0	39.0
R1	86	8610	27.0	35.0	38.0	38.0	39.0	39.0	39.0
R1	87	8610	14.0	32.0	38.0	38.0	39.0	39.0	39.0
R1	88	8609	16.0	36.0	38.0	39.0	39.0	39.0	39.0
R1	89	8609	30.0	37.0	38.0	39.0	39.0	39.0	39.0
R1	90	8609	16.0	37.0	39.0	39.0	39.0	39.0	39.0
R1	91	8609	15.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	92	8609	14.0	27.0	37.0	39.0	39.0	39.0	39.0
R1	93	8609	14.0	17.0	37.0	38.0	39.0	39.0	39.0
R1	94	8609	14.0	30.0	37.0	39.0	39.0	39.0	39.0
R1	95	8609	14.0	31.0	38.0	38.0	39.0	39.0	39.0
R1	96	8609	14.0	30.0	37.0	38.0	39.0	39.0	39.0
R1	97	8609	14.0	30.0	38.0	38.0	39.0	39.0	39.0
R1	98	8609	13.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	99	8609	14.0	27.0	38.0	38.0	39.0	39.0	39.0
R1	100	8609	14.0	30.0	38.0	38.0	39.0	39.0	39.0
R1	101	8609	14.0	31.0	37.0	38.0	39.0	39.0	39.0
R1	102	8609	13.0	16.0	36.0	38.0	39.0	39.0	39.0
R1	103	8609	13.0	18.720000000000027	36.0	38.0	39.0	39.0	39.0
R1	104	8609	13.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	105	8609	13.0	16.0	37.0	38.0	39.0	39.0	39.0
R1	106	8609	13.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	107	8609	14.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	108	8609	13.159999999999997	16.0	37.0	39.0	39.0	39.0	39.0
R1	109	8609	15.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	110	8609	15.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	111	8609	15.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	112	8609	15.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	113	8609	14.0	16.0	37.0	39.0	39.0	39.0	39.0
R1	114	8609	13.0	16.0	37.0	39.0	39.0	39.0	39.0
R1	115	8609	13.0	16.0	37.0	38.0	39.0	39.0	39.0
R1	116	8609	14.0	16.0	37.0	38.0	39.0	39.0	39.0
R1	117	8609	13.0	16.0	36.0	38.0	39.0	39.0	39.0
R1	118	8609	13.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	119	8609	15.0	34.0	38.0	39.0	39.0	39.0	39.0
R1	120	8609	14.0	24.0	37.0	39.0	39.0	39.0	39.0
R1	121	8609	15.0	31.0	37.0	39.0	39.0	39.0	39.0
R1	122	8609	15.0	32.0	37.0	39.0	39.0	39.0	39.0
R1	123	8609	15.0	33.0	38.0	39.0	39.0	39.0	39.0
R1	124	8609	13.0	16.0	37.0	39.0	39.0	39.0	39.0
R1	125	8609	13.0	15.0	37.0	38.0	39.0	39.0	39.0
R1	126	8609	13.0	15.0	35.0	38.0	39.0	39.0	39.0
R1	127	8609	13.0	24.0	35.0	38.0	39.0	39.0	39.0
R1	128	8609	13.0	27.0	37.0	38.0	39.0	39.0	39.0
R1	129	8609	12.0	14.0	34.0	38.0	38.0	39.0	39.0
R1	130	8609	12.0	26.0	35.0	38.0	39.0	39.0	39.0
R1	131	8609	12.0	29.0	36.0	38.0	38.0	39.0	39.0
R1	132	8609	12.0	24.0	35.0	38.0	38.0	39.0	39.0
R1	133	8609	13.0	32.0	37.0	38.0	38.0	39.0	39.0
R1	134	8609	13.0	32.0	37.0	38.0	38.0	39.0	39.0
R1	135	8609	13.0	14.0	35.0	38.0	38.0	39.0	39.0
R1	136	8609	12.0	15.0	34.0	38.0	38.0	39.0	39.0
R1	137	8609	12.0	15.0	35.0	38.0	38.0	39.0	39.0
R1	138	8609	12.0	24.0	35.0	38.0	38.0	39.0	39.0
R1	139	8609	12.0	15.0	33.0	38.0	39.0	39.0	39.0
R1	140	8609	13.0	24.0	35.0	38.0	38.0	39.0	39.0
R1	141	8609	14.0	31.0	37.0	38.0	38.0	39.0	39.0
R1	142	8609	13.0	24.0	36.0	38.0	38.0	39.0	39.0
R1	143	8609	13.0	24.0	34.0	37.0	38.0	39.0	39.0
R1	144	8609	13.0	25.0	36.0	37.0	38.0	39.0	39.0
R1	145	8609	15.0	33.0	37.0	38.0	39.0	39.0	39.0
R1	146	8609	14.0	24.0	37.0	38.0	38.0	39.0	39.0
R1	147	8609	14.0	26.0	37.0	38.0	38.0	39.0	39.0
R1	148	8609	14.0	15.0	37.0	37.0	38.0	39.0	39.0
R1	149	8609	13.0	15.0	34.0	37.0	38.0	39.0	39.0
R1	150	8609	13.0	26.0	34.0	37.0	38.0	39.0	39.0
R1	151	8609	12.0	24.0	35.0	37.0	38.0	39.0	39.0
R1	152	8609	13.0	30.0	37.0	37.0	38.0	39.0	39.0
R1	153	8609	13.0	25.720000000000027	37.0	37.0	38.0	39.0	39.0
R1	154	8608	12.0	24.0	36.0	37.0	38.0	39.0	39.0
R1	155	8608	12.0	24.0	36.0	37.0	38.0	39.0	39.0
R1	156	8608	13.0	15.0	34.0	37.0	38.0	39.0	39.0
R1	157	8608	12.0	15.0	34.0	37.0	38.0	38.0	39.0
R1	158	8608	14.0	30.0	37.0	37.0	38.0	38.0	39.0
R1	159	8608	12.0	25.0	36.0	37.0	38.0	38.0	39.0
R1	160	8608	12.0	24.0	35.0	37.0	38.0	38.0	38.0
R1	161	8608	13.0	26.0	37.0	37.0	38.0	38.0	39.0
R1	162	8608	14.0	33.0	37.0	37.0	38.0	38.0	39.0
R1	163	8608	15.0	36.0	37.0	37.0	38.0	38.0	39.0
R1	164	8608	14.0	33.0	37.0	37.0	38.0	38.0	39.0
R1	165	8608	14.0	15.0	37.0	37.0	38.0	38.0	39.0
R1	166	8608	14.0	25.0	37.0	37.0	38.0	38.0	39.0
R1	167	8608	13.0	24.0	35.0	37.0	38.0	38.0	38.0
R1	168	8608	13.0	26.0	35.0	37.0	38.0	38.0	38.0
R1	169	8608	13.0	24.0	35.0	37.0	38.0	38.0	38.0
R1	170	8608	12.0	24.0	34.0	37.0	38.0	38.0	38.0
R1	171	8608	13.0	26.0	36.0	37.0	38.0	38.0	38.0
R1	172	8608	14.0	24.0	37.0	37.0	38.0	38.0	38.0
R1	173	8608	14.0	24.0	37.0	37.0	37.0	38.0	38.0
R1	174	8608	14.0	24.0	37.0	37.0	37.0	38.0	39.0
R1	175	8608	14.0	14.0	34.0	37.0	37.0	38.0	38.0
R1	176	8608	13.0	14.0	33.0	37.0	37.0	38.0	38.0
R1	177	8608	13.0	24.0	33.0	37.0	37.0	38.0	38.0
R1	178	8608	12.0	24.0	35.0	37.0	37.0	38.0	38.0
R1	179	8608	12.0	15.0	33.0	37.0	37.0	38.0	38.0
R1	180	8608	12.0	24.0	34.0	37.0	37.0	38.0	38.0
R1	181	8608	13.0	31.0	35.0	37.0	37.0	38.0	38.0
R1	182	8608	12.0	13.0	35.0	37.0	37.0	38.0	38.0
R1	183	8608	13.0	25.0	36.0	37.0	37.0	38.0	38.0
R1	184	8608	13.0	14.0	36.0	37.0	37.0	38.0	38.0
R1	185	8608	13.0	24.0	37.0	37.0	37.0	38.0	38.0
R1	186	8608	13.0	24.0	37.0	37.0	37.0	38.0	38.0
R1	187	8608	13.0	32.0	37.0	37.0	37.0	38.0	38.0
R1	188	8608	12.0	14.0	35.0	37.0	37.0	37.0	38.0
R1	189	8608	12.0	13.0	33.0	37.0	37.0	37.0	38.0
R1	190	8608	12.0	24.0	33.0	37.0	37.0	37.0	38.0
R1	191	8608	12.0	15.0	34.0	37.0	37.0	37.0	38.0
R1	192	8608	13.0	30.0	37.0	37.0	37.0	37.0	38.0
R1	193	8608	12.0	24.0	37.0	37.0	37.0	37.0	38.0
