sample_id	direction	read_pairs	length_min	length_median	length_max	expected_errors_median	expected_errors_p95
1	R1	1810	38	230.0	232	0.4057	3.4359
1	R2	1810	37	229.0	231	0.5011	2.93
1a	R1	2219	21	230.0	232	0.1066	2.8017
1a	R2	2219	20	229.0	231	0.0849	2.2865
2	R1	2347	227	230.0	232	0.2896	3.006
2	R2	2347	227	229.0	231	0.4097	2.7557
2a	R1	2238	87	230.0	232	0.0905	2.8998
2a	R2	2238	86	229.0	231	0.0782	2.1943
