Read	Cycle	Q10	MedianQ	Q90	Q30Fraction
Forward	1	29	32	34	0.89
Forward	2	30	33	34	0.917
Forward	3	32	33	34	0.92
Forward	4	29.3666666666667	33	34	0.9
Forward	5	29	32	34	0.859
Forward	6	29	33	37	0.8835
Forward	7	30	34	37	0.9065
Forward	8	18	32	35	0.835
Forward	9	18	33	37	0.844
Forward	10	29	33	37	0.858
Forward	11	29	33	37	0.8935
Forward	12	31	33	37	0.9205
Forward	13	30	38	38	0.902
Forward	14	32	38	38	0.9405
Forward	15	32	38	38	0.938
Forward	16	33	37	38	0.9635
Forward	17	32	36	38	0.9515
Forward	18	32	36	38	0.9565
Forward	19	34	37	38	0.973
Forward	20	30	37	38	0.9105
Forward	21	32	38	38	0.9475
Forward	22	33	38	38	0.9525
Forward	23	37	39	39	0.9825
Forward	24	32	38	38	0.9375
Forward	25	33	38	38	0.9665
Forward	26	29.3666666666667	36	38	0.9
Forward	27	30	37	38	0.9035
Forward	28	34	38	38	0.9635
Forward	29	34	39	39	0.939
Forward	30	33	38	39	0.949
Forward	31	35	39	39	0.9465
Forward	32	37	39	39	0.985
Forward	33	35	39	39	0.9665
Forward	34	34	38	39	0.967
Forward	35	34	38	39	0.9715
Forward	36	34	39	39	0.9635
Forward	37	33	38	38	0.9565
Forward	38	32	37	38	0.939
Forward	39	32	38	38	0.953
Forward	40	33	38	39	0.957
Forward	41	34	39	39	0.9545
Forward	42	34	38	39	0.9585
Forward	43	32	38	39	0.9155
Forward	44	32	38	39	0.9545
Forward	45	32	38	39	0.924
Forward	46	32	38	39	0.924
Forward	47	32	38	39	0.9265
Forward	48	32	38	38	0.942
Forward	49	30.3666666666667	37	39	0.917
Forward	50	32	38	39	0.937
Forward	51	36	38	39	0.9645
Forward	52	30	37	38	0.916
Forward	53	33	38	39	0.953
Forward	54	32	37	38	0.9345
Forward	55	33.3666666666667	38	38	0.9515
Forward	56	29	37	38	0.8595
Forward	57	29	38	39	0.8705
Forward	58	29	38	39	0.8885
Forward	59	30	38	39	0.908
Forward	60	30	38	39	0.9065
Forward	61	30	38	39	0.903
Forward	62	30	38	39	0.907
Forward	63	31	38	39	0.9165
Forward	64	33	38	39	0.928
Forward	65	32	38	39	0.9205
Forward	66	33	38	39	0.9325
Forward	67	29	38	39	0.898
Forward	68	30	38	39	0.915
Forward	69	19.3666666666667	38	39	0.885
Forward	70	30	38	39	0.905
Forward	71	30	38	39	0.9155
Forward	72	27	37	39	0.8815
Forward	73	30	38	39	0.9055
Forward	74	30	38	39	0.9025
Forward	75	33	38	39	0.942
Forward	76	33	38	39	0.9365
Forward	77	33	39	39	0.918
Forward	78	34	39	39	0.9495
Forward	79	33	39	39	0.9435
Forward	80	33	39	39	0.9335
Forward	81	30	38	39	0.9035
Forward	82	30	38	39	0.9065
Forward	83	30	38	39	0.9015
Forward	84	30	38	39	0.93
Forward	85	29	36	38	0.8585
Forward	86	15	34	38	0.8055
Forward	87	29	37	39	0.892
Forward	88	30	37	39	0.9245
Forward	89	33	38	39	0.929
Forward	90	35	39	39	0.9615
Forward	91	33	39	39	0.9285
Forward	92	29	38	39	0.892
Forward	93	27	38	39	0.8855
Forward	94	29	38	39	0.893
Forward	95	27	38	39	0.8785
Forward	96	15	37	39	0.8205
Forward	97	27	38	39	0.8785
Forward	98	18	38	39	0.873
Forward	99	27	38	39	0.8765
Forward	100	27	38	39	0.877
Forward	101	30	38	39	0.923
Forward	102	24	38	39	0.871
Forward	103	26	38	39	0.874
Forward	104	27	38	39	0.8805
Forward	105	26	38	39	0.8805
Forward	106	29	38	39	0.8995
Forward	107	28	38	39	0.892
Forward	108	16	38	39	0.8295
Forward	109	27	38	39	0.8675
Forward	110	31	38	39	0.9215
Forward	111	30	38	39	0.9015
Forward	112	29	38	39	0.897
Forward	113	27	38	39	0.8835
Forward	114	25.3666666666667	38	39	0.8705
Forward	115	26	38	39	0.86
Forward	116	26	38	39	0.8725
Forward	117	24	38	39	0.864
Forward	118	29	38	39	0.8995
Forward	119	32	38	39	0.924
Forward	120	27	38	39	0.8825
Forward	121	27	38	39	0.883
Forward	122	16	38	39	0.8285
Forward	123	16.3666666666667	38	39	0.8435
Forward	124	25.3666666666667	38	39	0.8465
Forward	125	18.3666666666667	38	39	0.84
Forward	126	24.3666666666667	38	39	0.858
Forward	127	24	38	39	0.855
Forward	128	17	37	39	0.8495
Forward	129	15	37	39	0.818
Forward	130	15	37	39	0.802
Forward	131	18	37	39	0.8135
Forward	132	13	37	39	0.775
Forward	133	26	37	39	0.853
Forward	134	14	35	38	0.8035
Forward	135	13	37	39	0.7785
Forward	136	14	37	39	0.808
Forward	137	15	37	39	0.8265
Forward	138	24	37	39	0.8285
Forward	139	16	37	39	0.8105
Forward	140	24	37	39	0.828
Forward	141	25	37	39	0.8635
Forward	142	14	34	39	0.7155
Forward	143	15	37	39	0.772
Forward	144	15	37	39	0.817
Forward	145	25	38	39	0.8645
Forward	146	24	38	39	0.858
Forward	147	26	38	39	0.8835
Forward	148	15	38	39	0.8385
Forward	149	15	37	39	0.825
Forward	150	16	37	39	0.818
Forward	151	13	32	38	0.5435
Reverse	1	16	32	32	0.5545
Reverse	2	16	32	33	0.714
Reverse	3	16	32	33	0.656
Reverse	4	16	30	32	0.532
Reverse	5	16	32	33	0.535
Reverse	6	16	35	37	0.7955
Reverse	7	18	35	37	0.768
Reverse	8	16	32	37	0.616
Reverse	9	16	35	37	0.7915
Reverse	10	18	33	37	0.779
Reverse	11	16	35	37	0.8075
Reverse	12	16	34	37	0.847
Reverse	13	17	37.5	38	0.891
Reverse	14	16	37	38	0.871
Reverse	15	16	37	38	0.7875
Reverse	16	16	36	38	0.873
Reverse	17	16	36	38	0.806
Reverse	18	17	34	37	0.876
Reverse	19	15	33	38	0.7015
Reverse	20	15	32	37	0.7875
Reverse	21	15	32	37	0.733
Reverse	22	18	37	38	0.892
Reverse	23	15	33	37	0.7155
Reverse	24	15	36	38	0.7975
Reverse	25	15	36	38	0.8225
Reverse	26	15	36	38	0.8215
Reverse	27	15	36	38	0.873
Reverse	28	16	37	39	0.8375
Reverse	29	16	37	39	0.864
Reverse	30	18	37	39	0.893
Reverse	31	16	37	39	0.8525
Reverse	32	16	37	39	0.8625
Reverse	33	15	34	38	0.737
Reverse	34	15	36	38	0.8575
Reverse	35	15	36	38	0.851
Reverse	36	14	36	38	0.7645
Reverse	37	14	33	38	0.7295
Reverse	38	16	35	38	0.801
Reverse	39	17	36	39	0.783
Reverse	40	16	37	39	0.796
Reverse	41	16	37	39	0.7685
Reverse	42	16	36	39	0.7915
Reverse	43	15	36	39	0.747
Reverse	44	14	36	39	0.75
Reverse	45	32	37	39	0.941
Reverse	46	32	37	39	0.9195
Reverse	47	15	37	39	0.778
Reverse	48	16	37	39	0.855
Reverse	49	15	37	39	0.7735
Reverse	50	14	37	39	0.772
Reverse	51	15	36	39	0.722
Reverse	52	16	37	39	0.832
Reverse	53	17	37	39	0.8715
Reverse	54	15	36	39	0.797
Reverse	55	14	36	38	0.7505
Reverse	56	32	36	38	0.9245
Reverse	57	32	37	39	0.9275
Reverse	58	16	37	39	0.8575
Reverse	59	14	35	38	0.693
Reverse	60	33	37	39	0.9435
Reverse	61	14	36	39	0.7975
Reverse	62	32	36	38	0.9295
Reverse	63	14	36	38	0.8335
Reverse	64	14	36	38	0.7855
Reverse	65	14	36	38	0.7755
Reverse	66	16	37	39	0.784
Reverse	67	16	36	38	0.789
Reverse	68	15	36	38	0.744
Reverse	69	16	36	38	0.789
Reverse	70	15	36	39	0.7625
Reverse	71	14	36	39	0.725
Reverse	72	30	36	38	0.9015
Reverse	73	31	37	39	0.9255
Reverse	74	17	38	39	0.847
Reverse	75	17	38	39	0.8495
Reverse	76	17	38	39	0.8735
Reverse	77	16	38	39	0.8455
Reverse	78	15	37	39	0.767
Reverse	79	14	36	39	0.725
Reverse	80	16	36	39	0.774
Reverse	81	16	37	39	0.8015
Reverse	82	16	36.5	39	0.766
Reverse	83	17	37	39	0.806
Reverse	84	31	38	39	0.905
Reverse	85	17	37	39	0.7975
Reverse	86	17	37	39	0.7495
Reverse	87	17	37	39	0.854
Reverse	88	14	36	38	0.754
Reverse	89	14	36	38	0.735
Reverse	90	14	34	38	0.6815
Reverse	91	14	36	38	0.796
Reverse	92	14	36	38	0.8045
Reverse	93	17	37	39	0.7565
Reverse	94	17	37	39	0.821
Reverse	95	17	37	39	0.7585
Reverse	96	27	38	39	0.8785
Reverse	97	19	38	39	0.873
Reverse	98	14	36	38	0.802
Reverse	99	16	36	38	0.8155
Reverse	100	14	36	38	0.7705
Reverse	101	14	31	38	0.5825
Reverse	102	19	33	38	0.679
Reverse	103	16	30	37	0.5125
Reverse	104	29	33	38	0.884
Reverse	105	15	34	38	0.6695
Reverse	106	14	33	38	0.643
Reverse	107	14	32	38	0.588
Reverse	108	14	34	38	0.686
Reverse	109	14	29	38	0.4965
Reverse	110	14	33	38	0.599
Reverse	111	15	34	38	0.71
Reverse	112	16	37	39	0.772
Reverse	113	16	35.5	38	0.7275
Reverse	114	16	37	39	0.743
Reverse	115	15	33	38	0.5905
Reverse	116	16	34	38	0.6955
Reverse	117	15	34	39	0.697
Reverse	118	15	34	39	0.723
Reverse	119	14	35	39	0.695
Reverse	120	27	37	39	0.8195
Reverse	121	27	37	39	0.841
Reverse	122	15	37	39	0.7365
Reverse	123	16	37	39	0.811
Reverse	124	16	36	39	0.7195
Reverse	125	15	37	39	0.718
Reverse	126	16	37	39	0.766
Reverse	127	16	37	39	0.723
Reverse	128	14	34	39	0.653
Reverse	129	14	33	38	0.5865
Reverse	130	14	32	38	0.6175
Reverse	131	16	34	39	0.73
Reverse	132	14	35	39	0.6815
Reverse	133	27	37	39	0.843
Reverse	134	15	37	39	0.695
Reverse	135	15	33	39	0.568
Reverse	136	15	31.5	39	0.544
Reverse	137	15	29	38	0.4975
Reverse	138	15	34	39	0.6245
Reverse	139	15	34	39	0.615
Reverse	140	14	33	39	0.6045
Reverse	141	13	31	39	0.554
Reverse	142	15	31	38	0.5725
Reverse	143	12	25	38	0.335
Reverse	144	13	27	34	0.271
Reverse	145	14	27	37	0.3735
Reverse	146	13	27	36.6333333333334	0.2945
Reverse	147	14.3666666666667	27	37	0.336
Reverse	148	16	31	38	0.574
Reverse	149	14	29	38	0.486
Reverse	150	13	29	38	0.494
Reverse	151	13	27	38	0.361
