Group	EdgeKey	SelectionFrequency
CW	Genus:Thiobacillus || Genus:Terrimonas	0.002
CW	Genus:Variibacter || Genus:Acidovorax	0.118
CW	Genus:Variibacter || Genus:Exiguobacterium	0.006
CW	Genus:Variibacter || Genus:Haliangium	0.318
CW	Genus:Variibacter || Genus:Lysobacter	0.01
CW	Genus:Variibacter || Genus:Nitrospira	0.21
CW	Genus:Variibacter || Genus:Paenisporosarcina	0.002
CW	Genus:Variibacter || Genus:Robiginitalea	0.1
CW	Genus:Variibacter || Genus:Terrimonas	0.114
IW	Genus:Acidovorax || Genus:Algoriphagus	0.004
IW	Genus:Acidovorax || Genus:Altererythrobacter	0.01
IW	Genus:Acidovorax || Genus:Arenimonas	0.022
IW	Genus:Acidovorax || Genus:Erythrobacter	0.01
IW	Genus:Acidovorax || Genus:Exiguobacterium	0.006
IW	Genus:Acidovorax || Genus:Fusibacter	0.23
IW	Genus:Acidovorax || Genus:Haliangium	0.256
IW	Genus:Acidovorax || Genus:Lysobacter	0.042
IW	Genus:Acidovorax || Genus:Nitrospira	0.026
IW	Genus:Acidovorax || Genus:Paenisporosarcina	0.002
IW	Genus:Acidovorax || Genus:Robiginitalea	0.198
IW	Genus:Acidovorax || Genus:Terrimonas	0.006
IW	Genus:Algoriphagus || Genus:Fusibacter	0.008
IW	Genus:Algoriphagus || Genus:Massilia	0.014
IW	Genus:Algoriphagus || Genus:Terrimonas	0.002
IW	Genus:Altererythrobacter || Genus:Massilia	0.008
IW	Genus:Anaerolinea || Genus:Arenimonas	0.002
IW	Genus:Anaerolinea || Genus:Bryobacter	0.002
IW	Genus:Anaerolinea || Genus:Exiguobacterium	0.002
IW	Genus:Anaerolinea || Genus:Fusibacter	0.008
IW	Genus:Anaerolinea || Genus:Gaiella	0.01
IW	Genus:Anaerolinea || Genus:Gemmatimonas	0.924
IW	Genus:Anaerolinea || Genus:Gillisia	0.05
IW	Genus:Anaerolinea || Genus:Illumatobacter	0.006
IW	Genus:Anaerolinea || Genus:Marinicella	0.002
IW	Genus:Anaerolinea || Genus:Massilia	0.002
IW	Genus:Anaerolinea || Genus:Nitrospira	0.06
IW	Genus:Anaerolinea || Genus:Paenisporosarcina	0.032
IW	Genus:Anaerolinea || Genus:Pirellula	0.3
IW	Genus:Anaerolinea || Genus:Planctomyces	0.022
IW	Genus:Anaerolinea || Genus:Planomicrobium	0.004
IW	Genus:Anaerolinea || Genus:Pseudomonas	0.002
IW	Genus:Anaerolinea || Genus:Robiginitalea	0.004
IW	Genus:Anaerolinea || Genus:Sulfurovum	0.972
IW	Genus:Arenimonas || Genus:Exiguobacterium	0.008
IW	Genus:Arenimonas || Genus:Massilia	0.018
IW	Genus:Arenimonas || Genus:Terrimonas	0.002
IW	Genus:Arthrobacter || Genus:Algoriphagus	0.018
IW	Genus:Arthrobacter || Genus:Blastocatella	0.016
IW	Genus:Arthrobacter || Genus:Erythrobacter	0.078
IW	Genus:Arthrobacter || Genus:Exiguobacterium	0.012
IW	Genus:Arthrobacter || Genus:Ferruginibacter	0.004
IW	Genus:Arthrobacter || Genus:Gemmatimonas	0.002
IW	Genus:Arthrobacter || Genus:Geobacter	0.024
IW	Genus:Arthrobacter || Genus:Gillisia	0.002
IW	Genus:Arthrobacter || Genus:Haliangium	0.016
IW	Genus:Arthrobacter || Genus:Illumatobacter	0.002
IW	Genus:Arthrobacter || Genus:Marinicella	0.004
IW	Genus:Arthrobacter || Genus:Massilia	0.008
IW	Genus:Arthrobacter || Genus:Planctomyces	0.012
IW	Genus:Arthrobacter || Genus:Planomicrobium	0.002
IW	Genus:Arthrobacter || Genus:Pseudolabrys	0.006
IW	Genus:Arthrobacter || Genus:Pseudomonas	0.006
IW	Genus:Arthrobacter || Genus:Robiginitalea	0.002
IW	Genus:Arthrobacter || Genus:Sulfurovum	0.002
IW	Genus:Arthrobacter || Genus:Terrimonas	0.006
IW	Genus:Arthrobacter || Genus:Variibacter	0.112
IW	Genus:Bacillus || Genus:Algoriphagus	0.086
IW	Genus:Bacillus || Genus:Altererythrobacter	0.024
IW	Genus:Bacillus || Genus:Anaerolinea	0.488
IW	Genus:Bacillus || Genus:Arenimonas	0.008
IW	Genus:Bacillus || Genus:Arthrobacter	0.002
IW	Genus:Bacillus || Genus:Blastocatella	0.134
IW	Genus:Bacillus || Genus:Bryobacter	0.008
IW	Genus:Bacillus || Genus:Candidatus Solibacter	0.004
IW	Genus:Bacillus || Genus:Desulfobulbus	0.046
IW	Genus:Bacillus || Genus:Erythrobacter	0.142
IW	Genus:Bacillus || Genus:Ferruginibacter	0.002
IW	Genus:Bacillus || Genus:Fusibacter	0.022
IW	Genus:Bacillus || Genus:Gaiella	0.048
IW	Genus:Bacillus || Genus:Geobacter	0.056
IW	Genus:Bacillus || Genus:Haliangium	0.964
IW	Genus:Bacillus || Genus:Lysobacter	0.002
IW	Genus:Bacillus || Genus:Marinicella	0.368
IW	Genus:Bacillus || Genus:Massilia	0.474
IW	Genus:Bacillus || Genus:Nitrospira	0.002
IW	Genus:Bacillus || Genus:Pedobacter	0.496
IW	Genus:Bacillus || Genus:Pirellula	0.002
IW	Genus:Bacillus || Genus:Planctomyces	0.002
IW	Genus:Bacillus || Genus:Pseudolabrys	0.002
IW	Genus:Bacillus || Genus:Robiginitalea	0.004
IW	Genus:Bacillus || Genus:Terrimonas	0.014
IW	Genus:Blastocatella || Genus:Acidovorax	0.002
IW	Genus:Blastocatella || Genus:Altererythrobacter	0.002
IW	Genus:Blastocatella || Genus:Desulfobulbus	0.008
IW	Genus:Blastocatella || Genus:Exiguobacterium	0.174
IW	Genus:Blastocatella || Genus:Ferruginibacter	0.038
IW	Genus:Blastocatella || Genus:Fusibacter	0.204
IW	Genus:Blastocatella || Genus:Gemmatimonas	0.044
IW	Genus:Blastocatella || Genus:Gillisia	0.004
IW	Genus:Blastocatella || Genus:Massilia	1
IW	Genus:Blastocatella || Genus:Nitrospira	0.018
IW	Genus:Blastocatella || Genus:Paenisporosarcina	0.006
IW	Genus:Blastocatella || Genus:Pirellula	0.004
IW	Genus:Blastocatella || Genus:Planctomyces	0.01
IW	Genus:Blastocatella || Genus:Pseudolabrys	0.05
IW	Genus:Blastocatella || Genus:Pseudomonas	0.012
IW	Genus:Blastocatella || Genus:Robiginitalea	0.204
IW	Genus:Blastocatella || Genus:Sulfurovum	0.044
IW	Genus:Blastocatella || Genus:Terrimonas	0.014
IW	Genus:Blastocatella || Genus:Variibacter	0.002
IW	Genus:Bryobacter || Genus:Altererythrobacter	0.054
IW	Genus:Bryobacter || Genus:Erythrobacter	0.048
IW	Genus:Bryobacter || Genus:Exiguobacterium	0.004
IW	Genus:Bryobacter || Genus:Ferruginibacter	0.002
IW	Genus:Bryobacter || Genus:Gemmatimonas	0.006
IW	Genus:Bryobacter || Genus:Geobacter	0.002
IW	Genus:Bryobacter || Genus:Haliangium	0.154
IW	Genus:Bryobacter || Genus:Lysobacter	0.004
IW	Genus:Bryobacter || Genus:Marinicella	0.004
IW	Genus:Bryobacter || Genus:Massilia	0.006
IW	Genus:Bryobacter || Genus:Pedobacter	0.008
IW	Genus:Bryobacter || Genus:Planomicrobium	0.014
IW	Genus:Bryobacter || Genus:Pseudomonas	0.002
IW	Genus:Bryobacter || Genus:Robiginitalea	0.15
IW	Genus:Bryobacter || Genus:Sulfurovum	0.002
IW	Genus:Bryobacter || Genus:Terrimonas	0.002
IW	Genus:Bryobacter || Genus:Variibacter	0.002
IW	Genus:Candidatus Solibacter || Genus:Acidovorax	0.02
IW	Genus:Candidatus Solibacter || Genus:Algoriphagus	0.002
IW	Genus:Candidatus Solibacter || Genus:Altererythrobacter	0.004
IW	Genus:Candidatus Solibacter || Genus:Anaerolinea	0.002
IW	Genus:Candidatus Solibacter || Genus:Arthrobacter	0.054
IW	Genus:Candidatus Solibacter || Genus:Blastocatella	0.052
IW	Genus:Candidatus Solibacter || Genus:Desulfobulbus	0.024
IW	Genus:Candidatus Solibacter || Genus:Ferruginibacter	0.002
IW	Genus:Candidatus Solibacter || Genus:Flavobacterium	0.002
IW	Genus:Candidatus Solibacter || Genus:Fusibacter	0.006
IW	Genus:Candidatus Solibacter || Genus:Gemmatimonas	0.008
IW	Genus:Candidatus Solibacter || Genus:Gillisia	0.01
IW	Genus:Candidatus Solibacter || Genus:Illumatobacter	0.01
IW	Genus:Candidatus Solibacter || Genus:Pirellula	0.274
IW	Genus:Candidatus Solibacter || Genus:Planomicrobium	0.034
IW	Genus:Candidatus Solibacter || Genus:Pseudolabrys	0.012
IW	Genus:Candidatus Solibacter || Genus:Pseudomonas	0.024
IW	Genus:Candidatus Solibacter || Genus:Sulfurovum	0.008
IW	Genus:Candidatus Solibacter || Genus:Variibacter	0.042
IW	Genus:Clostridium sensu stricto 13 || Genus:Anaerolinea	0.008
IW	Genus:Clostridium sensu stricto 13 || Genus:Arenimonas	0.002
IW	Genus:Clostridium sensu stricto 13 || Genus:Bacillus	0.03
IW	Genus:Clostridium sensu stricto 13 || Genus:Exiguobacterium	0.002
IW	Genus:Clostridium sensu stricto 13 || Genus:Ferruginibacter	0.052
IW	Genus:Clostridium sensu stricto 13 || Genus:Flavobacterium	0.004
IW	Genus:Clostridium sensu stricto 13 || Genus:Gaiella	0.218
IW	Genus:Clostridium sensu stricto 13 || Genus:Gillisia	0.968
IW	Genus:Clostridium sensu stricto 13 || Genus:Illumatobacter	0.002
IW	Genus:Clostridium sensu stricto 13 || Genus:Lysobacter	0.002
IW	Genus:Clostridium sensu stricto 13 || Genus:Massilia	0.002
IW	Genus:Clostridium sensu stricto 13 || Genus:Paenisporosarcina	0.01
IW	Genus:Clostridium sensu stricto 13 || Genus:Pirellula	0.078
IW	Genus:Clostridium sensu stricto 13 || Genus:Planctomyces	0.002
IW	Genus:Clostridium sensu stricto 13 || Genus:Planomicrobium	0.064
IW	Genus:Clostridium sensu stricto 13 || Genus:Pseudolabrys	0.012
IW	Genus:Clostridium sensu stricto 13 || Genus:Pseudomonas	0.004
IW	Genus:Clostridium sensu stricto 13 || Genus:Thiobacillus	0.002
IW	Genus:Desulfobulbus || Genus:Acidovorax	0.484
IW	Genus:Desulfobulbus || Genus:Altererythrobacter	0.002
IW	Genus:Desulfobulbus || Genus:Arenimonas	0.024
IW	Genus:Desulfobulbus || Genus:Erythrobacter	0.01
IW	Genus:Desulfobulbus || Genus:Exiguobacterium	0.498
IW	Genus:Desulfobulbus || Genus:Fusibacter	0.024
IW	Genus:Desulfobulbus || Genus:Geobacter	0.016
IW	Genus:Desulfobulbus || Genus:Lysobacter	0.006
IW	Genus:Desulfobulbus || Genus:Massilia	0.01
IW	Genus:Desulfobulbus || Genus:Pseudolabrys	0.226
IW	Genus:Desulfobulbus || Genus:Robiginitalea	0.758
IW	Genus:Desulfobulbus || Genus:Terrimonas	0.2
IW	Genus:Desulfobulbus || Genus:Variibacter	0.004
IW	Genus:Erythrobacter || Genus:Altererythrobacter	0.096
IW	Genus:Erythrobacter || Genus:Arenimonas	0.068
IW	Genus:Erythrobacter || Genus:Exiguobacterium	0.126
IW	Genus:Erythrobacter || Genus:Fusibacter	0.01
IW	Genus:Erythrobacter || Genus:Geobacter	0.012
IW	Genus:Erythrobacter || Genus:Haliangium	0.324
IW	Genus:Erythrobacter || Genus:Lysobacter	0.024
IW	Genus:Erythrobacter || Genus:Nitrospira	0.032
IW	Genus:Erythrobacter || Genus:Paenisporosarcina	0.096
IW	Genus:Erythrobacter || Genus:Robiginitalea	0.014
IW	Genus:Ferruginibacter || Genus:Acidovorax	0.01
IW	Genus:Ferruginibacter || Genus:Algoriphagus	0.1
IW	Genus:Ferruginibacter || Genus:Altererythrobacter	0.058
IW	Genus:Ferruginibacter || Genus:Fusibacter	0.002
IW	Genus:Ferruginibacter || Genus:Haliangium	0.042
IW	Genus:Ferruginibacter || Genus:Lysobacter	0.002
IW	Genus:Ferruginibacter || Genus:Massilia	0.042
IW	Genus:Ferruginibacter || Genus:Paenisporosarcina	0.002
IW	Genus:Ferruginibacter || Genus:Robiginitalea	0.02
IW	Genus:Ferruginibacter || Genus:Terrimonas	0.004
IW	Genus:Ferruginibacter || Genus:Variibacter	0.004
IW	Genus:Flavobacterium || Genus:Anaerolinea	0.002
IW	Genus:Flavobacterium || Genus:Bryobacter	0.018
IW	Genus:Flavobacterium || Genus:Desulfobulbus	0.002
IW	Genus:Flavobacterium || Genus:Ferruginibacter	0.012
IW	Genus:Flavobacterium || Genus:Gemmatimonas	0.014
IW	Genus:Flavobacterium || Genus:Geobacter	0.1
IW	Genus:Flavobacterium || Genus:Gillisia	0.002
IW	Genus:Flavobacterium || Genus:Haliangium	0.006
IW	Genus:Flavobacterium || Genus:Marinicella	0.006
IW	Genus:Flavobacterium || Genus:Massilia	0.006
IW	Genus:Flavobacterium || Genus:Planomicrobium	0.034
IW	Genus:Flavobacterium || Genus:Robiginitalea	0.148
IW	Genus:Flavobacterium || Genus:Sulfurovum	0.034
IW	Genus:Fusibacter || Genus:Exiguobacterium	0.006
IW	Genus:Gaiella || Genus:Acidovorax	0.128
IW	Genus:Gaiella || Genus:Erythrobacter	0.002
IW	Genus:Gaiella || Genus:Ferruginibacter	0.002
IW	Genus:Gaiella || Genus:Fusibacter	0.002
IW	Genus:Gaiella || Genus:Gemmatimonas	0.102
IW	Genus:Gaiella || Genus:Geobacter	0.246
IW	Genus:Gaiella || Genus:Haliangium	0.004
IW	Genus:Gaiella || Genus:Lysobacter	0.004
IW	Genus:Gaiella || Genus:Nitrospira	0.078
IW	Genus:Gaiella || Genus:Paenisporosarcina	0.016
IW	Genus:Gaiella || Genus:Pirellula	0.006
IW	Genus:Gaiella || Genus:Planctomyces	0.01
IW	Genus:Gaiella || Genus:Pseudolabrys	0.032
IW	Genus:Gaiella || Genus:Pseudomonas	0.006
IW	Genus:Gaiella || Genus:Terrimonas	0.002
IW	Genus:Gemmatimonas || Genus:Algoriphagus	0.192
IW	Genus:Gemmatimonas || Genus:Altererythrobacter	0.038
IW	Genus:Gemmatimonas || Genus:Desulfobulbus	0.002
IW	Genus:Gemmatimonas || Genus:Erythrobacter	0.012
IW	Genus:Gemmatimonas || Genus:Ferruginibacter	0.002
IW	Genus:Gemmatimonas || Genus:Geobacter	0.052
IW	Genus:Gemmatimonas || Genus:Haliangium	0.008
IW	Genus:Gemmatimonas || Genus:Massilia	0.056
IW	Genus:Gemmatimonas || Genus:Pedobacter	0.016
IW	Genus:Gemmatimonas || Genus:Planctomyces	0.052
IW	Genus:Gemmatimonas || Genus:Pseudolabrys	0.032
IW	Genus:Gemmatimonas || Genus:Robiginitalea	0.09
IW	Genus:Gemmatimonas || Genus:Variibacter	0.002
IW	Genus:Geobacter || Genus:Exiguobacterium	0.002
IW	Genus:Geobacter || Genus:Robiginitalea	0.022
IW	Genus:Gillisia || Genus:Acidovorax	0.05
IW	Genus:Gillisia || Genus:Algoriphagus	0.024
IW	Genus:Gillisia || Genus:Arenimonas	0.002
IW	Genus:Gillisia || Genus:Desulfobulbus	0.01
IW	Genus:Gillisia || Genus:Ferruginibacter	0.018
IW	Genus:Gillisia || Genus:Gaiella	0.004
IW	Genus:Gillisia || Genus:Gemmatimonas	0.064
IW	Genus:Gillisia || Genus:Haliangium	0.016
IW	Genus:Gillisia || Genus:Nitrospira	0.008
IW	Genus:Gillisia || Genus:Paenisporosarcina	0.01
IW	Genus:Gillisia || Genus:Pirellula	0.01
IW	Genus:Gillisia || Genus:Planctomyces	0.004
IW	Genus:Gillisia || Genus:Pseudomonas	0.044
IW	Genus:Gillisia || Genus:Robiginitalea	0.004
IW	Genus:Gillisia || Genus:Terrimonas	0.022
IW	Genus:Haliangium || Genus:Algoriphagus	0.004
IW	Genus:Haliangium || Genus:Altererythrobacter	0.002
IW	Genus:Haliangium || Genus:Geobacter	0.016
IW	Genus:Haliangium || Genus:Massilia	0.018
IW	Genus:Haliangium || Genus:Robiginitalea	0.132
IW	Genus:Illumatobacter || Genus:Acidovorax	0.002
IW	Genus:Illumatobacter || Genus:Algoriphagus	0.042
IW	Genus:Illumatobacter || Genus:Altererythrobacter	0.146
IW	Genus:Illumatobacter || Genus:Desulfobulbus	0.026
IW	Genus:Illumatobacter || Genus:Gaiella	0.004
IW	Genus:Illumatobacter || Genus:Geobacter	0.01
IW	Genus:Illumatobacter || Genus:Haliangium	0.002
IW	Genus:Illumatobacter || Genus:Lysobacter	0.19
IW	Genus:Illumatobacter || Genus:Massilia	0.008
IW	Genus:Illumatobacter || Genus:Nitrospira	0.006
IW	Genus:Illumatobacter || Genus:Paenisporosarcina	0.002
IW	Genus:Illumatobacter || Genus:Pirellula	0.132
IW	Genus:Illumatobacter || Genus:Planomicrobium	0.016
IW	Genus:Illumatobacter || Genus:Pseudolabrys	0.024
IW	Genus:Illumatobacter || Genus:Robiginitalea	0.028
IW	Genus:Illumatobacter || Genus:Terrimonas	0.056
IW	Genus:Illumatobacter || Genus:Variibacter	0.016
IW	Genus:Lysobacter || Genus:Algoriphagus	0.058
IW	Genus:Lysobacter || Genus:Haliangium	0.382
IW	Genus:Lysobacter || Genus:Massilia	0.048
IW	Genus:Marinicella || Genus:Acidovorax	0.002
IW	Genus:Marinicella || Genus:Altererythrobacter	0.458
IW	Genus:Marinicella || Genus:Arenimonas	0.074
IW	Genus:Marinicella || Genus:Desulfobulbus	0.016
IW	Genus:Marinicella || Genus:Erythrobacter	0.198
IW	Genus:Marinicella || Genus:Ferruginibacter	0.098
IW	Genus:Marinicella || Genus:Gaiella	0.002
IW	Genus:Marinicella || Genus:Gemmatimonas	0.382
IW	Genus:Marinicella || Genus:Geobacter	0.004
IW	Genus:Marinicella || Genus:Haliangium	0.072
IW	Genus:Marinicella || Genus:Lysobacter	0.584
IW	Genus:Marinicella || Genus:Paenisporosarcina	0.078
IW	Genus:Marinicella || Genus:Planctomyces	0.054
IW	Genus:Marinicella || Genus:Pseudomonas	0.004
IW	Genus:Marinicella || Genus:Robiginitalea	0.696
IW	Genus:Marinicella || Genus:Terrimonas	0.004
IW	Genus:Marinicella || Genus:Variibacter	0.002
IW	Genus:Massilia || Genus:Fusibacter	0.064
IW	Genus:Massilia || Genus:Terrimonas	0.03
IW	Genus:Nitrospira || Genus:Paenisporosarcina	0.098
IW	Genus:Nitrospira || Genus:Robiginitalea	0.062
IW	Genus:Paenisporosarcina || Genus:Algoriphagus	0.02
IW	Genus:Paenisporosarcina || Genus:Arenimonas	0.002
IW	Genus:Paenisporosarcina || Genus:Exiguobacterium	0.034
IW	Genus:Paenisporosarcina || Genus:Geobacter	0.374
IW	Genus:Paenisporosarcina || Genus:Haliangium	0.074
IW	Genus:Paenisporosarcina || Genus:Terrimonas	0.028
IW	Genus:Pedobacter || Genus:Acidovorax	0.006
IW	Genus:Pedobacter || Genus:Algoriphagus	0.186
IW	Genus:Pedobacter || Genus:Altererythrobacter	0.258
IW	Genus:Pedobacter || Genus:Arenimonas	0.002
IW	Genus:Pedobacter || Genus:Desulfobulbus	0.032
IW	Genus:Pedobacter || Genus:Erythrobacter	0.046
IW	Genus:Pedobacter || Genus:Exiguobacterium	0.002
IW	Genus:Pedobacter || Genus:Fusibacter	0.002
IW	Genus:Pedobacter || Genus:Geobacter	0.09
IW	Genus:Pedobacter || Genus:Haliangium	0.906
IW	Genus:Pedobacter || Genus:Lysobacter	0.042
IW	Genus:Pedobacter || Genus:Massilia	0.798
IW	Genus:Pedobacter || Genus:Nitrospira	0.056
IW	Genus:Pedobacter || Genus:Pseudolabrys	0.002
IW	Genus:Pedobacter || Genus:Robiginitalea	0.002
IW	Genus:Pedobacter || Genus:Variibacter	0.03
IW	Genus:Pirellula || Genus:Arenimonas	0.02
IW	Genus:Pirellula || Genus:Desulfobulbus	0.026
IW	Genus:Pirellula || Genus:Exiguobacterium	0.056
IW	Genus:Pirellula || Genus:Ferruginibacter	0.006
IW	Genus:Pirellula || Genus:Geobacter	0.12
IW	Genus:Pirellula || Genus:Robiginitalea	0.006
IW	Genus:Planctomyces || Genus:Algoriphagus	0.006
IW	Genus:Planctomyces || Genus:Altererythrobacter	0.008
IW	Genus:Planctomyces || Genus:Ferruginibacter	0.002
IW	Genus:Planctomyces || Genus:Fusibacter	0.002
IW	Genus:Planctomyces || Genus:Geobacter	0.038
IW	Genus:Planctomyces || Genus:Massilia	0.004
IW	Genus:Planctomyces || Genus:Nitrospira	0.012
IW	Genus:Planctomyces || Genus:Paenisporosarcina	0.012
IW	Genus:Planctomyces || Genus:Robiginitalea	0.026
IW	Genus:Planctomyces || Genus:Variibacter	0.066
IW	Genus:Planomicrobium || Genus:Algoriphagus	0.022
IW	Genus:Planomicrobium || Genus:Altererythrobacter	0.204
IW	Genus:Planomicrobium || Genus:Arenimonas	0.004
IW	Genus:Planomicrobium || Genus:Desulfobulbus	0.004
IW	Genus:Planomicrobium || Genus:Fusibacter	0.028
IW	Genus:Planomicrobium || Genus:Gaiella	0.006
IW	Genus:Planomicrobium || Genus:Haliangium	0.174
IW	Genus:Planomicrobium || Genus:Lysobacter	0.13
IW	Genus:Planomicrobium || Genus:Massilia	0.004
IW	Genus:Planomicrobium || Genus:Nitrospira	0.054
IW	Genus:Planomicrobium || Genus:Paenisporosarcina	0.002
IW	Genus:Planomicrobium || Genus:Pirellula	0.006
IW	Genus:Planomicrobium || Genus:Pseudolabrys	0.136
IW	Genus:Planomicrobium || Genus:Robiginitalea	0.004
IW	Genus:Planomicrobium || Genus:Terrimonas	0.022
IW	Genus:Pseudolabrys || Genus:Algoriphagus	0.014
IW	Genus:Pseudolabrys || Genus:Altererythrobacter	0.146
IW	Genus:Pseudolabrys || Genus:Arenimonas	0.158
IW	Genus:Pseudolabrys || Genus:Erythrobacter	0.022
IW	Genus:Pseudolabrys || Genus:Exiguobacterium	0.008
IW	Genus:Pseudolabrys || Genus:Fusibacter	0.012
IW	Genus:Pseudolabrys || Genus:Haliangium	0.04
IW	Genus:Pseudolabrys || Genus:Robiginitalea	0.002
IW	Genus:Pseudolabrys || Genus:Terrimonas	0.044
IW	Genus:Pseudomonas || Genus:Erythrobacter	0.01
IW	Genus:Pseudomonas || Genus:Exiguobacterium	0.03
IW	Genus:Pseudomonas || Genus:Ferruginibacter	0.002
IW	Genus:Pseudomonas || Genus:Gemmatimonas	0.018
IW	Genus:Pseudomonas || Genus:Geobacter	0.002
IW	Genus:Pseudomonas || Genus:Haliangium	0.002
IW	Genus:Pseudomonas || Genus:Lysobacter	0.004
IW	Genus:Pseudomonas || Genus:Massilia	0.008
IW	Genus:Pseudomonas || Genus:Nitrospira	0.012
IW	Genus:Pseudomonas || Genus:Pirellula	0.002
IW	Genus:Pseudomonas || Genus:Planctomyces	0.002
IW	Genus:Pseudomonas || Genus:Robiginitalea	0.004
IW	Genus:Pseudomonas || Genus:Terrimonas	0.002
IW	Genus:Pseudomonas || Genus:Variibacter	0.002
IW	Genus:Robiginitalea || Genus:Algoriphagus	0.012
IW	Genus:Robiginitalea || Genus:Altererythrobacter	0.04
IW	Genus:Robiginitalea || Genus:Arenimonas	0.1
IW	Genus:Robiginitalea || Genus:Exiguobacterium	0.006
IW	Genus:Robiginitalea || Genus:Fusibacter	0.096
IW	Genus:Robiginitalea || Genus:Terrimonas	0.008
IW	Genus:Sphingomonas || Genus:Algoriphagus	0.002
IW	Genus:Sphingomonas || Genus:Anaerolinea	0.032
IW	Genus:Sphingomonas || Genus:Arthrobacter	0.016
IW	Genus:Sphingomonas || Genus:Bacillus	0.002
IW	Genus:Sphingomonas || Genus:Blastocatella	0.088
IW	Genus:Sphingomonas || Genus:Bryobacter	0.002
IW	Genus:Sphingomonas || Genus:Clostridium sensu stricto 13	0.15
IW	Genus:Sphingomonas || Genus:Erythrobacter	0.166
IW	Genus:Sphingomonas || Genus:Exiguobacterium	0.002
IW	Genus:Sphingomonas || Genus:Fusibacter	0.004
IW	Genus:Sphingomonas || Genus:Gaiella	0.274
IW	Genus:Sphingomonas || Genus:Gillisia	0.624
IW	Genus:Sphingomonas || Genus:Marinicella	0.034
IW	Genus:Sphingomonas || Genus:Nitrospira	0.002
IW	Genus:Sphingomonas || Genus:Paenisporosarcina	0.016
IW	Genus:Sphingomonas || Genus:Pseudomonas	0.002
IW	Genus:Sphingomonas || Genus:Robiginitalea	0.004
IW	Genus:Sphingomonas || Genus:Sulfurovum	0.758
IW	Genus:Sphingomonas || Genus:Terrimonas	0.006
IW	Genus:Sphingomonas || Genus:Thiobacillus	0.008
IW	Genus:Sphingomonas || Genus:Variibacter	0.008
IW	Genus:Sulfurovum || Genus:Acidovorax	0.012
IW	Genus:Sulfurovum || Genus:Altererythrobacter	0.006
IW	Genus:Sulfurovum || Genus:Arenimonas	0.002
IW	Genus:Sulfurovum || Genus:Desulfobulbus	0.018
IW	Genus:Sulfurovum || Genus:Exiguobacterium	0.002
IW	Genus:Sulfurovum || Genus:Fusibacter	0.002
IW	Genus:Sulfurovum || Genus:Gaiella	0.052
IW	Genus:Sulfurovum || Genus:Gemmatimonas	0.008
IW	Genus:Sulfurovum || Genus:Geobacter	0.026
IW	Genus:Sulfurovum || Genus:Gillisia	0.688
IW	Genus:Sulfurovum || Genus:Lysobacter	0.056
IW	Genus:Sulfurovum || Genus:Marinicella	0.002
IW	Genus:Sulfurovum || Genus:Massilia	0.002
IW	Genus:Sulfurovum || Genus:Pedobacter	0.002
IW	Genus:Sulfurovum || Genus:Planctomyces	0.28
IW	Genus:Sulfurovum || Genus:Terrimonas	0.02
IW	Genus:Terrimonas || Genus:Exiguobacterium	0.118
IW	Genus:Thiobacillus || Genus:Altererythrobacter	0.002
IW	Genus:Thiobacillus || Genus:Anaerolinea	0.002
IW	Genus:Thiobacillus || Genus:Arenimonas	0.048
IW	Genus:Thiobacillus || Genus:Blastocatella	0.094
IW	Genus:Thiobacillus || Genus:Candidatus Solibacter	0.004
IW	Genus:Thiobacillus || Genus:Desulfobulbus	0.004
IW	Genus:Thiobacillus || Genus:Exiguobacterium	0.032
IW	Genus:Thiobacillus || Genus:Ferruginibacter	0.012
IW	Genus:Thiobacillus || Genus:Flavobacterium	0.004
IW	Genus:Thiobacillus || Genus:Gaiella	0.002
IW	Genus:Thiobacillus || Genus:Gemmatimonas	0.004
IW	Genus:Thiobacillus || Genus:Geobacter	0.002
IW	Genus:Thiobacillus || Genus:Gillisia	0.014
IW	Genus:Thiobacillus || Genus:Haliangium	0.008
IW	Genus:Thiobacillus || Genus:Illumatobacter	0.004
IW	Genus:Thiobacillus || Genus:Pedobacter	0.002
IW	Genus:Thiobacillus || Genus:Pirellula	0.132
IW	Genus:Thiobacillus || Genus:Planomicrobium	0.004
IW	Genus:Thiobacillus || Genus:Pseudomonas	0.03
IW	Genus:Thiobacillus || Genus:Robiginitalea	0.006
IW	Genus:Variibacter || Genus:Arenimonas	0.02
IW	Genus:Variibacter || Genus:Erythrobacter	0.002
IW	Genus:Variibacter || Genus:Exiguobacterium	0.002
IW	Genus:Variibacter || Genus:Massilia	0.054
IW	Genus:Variibacter || Genus:Nitrospira	0.03
IW	Genus:Variibacter || Genus:Paenisporosarcina	0.002
IW	Genus:Variibacter || Genus:Robiginitalea	0.002
IW	Genus:Variibacter || Genus:Terrimonas	0.006
TW	Genus:Acidovorax || Genus:Algoriphagus	0.168
TW	Genus:Acidovorax || Genus:Arenimonas	0.052
TW	Genus:Acidovorax || Genus:Erythrobacter	0.002
TW	Genus:Acidovorax || Genus:Fusibacter	0.014
TW	Genus:Acidovorax || Genus:Geobacter	0.008
TW	Genus:Acidovorax || Genus:Haliangium	0.108
TW	Genus:Acidovorax || Genus:Lysobacter	0.086
TW	Genus:Acidovorax || Genus:Massilia	0.048
TW	Genus:Acidovorax || Genus:Nitrospira	0.018
