Group	EdgeKey	SelectionFrequency
CW	Genus:Arthrobacter || Genus:Ferruginibacter	0.01
CW	Genus:Arthrobacter || Genus:Flavobacterium	0.012
CW	Genus:Arthrobacter || Genus:Gemmatimonas	0.004
CW	Genus:Arthrobacter || Genus:Geobacter	0.002
CW	Genus:Arthrobacter || Genus:Gillisia	0.746
CW	Genus:Arthrobacter || Genus:Haliangium	0.006
CW	Genus:Arthrobacter || Genus:Illumatobacter	0.392
CW	Genus:Arthrobacter || Genus:Lysobacter	0.002
CW	Genus:Arthrobacter || Genus:Marinicella	0.452
CW	Genus:Arthrobacter || Genus:Nitrospira	0.004
CW	Genus:Arthrobacter || Genus:Paenisporosarcina	0.006
CW	Genus:Arthrobacter || Genus:Pedobacter	0.056
CW	Genus:Arthrobacter || Genus:Planomicrobium	0.01
CW	Genus:Arthrobacter || Genus:Pseudolabrys	0.48
CW	Genus:Arthrobacter || Genus:Pseudomonas	0.002
CW	Genus:Arthrobacter || Genus:Robiginitalea	0.004
CW	Genus:Arthrobacter || Genus:Sulfurovum	0.054
CW	Genus:Arthrobacter || Genus:Variibacter	0.018
CW	Genus:Bacillus || Genus:Algoriphagus	0.48
CW	Genus:Bacillus || Genus:Altererythrobacter	0.012
CW	Genus:Bacillus || Genus:Anaerolinea	0.028
CW	Genus:Bacillus || Genus:Arenimonas	0.162
CW	Genus:Bacillus || Genus:Blastocatella	0.382
CW	Genus:Bacillus || Genus:Bryobacter	0.01
CW	Genus:Bacillus || Genus:Desulfobulbus	0.036
CW	Genus:Bacillus || Genus:Erythrobacter	0.418
CW	Genus:Bacillus || Genus:Exiguobacterium	0.314
CW	Genus:Bacillus || Genus:Ferruginibacter	0.002
CW	Genus:Bacillus || Genus:Gemmatimonas	0.222
CW	Genus:Bacillus || Genus:Gillisia	0.002
CW	Genus:Bacillus || Genus:Haliangium	0.004
CW	Genus:Bacillus || Genus:Illumatobacter	0.33
CW	Genus:Bacillus || Genus:Marinicella	0.05
CW	Genus:Bacillus || Genus:Massilia	0.002
CW	Genus:Bacillus || Genus:Nitrospira	0.004
CW	Genus:Bacillus || Genus:Pedobacter	0.006
