Method	InitialGiantNodes	RandomAUC	DegreeAttackAUC	BetweennessAttackAUC
SparCC	40	0.495	0.419375	0.379375
SPIEC-EASI	13	0.304733727810651	0.233727810650888	0.186390532544379
