Group	Phylum	MeanRelativeAbundance	SampleN
Inland wetland	Other	0.22925112728749755	30
Inland wetland	Chloroflexi	0.17560180417559512	30
Inland wetland	Proteobacteria	0.23380807835259423	30
Inland wetland	Acidobacteria	0.19261967335626284	30
Inland wetland	Actinobacteria	0.10352535550749131	30
Inland wetland	Bacteroidetes	0.06519396132055894	30
Coastal wetland	Other	0.2366218992875124	30
Coastal wetland	Chloroflexi	0.12366948115320059	30
Coastal wetland	Proteobacteria	0.37269758830053235	30
Coastal wetland	Acidobacteria	0.07105327441085589	30
Coastal wetland	Actinobacteria	0.09523486410163824	30
Coastal wetland	Bacteroidetes	0.10072289274626053	30
Tibetan Plateau	Other	0.20811095608907315	30
Tibetan Plateau	Chloroflexi	0.11545140749277512	30
Tibetan Plateau	Proteobacteria	0.31489623418413215	30
Tibetan Plateau	Acidobacteria	0.07645415411086307	30
Tibetan Plateau	Actinobacteria	0.10152667604197732	30
Tibetan Plateau	Bacteroidetes	0.1835605720811792	30
