file	role	records	read_length	bytes	input_sha256	exported_sha256	hash_match	status
forward.fastq.gz	Forward	2000	151	210452	e6fabdbd31db519c719447f1caf2d1cd334c6ab932353e534ea2433ead88d254	e6fabdbd31db519c719447f1caf2d1cd334c6ab932353e534ea2433ead88d254	True	PASS
reverse.fastq.gz	Reverse	2000	151	239206	d2fa5841d150fead5a73067a267ec531221de11c512a38ec32ada03f1621bf65	d2fa5841d150fead5a73067a267ec531221de11c512a38ec32ada03f1621bf65	True	PASS
barcodes.fastq.gz	Barcode	2000	12	33297	9cce1bb9a57975d14b54a5cf07c89b2b7c2095da4a8f0d1bd2720f1349e74057	9cce1bb9a57975d14b54a5cf07c89b2b7c2095da4a8f0d1bd2720f1349e74057	True	PASS
