Pair	Kingdom1	Feature1	Label1	Kingdom2	Feature2	Label2	RawRho	RawPValue	RawQValue	AdjustedRho	AdjustedPValue	AdjustedQValue	SignChanged	BootstrapLower	BootstrapUpper	SignStability
Fungi vs Oomycete	Fungi	OTU_16	elongata (OTU_16)	Oomycete	OTU_7	Pythium (OTU_7)	0.365250965250965	0.0284901076222409	0.0636650449659014	-0.0507078507078507	0.768988187107925	0.925426676835429	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_83	OTU_83 (OTU_83)	Fungi	OTU_25	Tetracladium (OTU_25)	-0.619047619047619	5.69900316745604e-05	0.000414472957633167	0.0504504504504505	0.770129214990708	0.925426676835429	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_16	[Kouleothrixaceae] (OTU_16)	Fungi	OTU_92	OTU_92 (OTU_92)	-0.786100386100386	1.33758243143148e-08	6.97869094659905e-07	-0.0501930501930502	0.771270718337298	0.925426676835429	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_44	hispanica (OTU_44)	Oomycete	OTU_12	Pythium (OTU_12)	0.273873873873874	0.106024136651054	0.178692365142226	0.0501930501930502	0.771270718337298	0.925426676835429	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_30	Cadophora (OTU_30)	Oomycete	OTU_21	Pythium (OTU_21)	-0.211840411840412	0.214856991489504	0.30693855927072	0.0501930501930502	0.771270718337298	0.925426676835429	TRUE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_71	Polyangiaceae (OTU_71)	Oomycete	OTU_10	Pythium (OTU_10)	0.140797940797941	0.41274902856769	0.510617354929102	-0.0499356499356499	0.772412694906176	0.925426676835429	TRUE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_42	[Kouleothrixaceae] (OTU_42)	Oomycete	OTU_4	Pythium (OTU_4)	0.596911196911197	0.000121622239754759	0.000780463570618777	-0.0496782496782497	0.773555142453064	0.925426676835429	TRUE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_153	Polyangiaceae (OTU_153)	Oomycete	OTU_6	Pythium (OTU_6)	-0.569369369369369	0.000289958404628509	0.00154644482468538	0.0496782496782497	0.773555142453064	0.925426676835429	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_153	Polyangiaceae (OTU_153)	Fungi	OTU_44	hispanica (OTU_44)	0.331274131274131	0.0484245648717369	0.0966879831049656	-0.0494208494208494	0.77469805873093	0.925426676835429	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_5	OTU_5 (OTU_5)	Oomycete	OTU_7	Pythium (OTU_7)	0.0970398970398971	0.57341942949438	0.661637803262746	0.0494208494208494	0.77469805873093	0.925426676835429	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_4090	Pseudomonadaceae (OTU_4090)	Fungi	OTU_25	Tetracladium (OTU_25)	0.267953667953668	0.114099708509909	0.188854689947436	0.0491634491634492	0.775841441490009	0.925426676835429	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_48	mitochondria (OTU_48)	Oomycete	OTU_11	Pythium (OTU_11)	0.549292149292149	0.000521319593370494	0.00254302240668534	-0.0489060489060489	0.776985288477808	0.925426676835429	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_67	OTU_67 (OTU_67)	Oomycete	OTU_8	Pythium (OTU_8)	0.491119691119691	0.0023540466999111	0.00850860252979914	-0.0489060489060489	0.776985288477808	0.925426676835429	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_16	elongata (OTU_16)	Oomycete	OTU_8	Pythium (OTU_8)	-0.260746460746461	0.124544764492948	0.202511812183655	-0.0489060489060489	0.776985288477808	0.925426676835429	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_51	Enterobacteriaceae (OTU_51)	Oomycete	OTU_3	Hyaloperonospora (OTU_3)	0.00797940797940798	0.963160828963999	0.977001686184952	-0.0486486486486487	0.778129597439123	0.925426676835429	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_15	chrysanthemicola (OTU_15)	Oomycete	OTU_3	Hyaloperonospora (OTU_3)	0.574259974259974	0.000249903248877835	0.0013569407178887	-0.0486486486486487	0.778129597439123	0.925426676835429	TRUE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_36	OTU_36 (OTU_36)	Fungi	OTU_15	chrysanthemicola (OTU_15)	0.371685971685972	0.0256112779259154	0.0583179004005665	-0.0483912483912484	0.779274366116052	0.92587053399927	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_26	OTU_26 (OTU_26)	Oomycete	OTU_10	Pythium (OTU_10)	0.187644787644788	0.273120252433839	0.368666257503495	0.0481338481338481	0.780419592248003	0.926314056080716	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_42	[Kouleothrixaceae] (OTU_42)	Oomycete	OTU_2	Albugo (OTU_2)	0.717117117117117	8.62114879167987e-07	1.49933022463998e-05	-0.0476190476190476	0.782711407821254	0.927200088238406	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_67	OTU_67 (OTU_67)	Oomycete	OTU_24	Pythium (OTU_24)	-0.662805662805663	1.06073849672777e-05	0.000106965226560784	-0.0476190476190476	0.782711407821254	0.927200088238406	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_71	Polyangiaceae (OTU_71)	Fungi	OTU_1	Coprinopsis (OTU_1)	0.28030888030888	0.0977454682164356	0.169012336973664	0.0468468468468469	0.786152505425954	0.930357994586928	FALSE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_30	Cadophora (OTU_30)	Oomycete	OTU_7	Pythium (OTU_7)	0.150836550836551	0.379879164238479	0.478336828002282	0.0455598455598456	0.791896514368145	0.935748227198386	FALSE	NA	NA	NA
Bacteria vs Fungi	Bacteria	OTU_23	[Kouleothrixaceae] (OTU_23)	Fungi	OTU_47	agrostis (OTU_47)	0.2	0.242197384388751	0.335608384834298	-0.0453024453024453	0.793046622550632	0.935748227198386	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_44	hispanica (OTU_44)	Oomycete	OTU_7	Pythium (OTU_7)	-0.377091377091377	0.0233827495115614	0.0537534471530147	0.0453024453024453	0.793046622550632	0.935748227198386	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_44	hispanica (OTU_44)	Oomycete	OTU_4	Pythium (OTU_4)	-0.131274131274131	0.445368571673042	0.539295949553633	-0.0447876447876448	0.7953481269902	0.937541996452102	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_4	Janthinobacterium (OTU_4)	Oomycete	OTU_20	OTU_20 (OTU_20)	0.325868725868726	0.0524380386110163	0.103156797267573	0.0445302445302445	0.796499518656049	0.937977843363355	FALSE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_180	Serratia (OTU_180)	Oomycete	OTU_5	Pythium (OTU_5)	0.362419562419562	0.0298384853010645	0.0665542423072071	-0.0437580437580438	0.79995622383809	0.939283237383277	TRUE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_16	[Kouleothrixaceae] (OTU_16)	Oomycete	OTU_6	Pythium (OTU_6)	-0.134362934362934	0.434638574704894	0.527367330278941	0.0437580437580438	0.799956223838091	0.939283237383277	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_5	OTU_5 (OTU_5)	Oomycete	OTU_24	Pythium (OTU_24)	0.0018018018018018	0.991678796646334	0.994164207164244	-0.0437580437580438	0.79995622383809	0.939283237383277	TRUE	NA	NA	NA
Bacteria vs Oomycete	Bacteria	OTU_36	OTU_36 (OTU_36)	Oomycete	OTU_7	Pythium (OTU_7)	0.361389961389961	0.0303416080634077	0.0673011639114403	-0.0432432432432432	0.802262779397289	0.941018692103496	TRUE	NA	NA	NA
Fungi vs Oomycete	Fungi	OTU_16	elongata (OTU_16)	Oomycete	OTU_19	Pythium (OTU_19)	0.421106821106821	0.0105383061924665	0.0288720717601823	-0.042985842985843	0.803416675880616	0.941018692103496	TRUE	NA	NA	NA
