SampleID	Model	StartAxis1	StartAxis2	EndAxis1	EndAxis2	Soil	Compartment
GE_rhizosphere_R1	Observed	0.0103282848435773	-0.101554482040321	-0.00768903637595275	-0.0966970366447222	GE	Rhizosphere
GE_rhizosphere_R2	Observed	-0.00685347551153927	-0.10710139227033	-0.00105750874900096	-0.0850015652125503	GE	Rhizosphere
GE_rhizosphere_R3	Observed	0.0166616856927295	-0.108176688806846	0.0251552417861204	-0.0855232351655058	GE	Rhizosphere
GE_rhizosphere_R4	Observed	0.0335147370236472	-0.0952879328294451	0.0185802744145664	-0.0857454622688766	GE	Rhizosphere
GE_root_R1	Observed	-0.180668090460056	-0.0423910975219658	-0.11091162064691	-0.0524628279630819	GE	Root
GE_root_R2	Observed	-0.214213010431327	-0.0141155262332835	-0.122512654970035	-0.0360261038807317	GE	Root
GE_root_R3	Observed	-0.128923438082248	-0.0337276981022047	-0.0682442727712673	-0.0634234529009934	GE	Root
GE_root_R4	Observed	-0.0850479687194362	-0.066343870466873	-0.0917798605946616	-0.0699015744746716	GE	Root
GE_soil_R1	Observed	0.125095790378825	-0.0193473255823467	0.0880491458040894	-0.0359020076997858	GE	Soil
GE_soil_R2	Observed	0.127559793391184	-0.0196327441440787	0.075128110786911	-0.0478143619314471	GE	Soil
GE_soil_R3	Observed	0.132286180887517	-0.0234465738065771	0.0842421736332866	-0.0414245442736534	GE	Soil
GE_soil_R4	Observed	0.149399527784726	-0.0229494610264178	0.0858145933613278	-0.0329837780929214	GE	Soil
PU_rhizosphere_R1	Observed	0.0144754045609268	-0.0826878167125991	-0.0517934606094704	-0.0390249375303894	PU	Rhizosphere
PU_rhizosphere_R2	Observed	0.0298558682767262	-0.0762325104282718	0.000499491200455952	-0.0612962234128083	PU	Rhizosphere
PU_rhizosphere_R3	Observed	0.029366432075511	-0.0826893800308355	-0.000968720872405072	-0.0562368307678158	PU	Rhizosphere
PU_rhizosphere_R4	Observed	-0.0259661185594023	-0.0872249786919928	-0.0101339783669931	-0.043445670122886	PU	Rhizosphere
PU_root_R1	Observed	-0.218400145738547	0.00505461164660389	-0.122921041424936	-0.000557003903437174	PU	Root
PU_root_R2	Observed	-0.24090587009674	0.0501629687983123	-0.107185544161959	0.0124054296888974	PU	Root
