SampleID	Kingdom	Axis1	Axis2	Axis3	Axis4	Axis5	Soil	Compartment
GE_rhizosphere_R1	Bacteria	0.0197018898702961	-0.193721924917435	0.12229269328562	-0.0457075473049672	0.0256535716427916	GE	Rhizosphere
GE_rhizosphere_R2	Bacteria	-0.0130734600954663	-0.204303024889712	0.142219318189191	-0.0423066003667587	0.0522307671349895	GE	Rhizosphere
GE_rhizosphere_R3	Bacteria	0.0317832729773889	-0.206354224509128	0.110957287997082	-0.0206695011773934	0.0604412682994438	GE	Rhizosphere
GE_rhizosphere_R4	Bacteria	0.0639315886298824	-0.181768065754048	0.125543566781277	-0.0459719405675531	-0.000681637147608734	GE	Rhizosphere
GE_root_R1	Bacteria	-0.344636391736834	-0.0808638363007692	0.00686376170913259	-0.138509053937746	-0.0770884270557916	GE	Root
GE_root_R2	Bacteria	-0.408625556345598	-0.0269263045627914	-0.0316985674570409	-0.137530917038858	0.0721591947956445	GE	Root
GE_root_R3	Bacteria	-0.245930027808626	-0.0643378260429613	0.0086964826534725	-0.132691028427035	0.165153500911602	GE	Root
GE_root_R4	Bacteria	-0.162234653553799	-0.126555342857372	0.0865440015128021	-0.155237952164965	-0.112895535562576	GE	Root
GE_soil_R1	Bacteria	0.23862853538687	-0.0369063095839376	-0.0922755126602937	-0.0670240735738738	0.0264994592205078	GE	Soil
GE_soil_R2	Bacteria	0.243328784917628	-0.0374507644624918	-0.113313748341729	-0.0604959194848375	0.0350395241037297	GE	Soil
GE_soil_R3	Bacteria	0.252344683234474	-0.0447258980526867	-0.188284729753602	-0.0800273245652706	0.0324452475447547	GE	Soil
GE_soil_R4	Bacteria	0.284989529981767	-0.0437776223809613	-0.149060455137058	-0.0418307751581556	0.0207667818332213	GE	Soil
PU_rhizosphere_R1	Bacteria	0.0276127963942347	-0.15773250671915	0.0593339256602715	0.0933940061507184	-0.0516111698159328	PU	Rhizosphere
PU_rhizosphere_R2	Bacteria	0.0569520532865544	-0.145418580891288	0.0481153887097169	0.148137152512112	-0.0182771643055053	PU	Rhizosphere
PU_rhizosphere_R3	Bacteria	0.0560184211994345	-0.157735488852601	0.0496451150969493	0.115352194535995	-0.02661384922134	PU	Rhizosphere
PU_rhizosphere_R4	Bacteria	-0.0495320971452995	-0.166387444784428	0.0989824588909667	0.171452520294654	-0.0334655414913054	PU	Rhizosphere
PU_root_R1	Bacteria	-0.416612795267091	0.00964200770086573	-0.11026460131199	0.0123445920624727	-0.189019155063168	PU	Root
PU_root_R2	Bacteria	-0.459543960457804	0.0956891973642681	-0.159001874672301	0.16215628398446	0.1063174367735	PU	Root
PU_root_R3	Bacteria	-0.428391284319671	0.0698931193170634	-0.129716621644139	-0.0268018340305631	-0.15905689068221	PU	Root
PU_root_R4	Bacteria	-0.435396310411193	0.0200863931626674	-0.120329373956778	0.101492541440733	0.00335897811176257	PU	Root
PU_soil_R1	Bacteria	0.247212053222939	-0.0386949441621394	-0.21203354461471	0.0262815254562039	-0.0273131372820051	PU	Soil
PU_soil_R2	Bacteria	0.233889777785647	-0.0249296288849139	-0.203677227266394	0.0342822879541578	-0.0172539637585474	PU	Soil
PU_soil_R3	Bacteria	0.243415423636937	-0.0294484340585509	-0.203431697301832	0.0240983007960019	-0.020351685027042	PU	Soil
PU_soil_R4	Bacteria	0.255979809071917	-0.0337887384662426	-0.199584136317465	0.0267849166549996	-0.00984325234088305	PU	Soil
SD_rhizosphere_R1	Bacteria	0.0492404827847115	0.0464892697789549	0.182839749739816	0.063468790689978	0.0149165530289796	SD	Rhizosphere
SD_rhizosphere_R2	Bacteria	0.0603360812582347	0.065771745242372	0.177920117125156	0.0414331354894991	0.0186566464414119	SD	Rhizosphere
SD_rhizosphere_R3	Bacteria	0.0907605698518958	0.0772906590832757	0.153087801550136	0.0654886824708776	0.0098266263405149	SD	Rhizosphere
SD_rhizosphere_R4	Bacteria	0.116992287708574	0.104445706937864	0.154776122225746	0.0199834505779674	-0.0232236118762018	SD	Rhizosphere
SD_root_R1	Bacteria	-0.00458146211134405	0.178042069818183	0.101673340972477	-0.0351295585001508	0.0238023265046244	SD	Root
SD_root_R2	Bacteria	-0.375575217716182	0.133630519938428	-0.0743336114080699	0.0405686398495923	0.226921784336839	SD	Root
SD_root_R3	Bacteria	-0.06333586922143	0.19950686767192	0.102724993333953	0.0112220740258628	-0.0200952809923249	SD	Root
SD_root_R4	Bacteria	-0.0475622606641616	0.247617170064208	0.0879432822014214	-0.0434012276541238	-0.0990441918423449	SD	Root
SD_soil_R1	Bacteria	0.208042459586068	0.177791933300143	0.0612813625195798	-0.0043027513582504	-0.00113961142033899	SD	Soil
SD_soil_R2	Bacteria	0.208894879809773	0.175335859187527	0.0454827117233038	-0.0294964719963202	0.00944681395812751	SD	Soil
SD_soil_R3	Bacteria	0.244125702098583	0.203823433433323	0.0211226617495149	-0.0317671155031126	-0.00780576544196767	SD	Soil
SD_soil_R4	Bacteria	0.220850264160692	0.196770959132546	0.0389595582158178	-0.0190395021363523	-0.00885661065535114	SD	Soil
