Kingdom	Term	Df	R2	F	PValue	QValue
Bacteria	Soil:Compartment	4	0.0938236440901922	2.28854790992908	0.007	0.007
Bacteria	Residual	27	0.276729883985003	NA	NA	NA
Bacteria	Total	35	1	NA	NA	NA
Fungi	Soil:Compartment	4	0.113595203892914	2.3993439978462	0.001	0.001
Fungi	Residual	27	0.319573861424402	NA	NA	NA
Fungi	Total	35	1	NA	NA	NA
Oomycete	Soil:Compartment	4	0.10321853751769	1.69549508599568	0.017	0.017
Oomycete	Residual	27	0.410927247149909	NA	NA	NA
Oomycete	Total	35	1	NA	NA	NA
