Taxon	EqualSampleRank	PooledReadRank	EqualSampleMean	PooledReadShare	DifferencePP	InEqualSampleTop10	InPooledReadTop10
Proteobacteria	1	1	0.3071339669457529	0.3004111948730297	0.6722772072723204	TRUE	TRUE
Chloroflexi	2	2	0.13824089760719027	0.1418461785425426	-0.36052809353523396	TRUE	TRUE
Bacteroidetes	3	3	0.11649247538266623	0.11700037661992875	-0.05079012372625202	TRUE	TRUE
Acidobacteria	4	4	0.11337570062599393	0.115020961059969	-0.16452604339750737	TRUE	TRUE
Actinobacteria	5	5	0.1000956318837023	0.09863428970098848	0.14613421827138207	TRUE	TRUE
Firmicutes	6	6	0.05934885234273045	0.06153352226070743	-0.21846699179769793	TRUE	TRUE
Verrucomicrobia	7	7	0.037887216564506075	0.03914130656244791	-0.12540899979418332	TRUE	TRUE
Planctomycetes	8	8	0.034509428891096844	0.032962887501775055	0.15465413893217886	TRUE	TRUE
Gemmatimonadetes	9	9	0.02945100568462208	0.030617965388011138	-0.11669597033890575	TRUE	TRUE
Nitrospirae	10	10	0.011495295011499568	0.01197898337315626	-0.04836883616566919	TRUE	TRUE
