Rank	Labels	KnownLabels	UnknownFeatures	UnknownFeatureFraction	UnknownReadFractionPooled	UnknownEqualSampleMean	Top10KnownCoverageMean
Kingdom	3	2	298	0.02186674493689463	0.0033840226712848914	0.0033193768926002205	0.9966806231073998
Phylum	56	55	309	0.022673906662753155	0.0035494884760475898	0.003463782392239115	0.9480304709397607
Class	128	127	1250	0.09172292339301438	0.032103453172559845	0.03202145572846765	0.5900453172911061
Order	217	216	2750	0.20179043146463163	0.1484592540455772	0.14427271953005416	0.34765278491277046
Family	394	393	5343	0.39206046375110065	0.3235807294078423	0.3203724606579246	0.23671065667421368
Genus	772	771	9452	0.6935720575286175	0.6303981675279532	0.6310561130699189	0.09521804539337543
Species	43	42	13578	0.9963310830642794	0.9964529811628294	0.9963450237357335	0.0029053765033514273
