GroupCode	Group	Taxon	AllReadMean	KnownOnlyMean	InflationPP	UnknownMean
IW	Inland wetland	Sphingomonas	0.010904978295373959	0.0345417391737158	2.3636760878341843	0.7100869431729195
IW	Inland wetland	Clostridium sensu stricto 13	0.004625918070895867	0.017236743030560806	1.261082495966494	0.7100869431729195
IW	Inland wetland	Thiobacillus	0.0027807535415940846	0.008757133646859372	0.5976380105265288	0.7100869431729195
IW	Inland wetland	Bacillus	0.004994115229596027	0.013763793546370634	0.8769678316774607	0.7100869431729195
IW	Inland wetland	Candidatus Solibacter	0.023833236156502575	0.0965629217941984	7.272968563769583	0.7100869431729195
IW	Inland wetland	Arthrobacter	0.006620590902573142	0.019650685968046214	1.303009506547307	0.7100869431729195
IW	Inland wetland	Flavobacterium	0.0013343672443495921	0.0046133257959614805	0.32789585516118885	0.7100869431729195
IW	Inland wetland	Blastocatella	0.012195926184087207	0.03632678702150987	2.4130860837422663	0.7100869431729195
IW	Inland wetland	Anaerolinea	0.005225953305675086	0.016365491083314802	1.1139537777639716	0.7100869431729195
IW	Inland wetland	Illumatobacter	0.001324497029637627	0.004130476578469368	0.28059795488317413	0.7100869431729195
IW	Inland wetland	Gillisia	4.0806235124360576e-4	0.001179849325716065	0.07717869744724593	0.7100869431729195
IW	Inland wetland	Bryobacter	0.011303660938635912	0.04474644476892057	3.344278383028466	0.7100869431729195
IW	Inland wetland	Sulfurovum	3.316424737257293e-4	0.0011443734673524256	0.08127309936266963	0.7100869431729195
IW	Inland wetland	Pedobacter	1.8296166761407534e-4	6.1925530917495e-4	0.04362936415608747	0.7100869431729195
IW	Inland wetland	Marinicella	6.301554099728396e-4	0.002284459539048783	0.16543041290759433	0.7100869431729195
CW	Coastal wetland	Sphingomonas	0.004613225065928601	0.01324613255414152	0.8632907488212919	0.6161532155434476
CW	Coastal wetland	Clostridium sensu stricto 13	0.03209814324392249	0.07419834882135899	4.2100205577436505	0.6161532155434476
CW	Coastal wetland	Thiobacillus	0.006265195494185234	0.016880125842074992	1.061493034788976	0.6161532155434476
CW	Coastal wetland	Bacillus	0.013188628179528754	0.03918578284415547	2.599715466462672	0.6161532155434476
CW	Coastal wetland	Candidatus Solibacter	0.001237665333817098	0.0034087081543099054	0.21710428204928073	0.6161532155434476
CW	Coastal wetland	Arthrobacter	0.0024665892427719743	0.005040473221415889	0.2573883978643915	0.6161532155434476
CW	Coastal wetland	Flavobacterium	0.005957413573596024	0.015663672918657407	0.9706259345061384	0.6161532155434476
CW	Coastal wetland	Blastocatella	0.00339528649501231	0.009571789474555798	0.6176502979543488	0.6161532155434476
CW	Coastal wetland	Anaerolinea	0.002973429078250058	0.008575966313657387	0.5602537235407329	0.6161532155434476
CW	Coastal wetland	Illumatobacter	0.004604799038968716	0.013175372781652218	0.8570573742683503	0.6161532155434476
CW	Coastal wetland	Gillisia	0.011156657824466001	0.02384785853585243	1.269120071138643	0.6161532155434476
CW	Coastal wetland	Bryobacter	0.001478517511524985	0.004147451772101602	0.2668934260576617	0.6161532155434476
CW	Coastal wetland	Sulfurovum	0.015482994576343626	0.03873769492580058	2.3254700349456954	0.6161532155434476
CW	Coastal wetland	Pedobacter	8.701184576049557e-4	0.002647296334505967	0.17771778769010116	0.6161532155434476
CW	Coastal wetland	Marinicella	0.013345246671555882	0.03623944978901678	2.28942031174609	0.6161532155434476
TW	Tibetan wetland	Sphingomonas	0.023056200509757225	0.05092291936224632	2.7866718852489094	0.5669281804933896
TW	Tibetan wetland	Clostridium sensu stricto 13	0.001296011620534956	0.00339049389575277	0.2094482275217814	0.5669281804933896
TW	Tibetan wetland	Thiobacillus	0.02339529196181801	0.06218897845066629	3.8793686488848276	0.5669281804933896
TW	Tibetan wetland	Bacillus	0.014134734089529817	0.03360659534775792	1.9471861258228105	0.5669281804933896
TW	Tibetan wetland	Candidatus Solibacter	0.003063381122361056	0.007219383304246749	0.4156002181885693	0.5669281804933896
TW	Tibetan wetland	Arthrobacter	0.016604177634748016	0.03177713654512226	1.5172958910374241	0.5669281804933896
TW	Tibetan wetland	Flavobacterium	0.01720758764075882	0.03664736945495807	1.9439781814199248	0.5669281804933896
TW	Tibetan wetland	Blastocatella	0.007260566907590754	0.01613987745278317	0.8879310545192415	0.5669281804933896
TW	Tibetan wetland	Anaerolinea	0.01439544906045808	0.03453610479477703	2.0140655734318944	0.5669281804933896
TW	Tibetan wetland	Illumatobacter	0.014600024926303124	0.03388591868119152	1.9285893754888397	0.5669281804933896
TW	Tibetan wetland	Gillisia	0.00811311056265967	0.01784148974488187	0.97283791822222	0.5669281804933896
TW	Tibetan wetland	Bryobacter	0.006545184963874388	0.01485168371141038	0.8306498747535991	0.5669281804933896
TW	Tibetan wetland	Sulfurovum	0.0023629508648388533	0.006209137213051528	0.38461863482126746	0.5669281804933896
TW	Tibetan wetland	Pedobacter	0.016616080869024424	0.034268476004909044	1.765239513588462	0.5669281804933896
TW	Tibetan wetland	Marinicella	0.0014608130569842487	0.0033385533402664966	0.1877740283282248	0.5669281804933896
