Taxon	SampleID	RelativeAbundance	Percent	Annotated
[Eubacterium] brachy group	S1	6.655704330122934e-4	0.06655704330122934	TRUE
[Eubacterium] coprostanoligenes group	S1	0.0010962336543731892	0.10962336543731892	TRUE
[Eubacterium] nodatum group	S1	0	0	TRUE
12up	S1	0	0	TRUE
Acetivibrio	S1	0	0	TRUE
Acetoanaerobium	S1	1.9575600970949807e-4	0.01957560097094981	TRUE
Acetobacter	S1	0	0	TRUE
Acetobacterium	S1	7.830240388379923e-5	0.007830240388379922	TRUE
Achromobacter	S1	0	0	TRUE
Acidaminobacter	S1	0	0	TRUE
Acidibacter	S1	6.655704330122934e-4	0.06655704330122934	TRUE
Acidiferrobacter	S1	7.830240388379923e-5	0.007830240388379922	TRUE
Acidiphilium	S1	0	0	TRUE
Acidisphaera	S1	0	0	TRUE
Aciditerrimonas	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Acidobacterium	S1	0	0	TRUE
Acidocella	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Acidothermus	S1	0.0020750137029206797	0.20750137029206797	TRUE
Acidovorax	S1	0.002544828126223475	0.2544828126223475	TRUE
Acinetobacter	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Actibacter	S1	1.1745360582569885e-4	0.011745360582569885	TRUE
Actinomadura	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Actinomycetospora	S1	0	0	TRUE
Actinophytocola	S1	0	0	TRUE
Actinoplanes	S1	1.9575600970949807e-4	0.01957560097094981	TRUE
Actinopolyspora	S1	0	0	TRUE
Actinospica	S1	0	0	TRUE
Actinotalea	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Adhaeribacter	S1	4.306632213608958e-4	0.04306632213608958	TRUE
Aequorivita	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Aeromicrobium	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Aeromonas	S1	0	0	TRUE
Aestuariibaculum	S1	0	0	TRUE
Agaricicola	S1	0	0	TRUE
Agromyces	S1	7.830240388379923e-5	0.007830240388379922	TRUE
AKYG587	S1	1.5660480776759846e-4	0.015660480776759845	TRUE
Albidiferax	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Alcanivorax	S1	0	0	TRUE
Algoriphagus	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Alicyclobacillus	S1	0	0	TRUE
Aliidiomarina	S1	0	0	TRUE
Aliihoeflea	S1	0	0	TRUE
Alkalibacter	S1	0	0	TRUE
Alkaliflexus	S1	0	0	TRUE
Alkaliphilus	S1	0	0	TRUE
Alpinimonas	S1	0	0	TRUE
Altererythrobacter	S1	4.306632213608958e-4	0.04306632213608958	TRUE
Alterococcus	S1	0	0	TRUE
Aminobacter	S1	0	0	TRUE
Amycolatopsis	S1	0	0	TRUE
Anabaena	S1	0	0	TRUE
Anaerobacillus	S1	0	0	TRUE
Anaerobacter	S1	0	0	TRUE
Anaerobaculum	S1	0	0	TRUE
Anaerolinea	S1	0.008574113225276016	0.8574113225276017	TRUE
Anaerolineaceae UCG-001	S1	0	0	TRUE
Anaeromyxobacter	S1	0.006303343512645838	0.6303343512645838	TRUE
Anaerophaga	S1	0	0	TRUE
Anaerosinus	S1	0	0	TRUE
Anaerovorax	S1	7.830240388379923e-5	0.007830240388379922	TRUE
Ancalomicrobium	S1	0	0	TRUE
Anderseniella	S1	0	0	TRUE
Angustibacter	S1	0	0	TRUE
Anoxynatronum	S1	0	0	TRUE
Aquabacterium	S1	4.698144233027954e-4	0.04698144233027954	TRUE
Aquibacter	S1	0	0	TRUE
Aquicella	S1	5.872680291284943e-4	0.05872680291284943	TRUE
Aquiflexum	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Aquimonas	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Aquincola	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Aquipuribacter	S1	0	0	TRUE
Aquisalimonas	S1	0	0	TRUE
Arachis hypogaea var. vulgaris	S1	0	0	TRUE
Arcicella	S1	0	0	TRUE
Arcobacter	S1	0	0	TRUE
Arcticibacter	S1	0	0	TRUE
Arenibacter	S1	0	0	TRUE
Arenimonas	S1	0.0023099209145720774	0.23099209145720773	TRUE
Armatimonas	S1	0	0	TRUE
Arthrobacter	S1	9.787800485474903e-4	0.09787800485474903	TRUE
Arthronema	S1	0	0	TRUE
Asanoa	S1	0	0	TRUE
Asticcacaulis	S1	0	0	TRUE
Azoarcus	S1	3.9151201941899614e-4	0.03915120194189962	TRUE
Azonexus	S1	0.0011353848563150888	0.11353848563150888	TRUE
Azospira	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Azospirillum	S1	0	0	TRUE
Azotobacter	S1	0	0	TRUE
Azovibrio	S1	0	0	TRUE
Bacillus	S1	5.872680291284943e-4	0.05872680291284943	TRUE
Bacteriovorax	S1	4.698144233027954e-4	0.04698144233027954	TRUE
Bacteroides	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Bauldia	S1	4.306632213608958e-4	0.04306632213608958	TRUE
BD1-7 clade	S1	2.349072116513977e-4	0.02349072116513977	TRUE
Bdellovibrio	S1	0	0	TRUE
Beggiatoa	S1	0	0	TRUE
Bellilinea	S1	1.1745360582569885e-4	0.011745360582569885	TRUE
Blastocatella	S1	0.002427374520397776	0.2427374520397776	TRUE
Blastochloris	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Blastococcus	S1	1.9575600970949807e-4	0.01957560097094981	TRUE
Blastomonas	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Blastopirellula	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Blvii28 wastewater-sludge group	S1	4.306632213608958e-4	0.04306632213608958	TRUE
Bosea	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Brachybacterium	S1	0	0	TRUE
Brachymonas	S1	0	0	TRUE
Bradyrhizobium	S1	0.0037193641844804636	0.37193641844804637	TRUE
Brevibacillus	S1	0	0	TRUE
Brevibacterium	S1	0	0	TRUE
Brevinema	S1	0	0	TRUE
Brevundimonas	S1	1.1745360582569885e-4	0.011745360582569885	TRUE
Brochothrix	S1	0	0	TRUE
Bryobacter	S1	0.008417508417508417	0.8417508417508417	TRUE
Burkholderia	S1	2.349072116513977e-4	0.02349072116513977	TRUE
Byssovorax	S1	5.08965625244695e-4	0.0508965625244695	TRUE
C1-B045	S1	0	0	TRUE
Caldisericum	S1	2.349072116513977e-4	0.02349072116513977	TRUE
Caldithrix	S1	7.830240388379923e-5	0.007830240388379922	TRUE
Candidatus Accumulibacter	S1	0.0016051992796178843	0.16051992796178843	TRUE
Candidatus Alysiosphaera	S1	1.5660480776759846e-4	0.015660480776759845	TRUE
Candidatus Anammoximicrobium	S1	7.438728368960927e-4	0.07438728368960927	TRUE
Candidatus Aquirestis	S1	0	0	TRUE
Candidatus Arthromitus	S1	0	0	TRUE
Candidatus Caldatribacterium	S1	0	0	TRUE
Candidatus Chloroploca	S1	0	0	TRUE
Candidatus Chlorothrix	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Candidatus Competibacter	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Candidatus Entotheonella	S1	0	0	TRUE
Candidatus Halobonum	S1	0	0	TRUE
Candidatus Koribacter	S1	0.0018792576932111817	0.18792576932111815	TRUE
Candidatus Latescibacter	S1	0	0	TRUE
Candidatus Methanoperedens	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Candidatus Methylacidiphilum	S1	0	0	TRUE
Candidatus Methylomirabilis	S1	0	0	TRUE
Candidatus Microthrix	S1	1.5660480776759846e-4	0.015660480776759845	TRUE
Candidatus Nitrosoarchaeum	S1	0	0	TRUE
Candidatus Nitrosopumilus	S1	0	0	TRUE
Candidatus Nitrososphaera	S1	0	0	TRUE
Candidatus Nitrotoga	S1	5.08965625244695e-4	0.0508965625244695	TRUE
Candidatus Nostocoida	S1	1.1745360582569885e-4	0.011745360582569885	TRUE
Candidatus Planktophila	S1	0	0	TRUE
Candidatus Protochlamydia	S1	0	0	TRUE
Candidatus Rhabdochlamydia	S1	0	0	TRUE
Candidatus Solibacter	S1	0.026857724532143138	2.6857724532143137	TRUE
Candidatus Thiobios	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
Candidatus Xiphinematobacter	S1	2.349072116513977e-4	0.02349072116513977	TRUE
Carboxylicivirga	S1	7.830240388379923e-5	0.007830240388379922	TRUE
Carnobacterium	S1	3.9151201941899616e-5	0.003915120194189961	TRUE
