RowOrder	Genus
1	Pedobacter
2	Gillisia
3	Sulfurovum
4	Marinicella
5	Desulfobulbus
6	Thiobacillus
7	Anaerolinea
8	Bacillus
9	Flavobacterium
10	Illumatobacter
11	Sphingomonas
12	Blastocatella
13	Gaiella
14	Pirellula
15	Planctomyces
16	Arthrobacter
17	Planomicrobium
18	Clostridium sensu stricto 13
19	Candidatus Solibacter
20	Bryobacter
