TopN	MeanCoverage	MinimumCoverage	MaximumCoverage	OtherKnownMean
5	0.7753386724453056	0.5526355996944232	0.8643649815043156	0.22119754516245524
8	0.907084170243639	0.8176227130313697	0.9786876939641522	0.08945204736412189
10	0.9480304709397607	0.8651557298554425	0.9891696750902527	0.04850574666800024
15	0.9742827093771662	0.9244556718392879	0.9946798403952118	0.02225350823059466
20	0.9847709856497617	0.9514341739249396	0.9968649059471784	0.011765231957999115
