GroupCode	Group	Taxon	MeanRelativeAbundance	MeanPercent	Prevalence
IW	Inland wetland	Sphingomonas	0.010904978295373959	1.090497829537396	1
IW	Inland wetland	Clostridium sensu stricto 13	0.004625918070895867	0.4625918070895867	1
IW	Inland wetland	Thiobacillus	0.0027807535415940846	0.2780753541594085	1
IW	Inland wetland	Bacillus	0.004994115229596027	0.49941152295960267	1
IW	Inland wetland	Candidatus Solibacter	0.023833236156502575	2.3833236156502577	1
IW	Inland wetland	Arthrobacter	0.006620590902573142	0.6620590902573142	1
IW	Inland wetland	Flavobacterium	0.0013343672443495921	0.13343672443495921	1
IW	Inland wetland	Blastocatella	0.012195926184087207	1.2195926184087207	1
IW	Inland wetland	Anaerolinea	0.005225953305675086	0.5225953305675086	1
IW	Inland wetland	Illumatobacter	0.001324497029637627	0.1324497029637627	1
IW	Inland wetland	Gillisia	4.0806235124360576e-4	0.040806235124360574	0.9333333333333333
IW	Inland wetland	Bryobacter	0.011303660938635912	1.130366093863591	1
IW	Inland wetland	Sulfurovum	3.316424737257293e-4	0.03316424737257293	0.9666666666666667
IW	Inland wetland	Pedobacter	1.8296166761407534e-4	0.018296166761407533	0.8333333333333334
IW	Inland wetland	Marinicella	6.301554099728396e-4	0.06301554099728396	1
IW	Inland wetland	Unknown genus	0.7100869431729195	71.00869431729195	1
CW	Coastal wetland	Sphingomonas	0.004613225065928601	0.4613225065928601	1
CW	Coastal wetland	Clostridium sensu stricto 13	0.03209814324392249	3.209814324392249	1
CW	Coastal wetland	Thiobacillus	0.006265195494185234	0.6265195494185234	1
CW	Coastal wetland	Bacillus	0.013188628179528754	1.3188628179528754	1
CW	Coastal wetland	Candidatus Solibacter	0.001237665333817098	0.12376653338170981	1
CW	Coastal wetland	Arthrobacter	0.0024665892427719743	0.24665892427719743	1
CW	Coastal wetland	Flavobacterium	0.005957413573596024	0.5957413573596024	1
CW	Coastal wetland	Blastocatella	0.00339528649501231	0.339528649501231	1
CW	Coastal wetland	Anaerolinea	0.002973429078250058	0.2973429078250058	1
CW	Coastal wetland	Illumatobacter	0.004604799038968716	0.4604799038968716	1
CW	Coastal wetland	Gillisia	0.011156657824466001	1.1156657824466	1
CW	Coastal wetland	Bryobacter	0.001478517511524985	0.14785175115249852	1
CW	Coastal wetland	Sulfurovum	0.015482994576343626	1.5482994576343625	1
CW	Coastal wetland	Pedobacter	8.701184576049557e-4	0.08701184576049557	1
CW	Coastal wetland	Marinicella	0.013345246671555882	1.3345246671555882	1
CW	Coastal wetland	Unknown genus	0.6161532155434476	61.61532155434476	1
TW	Tibetan wetland	Sphingomonas	0.023056200509757225	2.3056200509757225	1
TW	Tibetan wetland	Clostridium sensu stricto 13	0.001296011620534956	0.1296011620534956	0.9666666666666667
TW	Tibetan wetland	Thiobacillus	0.02339529196181801	2.3395291961818008	1
TW	Tibetan wetland	Bacillus	0.014134734089529817	1.4134734089529817	1
TW	Tibetan wetland	Candidatus Solibacter	0.003063381122361056	0.30633811223610563	1
TW	Tibetan wetland	Arthrobacter	0.016604177634748016	1.6604177634748016	1
TW	Tibetan wetland	Flavobacterium	0.01720758764075882	1.7207587640758821	1
TW	Tibetan wetland	Blastocatella	0.007260566907590754	0.7260566907590754	1
TW	Tibetan wetland	Anaerolinea	0.01439544906045808	1.439544906045808	1
TW	Tibetan wetland	Illumatobacter	0.014600024926303124	1.4600024926303123	1
TW	Tibetan wetland	Gillisia	0.00811311056265967	0.811311056265967	1
TW	Tibetan wetland	Bryobacter	0.006545184963874388	0.6545184963874389	1
TW	Tibetan wetland	Sulfurovum	0.0023629508648388533	0.23629508648388534	1
TW	Tibetan wetland	Pedobacter	0.016616080869024424	1.6616080869024423	1
TW	Tibetan wetland	Marinicella	0.0014608130569842487	0.14608130569842487	1
TW	Tibetan wetland	Unknown genus	0.5669281804933896	56.69281804933895	1
