Genus	S1	S2	S3	S4	S5	S6	S7	S9	S10	S11	S12	S13	S22	S23	S24	S25	S26	S27	S28	S30	S34	S35	S36	S37	S15	S16	S17	S18	S19	S20	S61	S62	S63	S65	S85	S86	S87	S88	S89	S161	S162	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S179	S182	S112	S113	S114	S187	S188	S191	S194	S196	S197	S198	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225
Gillisia	0.33039093968922423	0.9141063121956005	0.5758458088428138	1.5613101794111106	1.184047720552676	1.0209406732692812	1.0032445366826468	0.7820757407834239	0.8145408384964812	1.875879726596892	1.0100206369853983	1.166000207385924	0.6527912805502271	0.47412765847279564	1.446837738267962	0.7276755313500978	1.0966352520572975	1.2255854892462361	1.2002098830245889	1.2357070102240544	0	0	1.1944291730210708	1.7508255079159591	4.044409187334404	1.8855100887834084	2.251935146274173	1.0257651570429829	1.075173715696092	1.2028656103664956	6.616547062299525	7.308347992010882	5.102103485347873	5.888613783882136	2.1476019941849738	4.998267823623146	1.8480757777550814	2.175305891628573	1.4779831631560119	1.8602277671451022	1.9090351166985362	0.6610659942345399	1.9294635253756693	0.8482513765500319	1.431317041170597	1.5809383714395906	1.6300547799510918	2.1450006642716484	2.028636455170816	1.4546523189009342	2.3685033606640786	2.119169187619055	2.0224530608975186	1.8663227111369658	1.7026240819635505	1.359528326959236	2.068503608322029	1.8451533181400726	5.379773594090144	4.63344245377759	2.2902662035682213	1.7267938168864594	1.4929176637392731	5.692386199419489	6.070399848951639	3.4595353543986302	2.591410225886552	2.53535955743824	1.6616953629493114	2.160294426309008	1.927525499653994	4.211354594693105	4.560593023705513	2.3156304522807627	7.145930822075417	3.081158285003802	1.5001058727731724	3.243037524402074	2.031420474596773	0.9650989519627692	1.5441642749125895	1.4322736034196482	1.6925209236195093	3.6572421631699936	1.896416708485801	1.7056194194886094	2.1214196683446933	1.713682707084439	1.49175965397198	3.8732901332257903
Bryobacter	4.444708951806996	4.892356320208586	4.987739231761175	5.366454450266326	4.584342543747619	4.950804382365851	5.3793878440119585	5.029186536367529	5.182249765715194	5.160005937527705	4.914773741808398	5.038032676116562	5.41100574257654	5.7494306569674665	5.384102567604976	4.599797508514044	3.5022505483088837	3.660917547474214	3.202540756170233	4.459315888334236	4.482087241394039	4.071581904252458	2.6953050112824326	4.248647359865325	3.7314606365516747	4.065509086913526	4.495415047697668	3.7581245750500942	4.019936244668914	3.461595865334632	2.9637175392141057	3.0023430273520435	2.941189964183675	2.7798844172112784	2.855855599433504	3.6053558952656712	3.000647599040263	3.431361152555842	1.9171145487156365	2.212419665179938	2.562795757832828	2.7719444262865145	2.8440946194226715	2.4582609625740903	3.113221611501052	2.739107968639628	2.5538453044334144	2.1450006642716484	2.6991973769055577	2.4983311292275614	2.6533758340797213	2.6405443187368367	2.4557236341000213	2.058039274986751	2.386404667053663	3.3665636558960235	2.696378800740031	2.4560046617283984	2.567537876980289	1.8795378237926323	2.845560851394249	2.8997525835389037	3.2585940191191693	2.4891050667617547	2.9778480503421956	4.178729283785417	4.326507646626321	3.6953590911229597	2.5900513591773584	2.4010563396912596	3.7200984400080106	3.6330103141495695	4.925851228998694	4.218962363690626	3.1849761166956916	4.52830942463634	4.051583735887785	4.0262765035264865	3.677437466847178	5.33716638520907	4.872742024155816	3.8128809867845868	3.650147800410948	5.028582758032783	4.453529486171478	4.2737399823573305	3.9260497898355364	4.237584629069952	5.420833462796988	4.116552225203677
Sulfurovum	1.5923162078657294	1.2852173233632516	0	0.5613354788149493	1.4819137077221642	1.2984754742448552	1.1947769383607663	1.6768508318349895	1.0602899022270158	1.2401836310785705	1.9614743767396248	1.5437008333521065	1.5440628687491622	1.6575201119721923	0.9650151270590558	0.8492224800671011	0.885558953907142	1.528062909243382	1.3103891195271087	1.6229496658455898	1.2900872074553593	1.8439577494099937	1.5761129354447792	1.379923344754921	1.3547435454615413	1.7734258574252175	0.882810730593734	1.3513835454267609	2.67508018186464	1.2028656103664956	2.4753473387708915	2.9368917735310576	3.2575419704036297	5.1039574781121315	3.976306198964835	3.449728678846731	2.6381292553027045	1.4473971086925055	1.5825880314169938	4.62540753260801	4.3331563145289	5.6014340939967155	5.449981985507735	6.315816768353089	3.6274925712246366	4.927345973617437	5.0324602336087505	4.37496787866986	4.056848922601531	5.361674337993642	4.50836108367735	6.528825596635773	5.618833182430023	3.5978361146696494	3.7231594500293292	2.3653583087054324	2.46415226777364	5.272887505171554	6.7957357420664755	5.252389661640731	3.6081098727902887	3.4873082307627006	3.844028920332601	2.2287087292234578	2.6123333465322247	2.460768267316608	2.222717798214983	2.4024817311536166	2.204114275334559	4.865084497863202	5.385787251382269	2.2830291729142465	2.244244218262545	2.3156304522807627	2.886448501773413	2.3985248812027544	2.1676975009707276	2.17156719322825	2.2440766958238623	2.3749322084837186	2.4892444134547227	1.9490731097148455	2.110729658335422	2.378448896351546	2.718327179195303	2.5324068552166885	2.051315851220456	2.0889936616484257	2.4772845188997654	3.0453631624776385
Pedobacter	1.8065916355387581	0.7518446210517206	0	0.5613354788149493	0.4490949483208239	0.36738322090416736	0.4547029427995742	0.5825899033773517	0.2734827216234668	0.8011599940019034	0.6274500355514552	0.9053325295188446	0.8676644736010062	1.036678803384127	0	0.4286159635348558	1.9433675261775205	2.1063851928083785	0.9349983368588297	0.5953157223259515	1.5446529024446882	2.1952517037000123	0	1.0241610348758976	0.6722242941058864	0	0	1.3513835454267609	1.7055667578592613	0.45894974852887216	1.1122173277825516	1.2672350011039026	1.2704973876842414	0.8975452814843754	1.061628104388587	1.2951284389581788	1.1914423717059381	0.5010216236693699	0.896221208920988	2.7675322189721205	2.2638301271246	2.3387780652014345	2.6562714673050056	1.947340082568744	2.6200802081530807	2.8566387684735837	2.6865210625820852	2.5106613296728	2.6061689179569254	2.8943399448386895	2.6533758340797213	3.0982371532618305	2.8077443365793617	2.478969203708523	2.607664325093436	2.5319034626697903	2.8847101663902004	1.1415530069978332	0.9490989421764988	1.0848485928243305	2.5916210424267	2.784303334768489	2.6946434984900645	2.4891050667617547	3.037278653785019	4.070507962327798	4.06110989547876	4.360084317630871	2.7835253317453224	2.2879037372219515	2.9681748229761964	6.004605548651664	6.353436158544715	5.689131938769135	4.530186018738587	3.9325046054194965	5.506546566431665	5.006065281987993	4.759047572460081	4.958493384001285	6.267358244436899	4.416799265869299	4.007404992519329	5.451549635532109	4.730003269871297	5.591247965188072	6.000755862488478	6.680393611235588	4.247039939398648	4.300154969145055
Marinicella	1.5923162078657294	1.4730971027861806	1.204743355307987	1.8359492802584256	1.3440304734517343	1.6085496156845949	1.355455234719555	1.60006420913208	1.0602899022270158	1.9657996356940224	1.2860558485779685	1.166000207385924	1.6378364292244254	1.7669366793246248	0.9650151270590558	0.8492224800671011	1.8582474335420378	1.7599797232086738	1.730172616800727	3.1340711665407075	1.1334911217022499	1.5146154185697023	4.001967777201676	2.0966713352468447	1.756640760785804	1.333646850792928	1.5889566923728227	1.732008578438173	1.8161276630223142	2.4903760373484136	5.378401313937687	5.3449428960966605	5.169910516284022	4.2878052421220625	6.104623246424349	5.232526924163616	5.315393801791182	5.069210950688895	2.709370737238452	5.586629750280724	4.345649590195617	3.338215743429226	4.054407092358185	4.079177252019847	3.0771897271274717	3.366656809795655	2.8574247657025005	5.468338871615064	5.567758820017853	5.76865539489914	5.7448120167269225	5.5051462630115875	4.944017040758938	3.942483305808432	4.680484150312542	2.4520940470518	1.8526596683467962	3.891036944337398	2.4652981261428293	3.4964125755362	2.500899230636479	2.503590120487029	2.8557680509320162	1.7638036589673953	4.841875159380108	2.7556641310207737	2.8259368985008395	2.4305074080655307	3.1274367351480232	3.510518522517306	2.924099294929318	2.9659562113029843	1.557750000623016	2.1168633504754104	2.0953418142333184	2.163051359509133	2.074972466299148	1.921180526157567	1.389121005612078	2.149848107469632	1.373017696602892	2.251491274935189	2.0606724147168034	1.7739481460904498	3.080100656017305	2.479912109732618	2.186929255514928	1.713682707084439	2.201451594484118	2.635666246380375
Gaiella	4.301646435634804	3.9034404728327594	3.8653098698464774	3.0601766637553602	3.115378022765299	2.493104549520021	3.431942290030729	4.112363361872836	2.9733611001534426	3.113167280177146	2.762417814124168	3.2308218590677495	3.338129982210177	3.4825877261627225	3.096606748786481	3.132898953967962	4.04513612462682	4.677235650157705	4.15358742145768	4.227258273002302	4.102777840117438	4.347369770678906	2.642110600023698	3.80719645259329	2.7013303317565147	3.3410885109298394	2.1744415546562315	2.839257370388061	2.479853147285624	3.0895323392829397	3.06390201868451	2.9368917735310576	2.4757946395794654	2.704998861736667	2.5631633653731907	3.213388171579436	2.691307821532639	2.4896379867655147	2.454080224695318	3.428767161750306	3.7306189473429843	5.368790498476077	3.258662321703532	4.301195845260015	6.014630293815051	6.673595559811166	4.895605885405918	2.2296112654365916	2.6061689179569254	2.6938549354062165	3.278037745807662	2.8010692481642256	2.4557236341000213	2.856093274440672	2.671731317849912	4.877073579187194	5.258843053378635	4.8423432918363885	3.5520383006639826	4.327678494434816	2.2902662035682213	1.7267938168864594	2.0668780444337758	1.8756782637831737	2.1062795306656863	3.438254967416181	3.4708935483196117	3.3871423935701173	4.372619680304209	1.8425405611560206	2.7788609568942353	2.002102957503621	2.8290597434577562	2.8585573818269547	2.0953418142333184	2.969097104958656	2.650056629724601	3.2174239942699314	2.9480081514150953	3.3730546717869814	3.3151019101572676	2.9663432645413814	3.479242242918647	3.5627079724321984	3.9321031422446833	3.3559317923622243	2.887329528941639	2.452312402260612	4.1702377137268405	3.2126391667680285
Planomicrobium	1.8689007829823	2.044520345321895	1.7355075243418114	2.143603485897122	2.3095899798452564	1.9127027135435146	1.9923516563486545	2.1868039068159932	2.028835848447837	1.7770681047036543	2.181034166487125	2.1239093123187365	2.4096303476283443	2.312454338748358	2.447670047629644	1.8486616808799636	2.225830047047838	2.7367645442381505	2.5340197110469203	2.0160793413960594	1.6511488687069023	2.375472808742538	2.2448994120287233	2.294934988052304	3.798088001377752	3.3655209669759394	3.1496778742541673	3.5027341710667876	4.80384169240568	3.0066508986136844	4.8377657284464695	3.3245220140031875	2.795801262174807	3.019345114167865	2.7805936620987888	2.263559508621076	3.000647599040263	2.3130987361382935	2.2723277146803174	0.5176920002243252	1.3541037585306526	0.6610659942345399	1.6890549398052253	0	1.7537649847906391	1.5809383714395906	1.433206578219764	2.1450006642716484	2.028636455170816	1.4546523189009342	1.0153225148239047	1.2358801814566172	1.2409260018504713	1.6289190480059228	1.854107532021171	1.359528326959236	1.7243098523403395	6.458062186038995	6.405065552823409	6.568238029661387	2.0728776657708137	1.8378426440109317	1.277468203178188	1.4936402655939638	3.2681092583103526	1.3024919720424422	1.016709030173136	1.6858660384889192	2.15036274339024	2.928978917322201	1.927525499653994	1.4356333413468203	3.0733732988962803	1.8685329815555072	4.280577741458059	1.9682459042631875	1.4098293574393244	2.2428020858325386	2.6981401810080614	1.9399649575352804	3.3151019101572676	1.8427194219628675	5.4670617993406685	5.80000601034642	3.4701290180111912	3.3100036078828627	3.136750818163969	4.361047217066423	3.6754943542302274	1.5742057020892846
Pirellula	2.858967362487358	3.6373226131351335	2.7090774705238894	1.9493465785538946	2.054472530350634	1.5154808677837215	1.9923516563486545	2.7490255738574456	1.7436225373829703	1.0445734957909778	2.0772680195558695	2.0317461388651954	2.1778841325624847	2.4258999303711706	2.447670047629644	2.039809227803413	3.771502799344713	3.2213367020281276	2.9334794606323937	3.7103123457834974	3.3822699308217827	3.732853902364234	2.463098791016768	4.159842859702346	4.383070951148751	4.327602617258344	4.02419598911946	4.29922489833951	5.155936489389511	3.759654855538435	2.6815209594109604	2.8299065621462294	2.795801262174807	2.4393621285674074	3.358142128198788	3.1300264998982987	1.9617181872065899	4.394449154672439	3.0813598476673696	3.9995548401113767	4.026625046078436	4.560407594458461	3.5508648071656035	4.661941769314812	4.274561001876185	3.815168600343692	3.312329536399094	3.364034433709561	3.2617093457277058	3.5213462360014485	3.6366731906367202	3.2027570289256455	3.3042222918162647	3.0676716195903886	2.731939700490771	3.399314278331731	3.7845090460630018	3.8235018780459327	2.2565680135764574	2.793948687063155	3.3465533095950546	3.424806506217859	2.950359155776757	3.7316676061980396	3.2681092583103526	4.889700450584731	4.632092521623631	4.041405677110418	3.9644838812298215	3.0478337826564394	3.566598060967773	3.5445531319230916	3.5476940853548458	4.398828591251327	4.134860709387744	3.506460132553479	3.4999346033115635	4.924772574151697	3.173294671572737	3.6474346129556636	2.7559651654291946	3.6791516444644596	4.5570865186545335	4.407960753608456	3.771952531929079	3.4822721940152292	3.111917407246854	2.312408794463472	3.785583589541318	2.69703896031774
Desulfobulbus	2.0354510340374734	1.4730971027861806	1.204743355307987	1.708028576317587	1.897460063107149	1.2984754742448552	1.7237735747376512	2.0439044881725015	1.0602899022270158	1.9657996356940224	2.2750379693822973	1.3725777419859126	1.802521863875132	1.9553116328275706	2.0148109427527165	1.055342791606157	1.4857807755701458	1.650729479075019	1.3103891195271087	4.3911491238084706	1.4254487381225533	1.2976691044174495	1.8516888345616596	1.379923344754921	2.850475970305635	2.077833205960251	2.8302066707397744	2.728756389929805	2.365795512517748	2.214164347178854	4.0975349137267765	4.325685713726398	4.493238487154758	4.307573435283234	3.9644135292076363	3.29033222881196	4.025419897510837	2.8484011063308388	2.7717574607148387	3.713836675597372	4.615973604739243	4.83311687365324	3.873001919199173	4.8614675414822655	3.148000225990109	3.3327970456240923	3.7386582523289493	5.39577780164818	5.021012050947171	5.298064544046144	5.195984787631931	5.3242985286830535	5.381627224695702	5.032542922437297	4.783248762436643	3.0104093713282616	3.1473856808987803	3.1289155507039306	2.3811153814304635	2.793948687063155	2.726630059710264	2.028636455170816	1.9512680069373358	2.597624864278457	2.811698678258043	2.516358512055227	2.0106681064735117	2.607360880146747	2.867824528519753	4.074954871319372	3.816900727432258	2.87987826636622	3.233284266559668	3.8685735793569385	2.2935719509274244	3.2734473977410383	2.97407642503518	2.17156719322825	2.178091444019131	2.149848107469632	2.124428150110918	3.070201637460745	2.631634531717159	1.7739481460904498	2.7787331077161235	3.2618640536846755	2.412980359898916	2.2069275850220356	2.5693385959079817	2.547497625114746
Planctomyces	2.6610570275947016	3.825077386252511	4.296100863015783	4.334688728719832	2.6005878729088954	3.863145157059406	2.8060260038098965	3.0141328044576228	2.511487499323811	2.323458744966001	1.6797368463638933	2.604052417660395	3.988084917055505	3.729133498482034	3.6040348724552604	2.7881694707953417	3.536006065161638	2.7749919918415804	3.3621018814690533	3.202522842359464	3.345835298394203	3.5209330141535053	4.410684101077765	4.092626745183298	4.844615717833122	4.0891981204403525	3.614990245090708	4.027282831042884	4.4309546823319845	3.8124954417459644	2.7270458482884274	2.902486288363931	3.3737873145719646	2.3602482537422365	3.976306198964835	2.827833581771297	2.6381292553027045	4.180373071531651	1.763775045405188	4.651642914954515	4.715114471835877	4.688945271936238	4.378555343015975	4.931322240397934	3.7280672530542835	3.9352253005651248	3.261204896046519	4.02636800365314	3.60168735924154	3.9169092753270016	3.900091519578867	3.6275648970813017	4.722653383420069	3.737279222026214	3.3297007371598375	2.674630925780222	1.966393944446642	4.157053706566788	2.5429411104008013	3.4456726140039255	1.1987251548813775	1.092296850109035	1.8205235486550546	4.412766062234392	3.120284917499013	3.949137371823086	3.908141555488629	3.064101606145437	3.4750792698966744	2.346079624313782	3.050893915155566	2.565614230636851	2.8290597434577562	3.131797814779318	3.52541926170754	2.6451801612905643	2.4032973541559155	4.082443279412829	2.4193450942199224	2.815935018413212	2.7559651654291946	2.512510491004728	3.317778098914326	3.151578461888495	2.718327179195303	2.6751401001863986	2.9183201591677617	2.2069275850220356	3.176638981382237	1.6892949186651993
